"Code","Names","Type"
"BEL.NS","Bharat Electronics Limited","Electricals"
"IOC.NS","Indian Oil Corporation Limited",""
"UVSL.NS","UTTAM VALUE STEELS",""
"DML.BO","Diggi Multitrade Limited",""
"RAJRAYON.NS","Raj Rayon Industries Limited",""
"JPASSOCIAT.NS","Jaiprakash Associates Limited",""
"IDBI.NS","IDBI BANK LTD",""
"PNB.NS","Punjab National Bank",""
"IOC.NS","Indian Oil Corporation Limited",""
"SUZLON.NS","Suzlon Energy Limited",""
"BANKINDIA.NS","Bank of India Limited",""
"BANKBARODA.NS","Bank of Boroda",""
