"Code","Names","Type"
"BEL.NS","Bharat Electronics Limited","Electricals"
"IOC.NS","Indian Oil Corporation Limited",""
"UVSL.NS","UTTAM VALUE STEELS",""
"RAJRAYON.NS","Raj Rayon Industries Limited",""
"JPASSOCIAT.NS","Jaiprakash Associates Limited",""
"IDBI.NS","IDBI BANK LTD",""
"PNB.NS","Punjab National Bank",""
"IOC.NS","Indian Oil Corporation Limited",""
"SUZLON.NS","Suzlon Energy Limited",""
"BANKINDIA.NS","Bank of India Limited",""
"BANKBARODA.NS","Bank of Boroda",""
"HBSTOCK.NS","HB Stockholdings Limited",""
"UVSL.NS","UTTAM VALUE STEELS",""
"ITDC.BO","India Tourism Development Corporation Limited",""
"TARAJEWELS.NS","Tara Jewels Limited",""
"SINTEX.NS","Sintex Industries Limited",""
"CAPPIPES.BO","Captain Pipes Limited",""
"RESTILE.BO","Restile Ceramics Ltd.",""
"BLUECHIP.NS","Blue Chip India Limited",""
"GMRINFRA.NS","GMR Infrastructure Limited",""
"ASHOKLEY.NS","Ashok Leyland Limited",""
