"Date","BANKBARODA.NS.Open","BANKBARODA.NS.High","BANKBARODA.NS.Low","BANKBARODA.NS.Close","BANKBARODA.NS.Volume","BANKBARODA.NS.Adjusted"
2007-01-02,49,49,48.02,48.400002,720825,15.395111
2007-01-03,48.799999,50,48.41,49.459999,3195200,15.732274
2007-01-04,51.099998,51.099998,48.400002,48.919998,2028335,15.560511
2007-01-05,49,49,48.119999,48.349998,647880,15.379208
2007-01-08,49.689999,49.689999,47.220001,47.490002,2052730,15.105659
2007-01-09,47.700001,48.279999,45.419998,45.700001,3100170,14.536294
2007-01-10,45.759998,45.900002,44.82,45.27,2189070,14.399518
2007-01-11,45.880001,45.98,44.599998,45.110001,4017580,14.348626
2007-01-12,46.169998,48.740002,46.169998,48.110001,3791230,15.302867
2007-01-15,48.799999,49,47.84,47.970001,2481155,15.258334
2007-01-16,49,49,46.490002,47.68,2531035,15.166094
2007-01-17,47.68,48.189999,47.450001,47.619999,1078210,15.14701
2007-01-18,47.799999,48.5,47.02,47.360001,3027905,15.064308
2007-01-19,47.799999,47.799999,46.419998,47.09,2839560,14.978428
2007-01-22,47.380001,47.48,46.619999,46.790001,3864155,14.883001
2007-01-23,47.599998,47.599998,46.419998,47.02,4432370,14.956161
2007-01-24,47.779999,49.599998,46.619999,49.189999,6435375,15.646396
2007-01-25,49.799999,51.779999,49.209999,51.220001,6314390,16.292097
2007-01-29,50.98,51,49.02,49.450001,1855330,15.729097
2007-01-31,48.799999,52,48.540001,49.98,4516065,15.897677
2007-02-01,50,51.380001,48.619999,50.990002,3765750,16.218941
2007-02-02,51.599998,51.599998,49.389999,49.52,3369495,15.751361
2007-02-05,49.959999,50.41,49.200001,49.41,1429640,15.716374
2007-02-06,49.68,50.200001,49.400002,49.619999,3281650,15.783172
2007-02-07,50,50,49.220001,49.560001,2604690,15.764085
2007-02-08,49.599998,49.84,48.02,48.299999,1447665,15.363302
2007-02-09,48.799999,49,47.110001,47.830002,1843305,15.213806
2007-02-12,47,47.580002,46.02,47.07,2358035,14.972064
2007-02-13,48,48,46.400002,46.860001,2433245,14.905266
2007-02-14,45.66,46,43.639999,45.439999,4428695,14.453592
2007-02-15,46.200001,47.900002,45.919998,46.419998,3999575,14.76531
2007-02-19,48.98,48.98,43,45.380001,2316380,14.434506
2007-02-20,45.400002,45.580002,44.599998,45.209999,1668710,14.380433
2007-02-21,45.259998,45.540001,44.799999,45.119999,2341255,14.351805
2007-02-22,44.439999,45.75,42.799999,43.27,5139210,13.763356
2007-02-23,43.400002,44.18,42.200001,42.580002,2307250,13.543882
2007-02-26,44.18,44.18,42.599998,43.669998,1195570,13.890588
2007-02-27,46.98,46.98,43.220001,44.75,2371960,14.234115
2007-02-28,43,44.599998,41.220001,43.849998,1976285,13.947844
2007-03-01,42.32,44.82,42.32,44.529999,1161245,14.164138
2007-03-02,45.18,45.18,42.619999,42.889999,2759020,13.642486
2007-03-05,42,42.400002,40.889999,41.16,2204525,13.092207
2007-03-06,42.380001,42.380001,39.709999,40.139999,2716075,12.767763
2007-03-07,41.16,41.279999,37.700001,38.07,4329905,12.109336
2007-03-08,38.400002,41.970001,38,41.349998,3007955,13.152641
2007-03-09,41.580002,42.720001,39.799999,40.040001,3175590,12.735957
2007-03-12,41.200001,41.68,40.029999,40.98,2769505,13.034951
