,Date,Open,High,Low,Close,Volume,Adjusted,Diff,RSI,Typical Price,MF,MFI,EMA,SO,EMA12,EMA26,MACD,Signal Line
0,2007-01-02,208.0,211.25,205.0,208.149994,1340476,170.999222,,,208.13333133333333,278997735.4523813,,,,,,,
1,2007-01-03,209.699997,210.399994,206.050003,207.649994,837727,170.58847,-0.5,,208.03333033333334,174275137.72015235,,,,,,,
2,2007-01-04,208.149994,214.100006,208.149994,209.899994,1974841,172.436859,2.25,,210.71666466666667,416131908.7669847,,,,,,,
3,2007-01-05,208.949997,211.19999700000002,202.550003,204.199997,1359810,167.754242,-5.699996999999996,,205.98333233333332,280098195.14019,,,,,,,
4,2007-01-08,204.0,205.0,198.199997,199.699997,992231,164.057404,-4.5,,200.96666466666667,199405354.64887133,,,,,,,
5,2007-01-09,201.5,203.800003,190.0,191.300003,2993774,157.15661599999999,-8.399993999999992,,195.03333533333333,583885728.4542147,,,,,,,
6,2007-01-10,192.0,194.399994,182.0,190.199997,1956735,156.252975,-1.1000060000000076,,188.86666366666668,369562011.129795,,,0.25545157218973713,,,,
7,2007-01-11,191.0,194.399994,188.600006,192.149994,1825681,157.854919,1.9499969999999962,,191.71666466666667,350013472.0653047,,,0.31619913092851104,,,,
8,2007-01-12,220.0,220.0,194.0,206.550003,4639939,169.684799,14.400009000000011,,206.85000100000002,959771386.789939,,,0.6460527105263159,,,,
9,2007-01-15,211.69999700000002,211.69999700000002,203.0,203.649994,766076,167.302414,-2.9000090000000114,,206.11666366666668,157901029.23510534,,443.9546855894753,0.5697366842105261,,,,
10,2007-01-16,203.600006,206.0,201.0,201.899994,1317376,165.864731,-1.75,,202.96666466666667,267383412.83191466,,443.2295716044703,0.5236840526315788,,,,
11,2007-01-17,202.0,205.300003,201.0,202.550003,891315,166.39871200000002,0.6500090000000114,,202.950002,180892381.03263,,442.76853530185673,0.540789552631579,499.5709453772658,,,
12,2007-01-18,203.0,210.0,202.550003,205.75,2178416,169.027573,3.199996999999996,,206.10000100000002,448971539.77841604,,442.9212021264779,0.625,499.83981696145736,,,
13,2007-01-19,208.0,208.899994,201.699997,203.5,1031740,167.179169,-2.25,,204.69999700000002,211197174.90478003,,443.1386907870528,0.4745221925838583,499.4460556632014,,,
14,2007-01-22,204.699997,209.0,200.5,204.350006,1864180,167.87747199999998,0.8500060000000076,50.40603465265078,204.61666866666667,381442301.3950267,61.92806557779077,444.283266711632,0.39807715384615416,498.9224183745155,,,
15,2007-01-23,205.0,205.699997,195.550003,196.550003,2313428,161.46958899999998,-7.800003000000004,50.57983042825558,199.26666766666668,460989088.44676137,59.05500909198401,444.2011800307288,0.06191952764812165,496.999562329642,,,
16,2007-01-24,198.0,199.25,193.649994,196.449997,1268073,161.387436,-0.10000600000000759,50.45705551273624,196.44999700000002,249112937.04578102,60.04979690723028,444.40547234720134,0.17125394327072432,495.88457600709023,,,
17,2007-01-25,197.0,199.0,194.5,195.399994,2223456,160.52484099999998,-1.0500030000000038,50.58042655231902,196.299998,436464408.35308796,58.72987317708836,444.0835194577244,0.10703359986534557,495.8764162459918,,,
18,2007-01-29,197.0,197.0,193.25,194.199997,758616,159.53903200000002,-1.1999969999999962,50.65784025865849,194.81666566666664,147791039.64138398,59.15909925113738,441.2322757315829,0.056716238805969925,495.77919335719724,,,
19,2007-01-31,195.050003,197.600006,186.0,191.100006,3737705,156.992325,-3.0999909999999886,50.66065972559449,191.56667066666668,716019702.7841533,58.07256757773411,438.07794532590685,0.22173939130434817,494.5822193002552,,,
20,2007-02-01,192.0,198.649994,190.0,196.149994,3531103,161.141006,5.049987999999985,50.426748338078845,194.93332933333332,688329664.0089213,60.25391283274947,437.06546327978623,0.4413040869565214,492.76660827911815,,,
21,2007-02-02,198.0,198.0,192.050003,194.149994,2377297,159.49794,-2.0,50.703698289978924,194.73333233333332,462938966.7560363,60.619174965997885,435.3607615354858,0.4137053421886305,490.888435937209,,,
22,2007-02-05,225.0,225.0,191.699997,194.399994,1179367,159.703339,0.25,50.40277357902598,203.69999700000002,240237054.36189902,52.893051106264316,433.33136357292574,0.21538446153846133,489.4464769909672,,,
23,2007-02-06,196.0,196.5,191.25,192.050003,1359578,157.772766,-2.3499909999999886,50.566498557811144,193.26666766666668,262761109.49291134,52.06602833843289,431.007812374777,0.15512828205128215,487.2917953508141,,,
24,2007-02-07,191.5,198.5,190.100006,192.399994,2494015,158.06028700000002,0.3499909999999886,50.48666671518697,193.66666666666666,483007571.6666666,52.29235130386009,428.80250657325604,0.16410241025641006,484.8546085452125,,,
25,2007-02-08,191.25,197.0,191.25,192.300003,442394,157.978165,-0.09999099999998862,50.44860678683212,193.51666766666668,85610612.67572734,57.092726524462435,427.91366852356964,0.16153853846153857,482.8365736064749,868.5810106378417,-385.74443703136683,
26,2007-02-09,194.0,194.0,185.25,187.350006,1054194,153.91163600000002,-4.949996999999996,50.3221431132099,188.86666866666667,199102108.908388,58.105189506328244,425.5330167022631,0.0528303396226417,479.3364361168805,864.9663663227772,-385.62993020589664,
27,2007-02-12,186.0,187.899994,176.0,178.75,1466240,146.846573,-8.600006000000008,50.642600344097,180.88333133333333,265218375.73418665,57.70113570209454,420.8098642623788,0.05612244897959184,474.75327405703945,859.6839975861136,-384.93072352907416,
28,2007-02-13,175.0,183.75,174.0,177.25,2068475,145.614288,-1.5,50.49530988366211,178.33333333333334,368878041.6666667,58.61139605638775,416.2547821506866,0.06372549019607843,470.08903582884864,853.8628322059274,-383.7737963770787,
29,2007-02-14,172.0,172.0,162.199997,169.100006,2841185,138.9189,-8.149993999999992,50.82489463201544,167.76666766666668,476656139.67451835,58.50759389476697,410.02868367514225,0.1900828768526551,463.5559601113929,847.2680143360284,-383.7120542246355,
30,2007-02-15,174.0,180.0,172.0,178.300003,1624594,146.47688300000002,9.199996999999996,50.416911653510994,176.76666766666668,287174067.6912607,55.38208704352987,406.5040641668093,0.44352629943308836,460.3241367477022,843.3889892701919,-383.06485252248973,
31,2007-02-19,180.0,181.0,177.800003,178.25,940556,146.435806,-0.050003000000003794,50.64701703590909,179.01666766666668,168375200.87388936,57.388424074738445,403.48592802343325,0.4612069429994015,457.7274103247513,840.7923346884002,-383.06492436364886,
32,2007-02-20,180.5,180.5,175.0,175.800003,803360,144.42308,-2.449996999999996,50.89624109000875,177.10000100000002,142275056.80336002,57.43123220711328,399.8133905260273,0.42767310430756894,453.77198913014837,837.9043438985706,-384.1323547684222,
