"Date","BOSCHLTD.NS.Open","BOSCHLTD.NS.High","BOSCHLTD.NS.Low","BOSCHLTD.NS.Close","BOSCHLTD.NS.Volume","BOSCHLTD.NS.Adjusted"
2007-01-02,3723.877,3749.405,3574.433,3478.899902,5793,3270.685059
2007-01-03,3717.495,3765.36,3664.312,3520.899902,8216,3310.171143
2007-01-04,3744.087,3753.66,3690.904,3473.050049,5906,3265.185059
2007-01-05,3680.267,3764.243,3680.267,3519.649902,7813,3308.996094
2007-01-08,3722.813,3754.723,3685.585,3516.199951,1906,3305.75293
2007-01-09,3693.084,3838.752,3693.084,3531.449951,18738,3320.089844
2007-01-10,3744.087,3775.996,3722.813,3516.25,3094,3305.799561
2007-01-11,3775.996,3775.996,3686.649,3485,855,3276.420166
2007-01-12,3754.723,3773.55,3669.63,3463.899902,27305,3256.583008
2007-01-15,3774.933,3828.116,3722.813,3556.600098,2488,3343.734619
2007-01-16,3775.997,3807.906,3724.941,3509.949951,1683,3299.876465
2007-01-17,3732.386,3750.415,3686.649,3473.5,17450,3265.608398
2007-01-18,3768.019,3768.019,3672.821,3467.949951,1013,3260.390625
2007-01-19,3749.405,3749.405,3682.979,3507.850098,860,3297.902588
2007-01-22,3748.341,3748.341,3690.903,3471.5,1901,3263.728271
2007-01-23,3674.949,3733.45,3674.949,3488.800049,763,3279.992676
2007-01-24,3712.177,3733.45,3697.285,3490.449951,1046,3281.543945
2007-01-25,3701.54,3775.996,3693.562,3541.399902,8941,3329.44458
2007-01-29,3733.45,3871.726,3733.45,3609.350098,5964,3393.327881
2007-01-31,3770.678,3845.081,3770.678,3601.800049,1422,3386.229736
2007-02-01,3775.996,3823.755,3765.36,3568,1307,3354.452393
2007-02-02,3799.397,3828.541,3768.019,3588.649902,2468,3373.866211
2007-02-05,3781.314,3951.5,3776.528,3686.550049,6004,3465.907471
2007-02-06,3882.362,4061.057,3882.362,3788,3889,3561.2854
2007-02-07,4087.117,4095.094,3914.272,3688.600098,3045,3467.834717
2007-02-08,4025.957,4025.957,3919.59,3707.899902,1692,3485.979248
2007-02-09,3982.293,3985.537,3892.999,3664.199951,1907,3444.894775
2007-02-12,3851.516,3914.751,3773.869,3593.050049,3686,3378.003418
2007-02-13,3723.877,3850.399,3669.896,3506.449951,2434,3296.586426
2007-02-14,3701.646,3773.709,3669.63,3531.800049,852,3320.419434
2007-02-15,3829.179,3844.017,3728.132,3552.850098,1854,3340.209229
2007-02-19,3798.333,3853.271,3778.124,3589.449951,7939,3374.618652
2007-02-20,3828.062,3828.062,3777.166,3558.199951,3122,3345.239014
2007-02-21,3760.042,3830.243,3757.915,3588.5,2080,3373.725098
2007-02-22,3786.952,3807.906,3765.891,3555,4001,3342.230957
2007-02-23,3722.813,3774.933,3693.031,3531.350098,2345,3319.996094
2007-02-26,3749.405,3829.127,3696.222,3499.75,3417,3290.286865
2007-02-27,3818.542,3818.542,3696.221,3500.600098,4155,3291.086914
2007-02-28,3302.88,3829.179,3302.88,3538.899902,3483,3327.093994
2007-03-01,3696.222,3722.813,3643.038,3458.25,5042,3251.27124
2007-03-02,3669.63,3698.721,3509.017,3333.25,5299,3133.75293
2007-03-05,3563.264,3584.537,3367.55,3242.100098,2033,3048.05835
2007-03-06,3476.044,3573.901,3350.532,3162.399902,2668,2973.127686
2007-03-07,3409.033,3456.898,3351.595,3164.850098,2296,2975.431641
2007-03-08,3446.261,3467.535,3345.267,3227.949951,3469,3034.754639
2007-03-09,3446.262,3467.482,3435.784,3249.600098,1356,3055.108887
2007-03-12,3541.991,3541.991,3403.715,3238.550049,729,3044.720215
2007-03-13,3430.307,3486.362,3415.415,3257.550049,1584,3062.583008
2007-03-14,3403.715,3536.62,3387.76,3249.899902,16381,3055.390625
2007-03-15,3541.885,3664.312,3318.622,3194.25,5371,3003.071533
2007-03-16,3388.93,3393.078,3276.076,3093.25,19846,2908.116699
2007-03-19,3424.988,3424.988,3201.619,3033.399902,2099,2851.848633
2007-03-20,3377.124,3377.124,3265.439,3154.149902,21072,2965.371338
2007-03-21,3190.982,3382.441,3190.982,3165.899902,3982,2976.418701
2007-03-22,3364.323,3470.286,3364.323,3224.899902,47584,3043.423096
2007-03-23,3470.286,3492.538,3423.662,3273.100098,13034,3088.910889
2007-03-26,3475.583,3475.583,3428.165,3271.649902,1207,3087.54248
2007-03-28,3443.795,3454.391,3412.006,3241.399902,1418,3058.994385
2007-03-29,3413.596,3475.584,3412.006,3251.050049,7597,3068.101318
2007-03-30,3454.391,3496.776,3422.708,3263.399902,3056,3079.756592
2007-04-02,3433.198,3486.18,3380.217,3250.949951,3409,3068.007324
2007-04-03,3412.006,3427.901,3369.621,3201.75,678,3021.575684
2007-04-04,3406.708,3433.199,3386.575,3200.300049,6484,3020.207275
2007-04-05,3411.424,3411.424,3375.449,3201.5,7717,3021.3396
2007-04-09,3412.006,3426.841,3386.575,3219.350098,7212,3038.185547
2007-04-10,3387.635,3443.795,3374.919,3233.550049,1366,3051.586182
2007-04-11,3433.199,3496.777,3417.304,3293.350098,617,3108.020996
2007-04-12,3474.525,3475.584,3390.814,3200.25,20729,3020.159912
2007-04-13,3432.511,3623.933,3403.583,3376.050049,2679,3186.06665
2007-04-16,3702.663,3702.663,3576.249,3399.649902,1734,3208.338867
2007-04-17,3602.74,3645.019,3572.01,3388.699951,3610,3198.005127
2007-04-18,3602.739,3655.721,3555.056,3371.899902,546,3182.150635
2007-04-19,3549.758,3661.019,3528.565,3446.5,1094,3252.552734
2007-04-20,3661.019,3679.033,3590.077,3426.600098,873,3233.772461
2007-04-23,3666.317,3671.616,3577.309,3387.649902,1164,3197.01416
2007-04-24,3601.627,3602.686,3496.776,3347.149902,3023,3158.793457
2007-04-25,3523.267,3586.845,3497.836,3359.850098,1971,3170.778809
2007-04-26,3649.84,3736.253,3586.845,3447.899902,8621,3253.873779
2007-04-27,3868.018,4185.536,3868.018,3819.550049,28433,3604.609863
2007-04-30,4026.591,4278.782,4026.591,3892.699951,6550,3673.643799
2007-05-03,4124.077,4227.92,4068.976,3843.649902,8860,3627.35376
2007-05-04,4079.572,4090.168,4070.035,3850.600098,3134,3633.913086
2007-05-07,4079.89,4121.427,4079.625,3879.199951,2014,3660.903564
2007-05-08,4114.541,4114.541,4086.037,3861.899902,1603,3644.576172
2007-05-09,4090.169,4112.421,4074.275,3876.199951,4113,3658.071777
2007-05-10,4090.169,4126.726,4090.169,3876.649902,2710,3658.496338
2007-05-11,4079.572,4114.54,4079.572,3879.25,8350,3660.950439
2007-05-14,4111.361,4116.66,4075.387,3852.149902,7635,3635.375244
2007-05-15,4079.572,4114.54,4079.572,3851.5,1592,3634.762207
2007-05-16,4238.411,4238.517,4084.871,3870.699951,5297,3652.881592
2007-05-17,4102.354,4143.097,4079.572,3859.050049,172253,3641.887207
