"Date","BPCL.NS.Open","BPCL.NS.High","BPCL.NS.Low","BPCL.NS.Close","BPCL.NS.Volume","BPCL.NS.Adjusted"
2007-01-02,56.333302,56.633301,55.516701,55.716702,561132,16.403709
2007-01-03,55.866699,56.5,55.358299,56.325001,1950906,16.582804
2007-01-04,57.599998,58.75,57,57.575001,6962976,16.950817
2007-01-05,58.5,59.900002,58,58.700001,4472076,17.282034
2007-01-08,58.849998,59.5667,58.333302,58.674999,3166146,17.274672
2007-01-09,58.5,59.483299,57.091702,57.541698,1226124,16.941015
2007-01-10,58,58.150002,55.266701,57.5,2841288,16.928736
2007-01-11,58.166698,59.3167,57.583302,59.108299,2884326,17.402245
2007-01-12,59.666698,62.216702,59.666698,61.3083,7727694,18.049952
2007-01-15,61.666698,61.666698,58.341702,58.633301,3179760,19.135071
2007-01-16,58.8167,59.166698,57.6833,57.9333,1303074,18.906622
2007-01-17,58.666698,60.25,58.333302,59.991699,3079728,19.578386
2007-01-18,59.666698,61.666698,58.924999,60.991699,3739782,19.904736
2007-01-19,61.333302,62.466702,60.6833,60.966702,4925232,19.896578
2007-01-22,60.966702,61.666698,60.208302,61.1917,3513216,19.970007
2007-01-23,60.349998,60.983299,59,59.549999,2753670,19.434238
2007-01-24,59.333302,59.333302,58.1917,58.875,2315964,19.213947
2007-01-25,58.333302,60.333302,58.291698,59.8083,3611982,19.518532
2007-01-29,59.583302,60.833302,59.333302,60.516701,3408174,19.749722
2007-01-31,60.833302,60.833302,59.341702,60.0667,1920108,19.602861
2007-02-01,59.166698,59.908298,58.849998,59.658298,1210260,19.469578
2007-02-02,59.983299,59.983299,58.516701,58.741699,3222828,19.170446
2007-02-05,58.5,59.991699,57.666698,59.783298,1650582,19.510374
2007-02-06,59.833302,59.833302,58.633301,59.174999,1864452,19.311852
2007-02-07,59.150002,59.166698,57.341702,57.633301,1998804,18.808716
2007-02-08,58.166698,58.333302,57.0583,58.266701,2210328,19.015427
2007-02-09,57.833302,57.833302,57.099998,57.366699,1150326,18.721712
2007-02-12,56.841702,57.8167,54.75,55.3083,1157850,18.049952
2007-02-13,53.358299,55.658298,53.358299,54.775002,1706928,17.875906
2007-02-14,53.416698,54.650002,53.1833,54.0667,953682,17.644756
2007-02-15,54.166698,56.833302,52.916698,54.641701,5336328,17.832405
2007-02-19,54.166698,56.1833,53.349998,55.916698,1320606,18.248503
2007-02-20,56.5,56.75,55.025002,55.3083,2705142,18.049952
2007-02-21,55.041698,56.666698,55.041698,56,1936842,18.275686
2007-02-22,56,56.658298,54.375,54.841702,2318496,17.897675
2007-02-23,58.333302,58.333302,52.599998,52.883301,2017512,17.258547
2007-02-26,53.666698,53.666698,51.666698,52.575001,1570272,17.15793
2007-02-27,52.833302,52.833302,51.341702,51.549999,2820870,16.823423
2007-02-28,50.166698,52.641701,48.833302,51.875,5082888,16.929485
2007-03-01,52.466702,52.466702,50.333302,51.650002,2456688,16.85606
2007-03-02,50.616699,52.166698,49.666698,50.008301,1394394,16.320288
2007-03-05,48.833302,49.966702,47.5,48.1833,2914038,15.724695
2007-03-06,49.166698,51.083302,49.166698,50.549999,8722644,16.497074
2007-03-07,51.166698,51.5,49.208302,50.008301,7827822,16.320288
2007-03-08,49.666698,50.400002,49.333302,49.991699,6466032,16.314871
2007-03-09,50.400002,50.400002,49.008301,49.466702,1059762,16.143538
2007-03-12,50.166698,50.908298,49.833302,50.633301,3666876,16.524258
2007-03-13,51.166698,51.166698,50.1833,50.616699,919908,16.518837
2007-03-14,50.5,59.799999,46.974998,49.241699,2018622,16.070105
2007-03-15,49.833302,50.166698,48.349998,49.208302,1368942,16.059208
2007-03-16,49.5,51,49.5,50.208302,3699540,16.385557
2007-03-19,50.666698,51.883301,50.333302,51.208302,3381450,16.711908
2007-03-20,51.208302,53.908298,50.833302,53.208302,3391512,17.364611
2007-03-21,52.599998,53.150002,51.75,52,1229184,16.97028
2007-03-22,52,53.25,52,52.3083,1025874,17.070896
2007-03-23,51.5,52.658298,50.858299,51.266701,2380110,16.730965
2007-03-26,50.916698,51.908298,50.5,51.099998,1748736,16.676563
2007-03-28,49.0583,50.658298,49.0583,49.958302,1436622,16.30397
2007-03-29,49.833302,52.483299,49.5,52.108299,2606604,17.005625
2007-03-30,53.383301,53.383301,50.1833,50.458302,2797320,16.467142
2007-04-02,50.416698,50.5,48.508301,48.8167,1289958,15.931406
2007-04-03,49.166698,49.799999,48.5,49.525002,698250,16.162561
2007-04-04,50,50.883301,49.258301,49.958302,969918,16.30397
2007-04-05,49.833302,50.8167,49.5,50.549999,1264290,16.497074
2007-04-09,50.333302,52.400002,50.333302,52.091702,2071650,17.000208
2007-04-10,53.200001,55.25,52.016701,54.891701,2957082,17.913992
2007-04-11,54.891701,55.166698,52.849998,53.174999,1023870,17.353746
2007-04-12,53.333302,53.75,51.916698,52.258301,1131792,17.054583
2007-04-13,51.666698,53.325001,50.6917,52.633301,1026066,17.17696
2007-04-16,52.541698,54.166698,51.841702,53.700001,3368052,17.525078
2007-04-17,53.791698,56.291698,53.791698,55.508301,2799948,18.115223
2007-04-18,55.333302,56.5,53.216702,53.4333,2222994,17.438042
2007-04-19,53.341702,54.116699,52.341702,53.125,2155686,17.337423
2007-04-20,53.166698,54.733299,52.916698,53.916698,1266696,17.595798
2007-04-23,54,54.991699,51.224998,53.724998,1434744,17.533239
2007-04-24,53.333302,54.3167,52.516701,53.883301,776202,17.5849
2007-04-25,53.833302,54.983299,53.833302,54.766701,1017564,17.873196
2007-04-26,55.5,57.416698,54.416698,56.583302,3287724,18.466051
2007-04-27,56.833302,57.991699,54.166698,56.491699,2340846,18.436153
2007-04-30,55.833302,56.616699,55.016701,55.541698,2221452,18.12612
2007-05-03,55.833302,58.166698,55.833302,57.758301,4702230,18.849512
2007-05-04,57.833302,58.333302,55.424999,55.825001,2951856,18.218575
2007-05-07,56.5,58.666698,56.5,58.275002,3511440,19.018139
2007-05-08,58.333302,59.141701,56.924999,57.158298,1320084,18.6537
2007-05-09,57.174999,58.641701,54.299999,58.424999,2369760,19.067087
2007-05-10,58.333302,60,58.166698,59.174999,2560206,19.311852
2007-05-11,59.166698,59.916698,56.891701,59.616699,1710342,19.456005
2007-05-14,60,61.9333,59.208302,60.9417,2369232,19.88842
2007-05-15,60.833302,62.833302,60.833302,62.450001,2874096,20.380657
2007-05-16,62.666698,63,60.591702,61.325001,5143278,20.013508
2007-05-17,61.708302,63.633301,60.208302,63.241699,2983110,20.639025
2007-05-18,63.333302,63.358299,60.833302,62.599998,1441188,20.429609
2007-05-21,62.666698,65.891701,62.333302,65.583298,5508354,21.403212
2007-05-22,65.166702,65.666702,63.333302,65,2286960,21.212849
2007-05-23,65,66.666702,63.025002,64.083298,6048888,20.913683
2007-05-24,64,64.375,61.6833,61.841702,1940838,20.182135
2007-05-25,61.666698,61.666698,60.083302,60.799999,5566206,19.842176
2007-05-28,61.616699,61.666698,60.216702,60.483299,2417082,19.738813
2007-05-29,60.349998,60.8083,59.200001,59.591702,1712358,19.447844
2007-05-30,60,60,58.333302,58.849998,2162766,19.20579
2007-05-31,59.166698,61.391701,58.783298,60.200001,4688628,19.646366
2007-06-01,60.333302,60.833302,57.9333,60.158298,1932090,19.632757
2007-06-04,59.166698,61.5,58.608299,59.266701,3743946,19.34178
2007-06-05,59.266701,59.333302,57.508301,58.3167,3942900,19.031744
2007-06-06,57.608299,58.658298,56.200001,56.825001,4502676,18.54493
2007-06-07,55.275002,57.633301,55.275002,57.341702,3061506,18.713554
2007-06-08,57.333302,57.333302,54.891701,55.208302,4319310,18.017317
2007-06-11,55.5,57.150002,55.208302,56.383301,3922770,18.40078
2007-06-12,56.658298,57.916698,55.700001,57.724998,2647134,18.838646
2007-06-13,57.200001,58.133301,55.533298,55.75,763782,18.194101
2007-06-14,56.983299,56.983299,55.1917,55.799999,1633674,18.210417
2007-06-15,55.849998,56.166698,55.166698,55.766701,1245714,18.199549
2007-06-18,55,56.166698,54.391701,55.666698,1115532,18.166916
2007-06-19,55.491699,56.166698,54.416698,55.358299,1828752,18.066267
2007-06-20,55.983299,56.233299,55.166698,55.5,1547934,18.112514
2007-06-21,56.241699,58.666698,55.049999,57.900002,2589210,18.895758
2007-06-22,61.666698,61.666698,57.833302,58.6833,1840596,19.151386
2007-06-25,58.833302,59.125,56.333302,57.1917,835884,18.664604
2007-06-26,57.333302,57.833302,55.833302,55.958302,1464000,18.262079
2007-06-27,56.833302,56.833302,54.674999,54.916698,2584098,17.922152
2007-06-28,55.8167,56.333302,55.166698,56.125,1924662,18.316484
2007-06-29,55.841702,57.016701,55.349998,56.741699,1851486,18.517744
2007-07-02,56.833302,57.583302,56.333302,57.174999,1976490,18.659151
