,Date,Open,High,Low,Close,Volume,Adjusted,Diff,RSI,Typical Price,MF,MFI,EMA,SO,EMA12,EMA26,MACD,Signal Line
0,2014-12-11,41.900002,41.900002,39.849998,39.849998,117000,39.849998,,,40.53333266666667,4742399.922,,,,,,,
1,2014-12-12,37.900002,37.900002,37.900002,37.900002,12000,37.900002,-1.9499959999999987,,37.900002,454800.02400000003,,,,,,,
2,2014-12-15,36.049999,39.75,36.049999,39.599998,30000,39.599998,1.6999959999999987,,38.466665666666664,1153999.97,,,,,,,
3,2014-12-16,41.0,41.549999,41.0,41.0,129000,41.0,1.4000020000000006,,41.183333,5312649.9569999995,,,,,,,
4,2014-12-17,41.5,41.5,40.0,40.049999,36000,40.049999,-0.9500010000000003,,40.51666633333333,1458599.988,,,,,,,
5,2014-12-18,40.150002,40.200001,40.150002,40.200001,6000,40.200001,0.15000200000000063,,40.18333466666667,241100.008,,,,,,,
6,2014-12-19,40.299999,40.299999,40.299999,40.299999,6000,40.299999,0.09999799999999937,,40.299999,241799.994,,,0.7264953539340064,,,,
7,2014-12-22,40.75,40.75,40.75,40.75,36000,40.75,0.4500010000000003,,40.75,1467000.0,,,0.8545456363636365,,,,
8,2014-12-23,41.099998,41.099998,41.0,41.0,6000,41.0,0.25,,41.03333266666667,246199.99599999998,,,0.9000001818181819,,,,
9,2014-12-24,41.200001,41.5,41.099998,41.450001,15000,41.450001,0.4500010000000003,,41.34999966666667,620249.995,,89.18605300223057,0.9354851196678196,,,,
10,2014-12-26,41.450001,42.5,41.450001,42.5,6000,42.5,1.0499989999999997,,42.15000033333333,252900.00199999998,,89.90801148627892,1.0,,,,
11,2014-12-29,42.5,42.5,42.5,42.5,0,42.5,0.0,,42.5,0.0,,90.87327683150903,1.0,101.24586983940874,,,
12,2014-12-30,42.5,42.5,42.5,42.5,0,42.5,0.0,,42.5,0.0,,91.50538950398857,1.0,101.83393589717303,,,
13,2014-12-31,42.0,43.200001,42.0,43.200001,6000,43.200001,0.7000010000000003,,42.80000066666667,256800.00400000002,,92.09240683123014,1.0,102.89152883324785,,,
14,2015-01-01,43.200001,43.200001,43.200001,43.200001,0,43.200001,0.0,51.57883811879919,43.20000100000001,0.0,46.033252919981884,92.77739510942874,1.0,103.63202016805829,,,
15,2015-01-02,42.950001,42.950001,42.950001,42.950001,3000,42.950001,-0.25,50.010038195131465,42.95000100000001,128850.00300000003,50.69367508509377,93.3119387965844,0.8809525510201652,104.04345381592412,,,
16,2015-01-05,41.0,41.0,41.0,41.0,3000,41.0,-1.9500010000000003,50.21534434924516,41.0,123000.0,57.937607102529164,93.1839355953058,0.0,104.0169825988928,,,
17,2015-01-06,40.0,41.0,40.0,41.0,6000,41.0,0.0,50.21534434924516,40.666666666666664,244000.0,36.27472907458476,93.02482226748948,0.3124999023437805,103.99095684444525,,,
18,2015-01-07,41.0,41.0,41.0,41.0,0,41.0,0.0,49.79567412721911,41.0,0.0,70.26066908191426,92.86103097745244,0.3124999023437805,103.96997155441825,,,
19,2015-01-08,41.0,41.0,41.0,41.0,0,41.0,0.0,49.83567353980143,41.0,0.0,68.77924783442046,92.65552710840564,0.3124999023437805,103.89677729071165,,,
20,2015-01-09,41.0,41.0,41.0,41.0,0,41.0,0.0,49.87062087098369,41.0,0.0,67.13749767692873,92.30957264938868,0.3124999023437805,103.80116679105846,,,
21,2015-01-12,40.0,40.0,40.0,40.0,3000,40.0,-1.0,50.32064124379201,40.0,120000.0,54.30184986780574,91.67360728669384,0.0,103.36176740821139,,,
22,2015-01-13,40.0,40.0,40.0,40.0,0,40.0,0.0,50.266277546844584,40.0,0.0,50.191787644370045,91.09216715687563,0.0,102.79671451621395,,,
23,2015-01-14,40.0,40.0,40.0,40.0,0,40.0,0.0,50.187238458548826,40.0,0.0,35.5997449376777,90.44412762617316,0.0,102.2667822354447,,,
24,2015-01-15,40.0,40.0,40.0,40.0,0,40.0,0.0,50.0503726665117,40.0,0.0,26.86334987102039,89.83569925392051,0.0,101.76656739494541,,,
