"Date","CAPPIPES.BO.Open","CAPPIPES.BO.High","CAPPIPES.BO.Low","CAPPIPES.BO.Close","CAPPIPES.BO.Volume","CAPPIPES.BO.Adjusted"
2014-12-11,41.900002,41.900002,39.849998,39.849998,117000,39.849998
2014-12-12,37.900002,37.900002,37.900002,37.900002,12000,37.900002
2014-12-15,36.049999,39.75,36.049999,39.599998,30000,39.599998
2014-12-16,41,41.549999,41,41,129000,41
2014-12-17,41.5,41.5,40,40.049999,36000,40.049999
2014-12-18,40.150002,40.200001,40.150002,40.200001,6000,40.200001
2014-12-19,40.299999,40.299999,40.299999,40.299999,6000,40.299999
2014-12-22,40.75,40.75,40.75,40.75,36000,40.75
2014-12-23,41.099998,41.099998,41,41,6000,41
2014-12-24,41.200001,41.5,41.099998,41.450001,15000,41.450001
2014-12-26,41.450001,42.5,41.450001,42.5,6000,42.5
2014-12-29,42.5,42.5,42.5,42.5,0,42.5
2014-12-30,42.5,42.5,42.5,42.5,0,42.5
2014-12-31,42,43.200001,42,43.200001,6000,43.200001
2015-01-01,43.200001,43.200001,43.200001,43.200001,0,43.200001
2015-01-02,42.950001,42.950001,42.950001,42.950001,3000,42.950001
2015-01-05,41,41,41,41,3000,41
2015-01-06,40,41,40,41,6000,41
2015-01-07,41,41,41,41,0,41
2015-01-08,41,41,41,41,0,41
2015-01-09,41,41,41,41,0,41
2015-01-12,40,40,40,40,3000,40
2015-01-13,40,40,40,40,0,40
2015-01-14,40,40,40,40,0,40
2015-01-15,40,40,40,40,0,40
2015-01-16,38,40.900002,38,40,12000,40
2015-01-19,39,39.299999,39,39.299999,6000,39.299999
2015-01-20,39.299999,39.299999,39.299999,39.299999,0,39.299999
2015-01-21,39.299999,39.299999,39.299999,39.299999,0,39.299999
2015-01-22,39.299999,39.299999,39.299999,39.299999,0,39.299999
2015-01-23,39.299999,39.299999,39.299999,39.299999,0,39.299999
2015-01-27,39.299999,39.299999,36.5,36.5,6000,36.5
2015-01-28,36.5,36.5,36,36,36000,36
2015-01-29,35,37,35,37,12000,37
2015-01-30,37,37,37,37,0,37
2015-02-02,37,40,37,40,18000,40
2015-02-03,41,41,41,41,15000,41
2015-02-04,40,40,40,40,6000,40
2015-02-05,40,40,40,40,0,40
2015-02-06,40,40,40,40,0,40
2015-02-09,40,40,40,40,0,40
2015-02-10,40,40,40,40,0,40
2015-02-11,40,40,40,40,0,40
2015-02-12,40,42,40,40,15000,40
2015-02-13,39.75,39.75,39.75,39.75,9000,39.75
2015-02-16,39.75,39.75,39.75,39.75,0,39.75
2015-02-18,39.75,39.75,39.75,39.75,0,39.75
2015-02-19,39.75,39.75,39.75,39.75,0,39.75
2015-02-20,39.75,39.75,39.75,39.75,0,39.75
2015-02-23,39.75,39.75,39.75,39.75,0,39.75
2015-02-24,39.75,39.75,39.75,39.75,0,39.75
2015-02-25,39.75,39.75,39.75,39.75,0,39.75
2015-02-26,39.75,39.75,39.75,39.75,0,39.75
2015-02-27,40.25,40.25,40.25,40.25,3000,40.25
2015-03-02,40.25,40.25,40.25,40.25,0,40.25
2015-03-03,40.25,40.25,40.25,40.25,0,40.25
2015-03-04,40.25,40.25,40.25,40.25,0,40.25
2015-03-05,40.25,40.25,40.25,40.25,0,40.25
2015-03-09,40.25,40.25,38,38,6000,38
2015-03-10,38,38,38,38,0,38
2015-03-11,38,38,38,38,0,38
2015-03-12,38,38,38,38,0,38
2015-03-13,38,38,38,38,0,38
2015-03-16,38,38,38,38,0,38
2015-03-17,38,38,38,38,0,38
2015-03-18,38,38,38,38,0,38
2015-03-19,36,36,36,36,3000,36
2015-03-20,36,36,36,36,0,36
2015-03-23,36,36,36,36,0,36
2015-03-24,33,33,33,33,3000,33
2015-03-25,33,33,33,33,0,33
2015-03-26,33,33,33,33,0,33
2015-03-27,33,33,33,33,0,33
2015-03-30,33,33,33,33,0,33
