"Date","DABUR.NS.Open","DABUR.NS.High","DABUR.NS.Low","DABUR.NS.Close","DABUR.NS.Volume","DABUR.NS.Adjusted"
2007-01-02,49.165001,49.599998,49,49.165001,1022082,41.343414
2007-01-03,49.665001,51.965,49.165001,51.134998,2935473,43.000015
2007-01-04,51.599998,52.235001,51,51.215,1931850,43.067284
2007-01-05,50.334999,51.415001,50.334999,50.584999,1085076,42.537514
2007-01-08,50.965,51.264999,50.165001,50.514999,1562775,42.478653
2007-01-09,50.965,51.334999,50.215,50.549999,1649364,42.50808
2007-01-10,50.884998,50.884998,49.014999,49.915001,1636986,41.974106
2007-01-11,50.450001,50.834999,49.365002,50.665001,1342035,42.604786
2007-01-12,51,51.650002,50.834999,51.264999,2108331,43.109337
2007-01-15,51.915001,52,50.75,51.049999,2531427,42.928528
2007-01-16,51.615002,51.665001,50.834999,51.314999,1217307,43.151382
2007-01-17,51.599998,51.834999,50.834999,51.715,2705379,43.487736
2007-01-18,51.849998,58.900002,51.665001,57.134998,11790669,48.045479
2007-01-19,59.285,59.334999,56,56.415001,9215541,47.440033
2007-01-22,56.965,57.099998,53.735001,54.099998,3927600,45.493313
2007-01-23,53.115002,55.165001,53.115002,53.685001,6841440,45.144352
2007-01-24,53.665001,55.264999,53.165001,54.599998,6056496,45.913769
2007-01-25,27.625,27.625,25.4375,25.674999,3510098,21.590406
2007-01-29,52,52.200001,50.549999,51.025002,1583760,42.907513
2007-01-31,51.325001,51.349998,49.049999,49.450001,2923924,41.58308
2007-02-01,49.549999,50.974998,48.75,50.424999,1532704,42.402966
2007-02-02,50.5,51.150002,49.900002,50.075001,1268502,42.108654
2007-02-05,50,51,49.5,50.75,1091858,42.676262
2007-02-06,51,53,50.25,52.650002,3286938,44.274002
2007-02-07,53.375,53.5,52.075001,53.174999,2384580,44.715473
2007-02-08,53.125,53.349998,51.5,52.349998,1286848,44.021717
2007-02-09,52.349998,52.875,51.400002,51.900002,1203124,43.643311
2007-02-12,52,52.400002,50.349998,50.799999,1099270,42.7183
2007-02-13,50.049999,51.700001,48.75,49.900002,1335930,41.961491
2007-02-14,49.5,50.950001,49,50.525002,1207866,42.487049
2007-02-15,50.924999,53.099998,49.525002,52.5,1604402,44.147854
2007-02-19,52.924999,53.049999,51.525002,52.325001,736796,44.000706
2007-02-20,52.650002,52.924999,50.75,51.125,480368,42.9916
2007-02-21,51.25,53.224998,50.549999,52.974998,2251236,44.547291
2007-02-22,53.849998,53.849998,49.049999,50.049999,4991428,42.08762
2007-02-23,50.349998,51.150002,48.5,49.224998,1425882,41.393879
2007-02-26,47.724998,50,47.724998,49.724998,1610104,41.814331
2007-02-27,50,50.450001,49.075001,49.325001,1339890,41.477962
2007-02-28,47.849998,49.5,46,48.849998,2484096,41.078526
2007-03-01,49.5,49.5,47.025002,47.950001,2219318,40.321716
2007-03-02,47.625,49.25,47,48.650002,1658896,40.910351
2007-03-05,47.525002,47.525002,45.224998,46.125,2230128,38.787041
2007-03-06,46.549999,48.450001,45,45.5,2434174,38.261478
