"Date","GMRINFRA.NS.Open","GMRINFRA.NS.High","GMRINFRA.NS.Low","GMRINFRA.NS.Close","GMRINFRA.NS.Volume","GMRINFRA.NS.Adjusted"
2007-01-02,35.319302,36.987202,34.8288,36.5947,22637929,36.180805
2007-01-03,36.987202,37.674,36.791,37.183399,27127476,36.762844
2007-01-04,37.379601,37.379601,36.3004,36.496601,17377252,36.08382
2007-01-05,36.5947,37.0853,35.809898,36.104198,19397837,35.695854
2007-01-08,36.104198,36.791,34.926899,35.1231,13283112,34.725853
2007-01-09,35.319302,35.908001,34.240101,34.730701,10753880,34.337891
2007-01-10,34.8288,34.8288,33.258999,33.357101,21920718,32.979824
2007-01-11,33.553398,34.730701,33.062801,34.5345,14490185,34.143909
2007-01-12,34.926899,35.515499,34.8288,35.1231,13726189,34.725853
2007-01-15,35.4174,36.5947,35.221199,35.809898,21577112,35.404884
2007-01-16,36.104198,36.692902,35.809898,36.202301,24364586,35.792843
2007-01-17,36.3004,36.496601,35.613701,35.908001,9200826,35.501873
2007-01-18,36.202301,36.202301,34.8288,35.613701,9098949,35.210903
2007-01-19,36.0061,36.791,35.319302,36.496601,18804987,36.08382
2007-01-22,36.791,37.379601,36.398499,36.692902,18749906,36.277897
2007-01-23,36.791,37.281502,36.398499,36.889099,18359402,36.471874
2007-01-24,37.0853,37.379601,36.202301,36.692902,21848992,36.277897
2007-01-25,37.0853,37.183399,36.0061,36.202301,21247938,35.792843
2007-01-29,36.398499,38.164501,35.613701,37.772099,37787287,37.344887
2007-01-31,37.9683,38.360699,37.0853,37.183399,32262752,36.762844
2007-02-01,36.398499,37.870201,36.398499,37.575802,12419819,37.15081
2007-02-02,38.066399,39.047501,37.477699,38.753201,30614762,38.314892
2007-02-05,38.949402,39.341801,38.360699,38.5569,19728336,38.120811
2007-02-06,38.851299,40.715302,38.753201,40.126701,53925574,39.672859
2007-02-07,40.322899,41.794498,40.126701,41.500198,40426815,41.030823
2007-02-08,41.598301,42.873699,41.304001,42.088902,61376065,41.612865
2007-02-09,42.187,42.383202,40.028599,40.911499,21575838,40.448784
2007-02-12,40.715302,40.715302,38.458801,38.949402,20127799,38.508877
2007-02-13,38.654999,40.8134,36.3004,39.341801,28383351,38.896839
2007-02-14,38.360699,40.421001,37.0853,39.832401,26398380,39.381889
2007-02-15,40.617199,41.500198,40.126701,41.1078,36897351,40.64286
2007-02-19,41.4021,41.6964,39.7342,40.5191,13196617,40.060822
2007-02-20,40.617199,40.8134,39.7342,39.9305,8531052,39.478878
2007-02-21,40.028599,40.421001,39.341801,39.636101,8999499,39.187809
2007-02-22,39.537998,40.028599,38.164501,38.360699,19572458,37.926834
2007-02-23,38.654999,38.753201,35.7118,37.477699,30944364,37.053818
2007-02-26,37.281502,38.2626,36.3004,37.772099,15884834,37.344887
2007-02-27,37.9683,37.9683,36.889099,37.281502,11435264,36.85984
2007-02-28,35.809898,38.360699,33.553398,34.8288,41290005,34.434879
2007-03-01,34.3382,37.674,34.240101,37.281502,33457298,36.85984
2007-03-02,37.575802,37.575802,35.809898,36.202301,19808461,35.792843
2007-03-05,35.319302,35.809898,33.357101,33.749599,17472982,33.367886
2007-03-06,33.847698,35.221199,32.081699,34.3382,29807957,33.949825
2007-03-07,34.8288,35.7118,33.062801,35.221199,32973388,34.822838
2007-03-08,35.4174,37.0853,34.141998,36.791,17195251,36.374889
2007-03-09,36.889099,37.870201,35.809898,36.398499,16494318,35.986824
2007-03-12,36.3004,37.0853,36.0061,36.398499,10103890,35.986824
2007-03-13,36.496601,38.2626,36.202301,38.066399,27407103,37.63586
2007-03-14,36.3004,37.281502,36.0061,36.3004,24348247,35.889835
2007-03-15,36.987202,37.575802,36.104198,36.3004,16484411,35.889835
2007-03-16,36.398499,36.987202,35.221199,36.791,18977122,36.374889
2007-03-19,37.183399,37.674,36.496601,36.889099,18296941,36.471874
2007-03-20,37.281502,37.575802,36.5947,36.791,18852842,36.374889
2007-03-21,36.791,37.0853,36.398499,36.791,9663351,36.374889
2007-03-22,37.281502,37.575802,36.791,36.987202,17773097,36.568871
2007-03-23,36.791,37.183399,36.3004,36.496601,10804742,36.08382
2007-03-26,36.5947,36.791,35.908001,36.104198,10491632,35.695854
2007-03-28,35.4174,35.809898,34.632599,34.926899,8764475,34.531868
2007-03-29,34.632599,35.4174,34.3382,34.926899,10269247,34.531868
2007-03-30,35.4174,35.809898,35.025002,35.319302,8321459,34.919834
2007-04-02,34.632599,34.632599,33.1609,33.4552,9030006,33.076817
2007-04-03,33.357101,33.847698,32.081699,33.357101,33726334,32.979824
2007-04-04,34.141998,34.8288,33.357101,33.553398,16602636,33.173904
2007-04-05,33.847698,35.1231,33.1609,34.8288,18838797,34.434879
2007-04-09,35.319302,35.809898,35.025002,35.515499,8887236,35.113811
2007-04-10,35.4174,36.692902,35.4174,36.398499,17790323,35.986824
2007-04-11,36.791,36.791,35.613701,35.809898,10486005,35.404884
2007-04-12,35.809898,36.3004,35.1231,35.613701,13541762,35.210903
2007-04-13,36.0061,36.202301,35.613701,35.908001,10346977,35.501873
2007-04-16,36.0061,37.281502,36.0061,37.183399,14095003,36.762844
2007-04-17,37.281502,38.066399,37.183399,37.379601,17890517,36.956829
2007-04-18,37.772099,38.458801,37.477699,37.9683,20847833,37.538872
2007-04-19,37.772099,37.9683,36.791,37.575802,6985000,37.15081
2007-04-20,37.772099,38.851299,37.772099,38.5569,9566938,38.120811
2007-04-23,38.949402,39.9305,38.654999,39.047501,14241391,38.605865
2007-04-24,38.753201,40.421001,36.398499,40.2248,17893993,39.769848
2007-04-25,40.322899,41.304001,40.2248,41.205898,18490308,40.739853
2007-04-26,40.911499,41.500198,39.636101,40.028599,18409398,39.575867
2007-04-27,39.243698,40.028599,38.458801,38.654999,6537458,38.217804
2007-04-30,38.949402,41.794498,38.2626,41.500198,21251842,41.030823
2007-05-03,41.9907,44.1492,41.892601,43.9529,28669206,43.455784
2007-05-04,44.1492,44.639702,42.4813,42.7756,13607149,42.291801
2007-05-07,43.168098,43.6586,41.6964,41.892601,14648773,41.418789
2007-05-08,42.187,43.3643,40.911499,41.1078,10642484,40.64286
2007-05-09,41.205898,42.971901,40.911499,42.873699,15824239,42.38879
2007-05-10,43.3643,43.756699,41.794498,42.088902,16537912,41.612865
2007-05-11,41.205898,43.07,41.009701,42.285099,9947555,41.806843
2007-05-14,42.677502,43.3643,42.677502,42.873699,8010663,42.38879
