"Date","HBSTOCK.NS.Open","HBSTOCK.NS.High","HBSTOCK.NS.Low","HBSTOCK.NS.Close","HBSTOCK.NS.Volume","HBSTOCK.NS.Adjusted"
2007-01-02,27,27.6,27,27.6,1300,24.826132
2007-01-03,30.35,30.4,30.35,30.4,3300,27.344725
2007-01-04,33.400002,33.450001,31,33.450001,43400,30.088192
2007-01-05,35,35.150002,34.849998,35.150002,20600,31.617338
2007-01-08,35.5,36.950001,35.5,36.599998,24100,32.921608
2007-01-09,37.700001,37.75,34.799999,34.799999,12200,31.302513
2007-01-10,33.150002,33.150002,33.099998,33.099998,1895,29.773367
2007-01-11,31.450001,34.5,31.450001,32.900002,8400,29.59347
2007-01-12,33,34.549999,33,34.450001,15300,30.98769
2007-01-15,35,36.200001,33,34,18900,30.582916
2007-01-16,32.549999,32.849998,32.299999,32.5,4500,29.233669
2007-01-17,31.65,32,30.9,31,4100,27.884422
2007-01-18,31.25,32,30.700001,31.049999,2600,27.929398
2007-01-19,30.1,31.9,29.5,29.75,5000,26.760052
2007-01-22,30.75,31,29.15,30.299999,3085,27.254774
2007-01-23,29.1,31.35,28.799999,29.85,8600,26.85
2007-01-24,30.6,30.65,29.25,29.75,2300,26.760052
2007-01-25,29,31.25,29,30.1,1865,27.074875
2007-01-29,29.1,29.450001,28.6,28.700001,2690,25.815578
2007-01-31,29.950001,30.15,29,30.15,4200,27.11985
2007-02-01,31.700001,31.700001,31.700001,31.700001,2100,28.514072
2007-02-02,33.299999,33.299999,33.299999,33.299999,5400,29.953266
2007-02-05,34.450001,35,33.75,34.049999,27400,30.62789
2007-02-06,34.900002,35,32.349998,32.349998,6400,29.098743
2007-02-07,32.900002,32.900002,30.75,30.950001,9800,27.839449
2007-02-08,30.549999,32.5,29.5,30.25,11800,27.209799
2007-02-09,28.9,30.799999,28.9,30.5,4100,27.434673
2007-02-12,28.549999,28.549999,27.549999,28.35,4600,25.500755
2007-02-13,27,28.5,26.1,28,3200,25.18593
2007-02-14,26.1,28.549999,26.1,28.549999,4000,25.680653
2007-02-15,28,31.450001,28,29.200001,4200,26.265327
2007-02-19,30.700001,32.049999,30.049999,30.85,20700,27.749498
2007-02-20,30,33.950001,30,31.85,25300,28.648996
2007-02-21,33,33.700001,32,32.549999,15700,29.278643
2007-02-22,33.700001,33.799999,32.5,32.549999,9900,29.278643
2007-02-23,32.450001,33,29.5,29.9,7100,26.894976
2007-02-26,30.200001,32.700001,29.950001,31.6,5700,28.424122
2007-02-27,30.5,32.5,30.5,31.299999,2200,28.154272
2007-02-28,30,30.9,28.35,30.049999,4857,27.0299
2007-03-01,29,29.5,28.200001,28.950001,8500,26.040453
2007-03-02,30,30,28.200001,28.700001,2819,25.815578
2007-03-05,27.15,27.15,25.85,26.35,4100,23.701759
2007-03-06,26.9,27.450001,26.299999,27.299999,3400,24.556282
2007-03-07,26.200001,26.75,24.6,26.75,5200,24.061558
2007-03-08,24.75,25.5,24.1,25.049999,3940,22.532412
2007-03-09,25.5,26.200001,24,24.200001,3700,21.767841
2007-03-12,23.75,24.6,22.15,24.6,1400,22.12764
2007-03-13,24.1,24.35,23.9,24.1,2200,21.677891
2007-03-14,24.200001,24.65,23.75,23.799999,3800,21.408039
2007-03-15,23.6,25.1,23.5,24.299999,1070,21.857788
2007-03-16,22.75,24.200001,22.75,23.25,4500,20.913317
2007-03-19,23,24.549999,22.9,23.25,1165,20.913317
2007-03-20,24.6,24.6,23.15,23.700001,2000,21.318092
2007-03-21,23.1,23.75,23,23,5100,20.688442
2007-03-22,23,23.75,23,23.200001,900,20.868343
2007-03-23,24.35,25.5,23.049999,25,3600,22.487438
2007-03-26,24.65,25,23,23.950001,3800,21.542967
2007-03-28,24.1,25,22.65,23.25,1700,20.913317
2007-03-29,23.25,24.450001,23.25,23.6,272,21.228142
2007-03-30,23.5,23.5,23.049999,23.1,4700,20.778393
2007-04-02,23,23,22.5,23,2700,20.688442
2007-04-03,22.75,23.25,22.75,23.200001,650,20.868343
2007-04-04,24.65,24.65,23,23.1,925,20.778393
2007-04-05,23.799999,24,23,23.9,1889,21.49799
2007-04-09,23.1,23.799999,23,23.700001,2000,21.318092
2007-04-10,23.200001,24.1,23.200001,23.700001,1262,21.318092
2007-04-11,24,24.4,23.75,23.799999,1900,21.408039
2007-04-12,23.049999,23.4,23,23.15,2000,20.823366
2007-04-13,23.450001,24.9,23.450001,24.799999,2700,22.307537
2007-04-16,24,25.9,24,25.049999,4900,22.532412
2007-04-17,24.6,25.85,24.6,25.5,2700,22.937187
2007-04-18,25,25.700001,24.85,25.1,2000,22.577389
2007-04-19,23.549999,25.25,23.549999,24.5,1000,22.037689
2007-04-20,24.35,24.450001,23.4,23.85,1387,21.453016
2007-04-23,23.299999,24.799999,23.299999,23.799999,2200,21.408039
2007-04-24,24,24,23.450001,23.799999,4000,21.408039
2007-04-25,23,24,23,23.549999,3000,21.183167
2007-04-26,23.25,24.299999,22.65,22.950001,6000,20.643469
2007-04-27,20.75,22.950001,20.75,22.5,2300,20.238693
2007-04-30,23.6,24,22.6,23.450001,650,21.093218
2007-05-03,23.75,23.799999,23.15,23.15,2500,20.823366
2007-05-04,23.299999,23.5,22.65,23,3300,20.688442
2007-05-07,21.5,23.799999,21.5,23,1500,20.688442
2007-05-08,22.65,23.200001,22.65,23,1200,20.688442
2007-05-09,21.25,23,21.25,21.85,1690,19.65402
2007-05-10,21.85,22.65,21.25,22.200001,4000,19.968845
2007-05-11,22.9,23.4,21.25,23.25,2900,20.913317
2007-05-14,23.049999,23.799999,22.65,23.049999,2600,20.733418
2007-05-15,23,23.200001,23,23.1,1487,20.778393
2007-05-16,22.6,23,22.549999,22.549999,2000,20.283669
2007-05-17,20.75,24.5,20.75,22.950001,1900,20.643469
2007-05-18,22,23.950001,22,23.700001,2300,21.318092
2007-05-21,24,24.700001,22,23.700001,2000,21.318092
2007-05-22,22.549999,23.700001,22.549999,23.5,1391,21.138191
2007-05-23,22,25,22,24.35,9600,21.902765
2007-05-24,23.1,24.4,23.1,23.65,1188,21.273115
2007-05-25,23,26.049999,23,26.049999,5000,23.43191
2007-05-28,25,28.700001,25,27.35,17800,24.601257
2007-05-29,27.35,28,26.200001,26.75,5400,24.061558
2007-05-30,26.049999,26.5,25.75,25.75,1700,23.162062
2007-05-31,25.299999,27.75,25.299999,26.049999,2200,23.43191
2007-06-01,26.799999,27.35,25.049999,25.799999,3969,23.207035
2007-06-04,25.65,26.200001,25.25,25.4,4500,22.847237
2007-06-05,24.6,25.700001,24.299999,25.450001,1800,22.892212
2007-06-06,24.1,25.65,23.049999,25.450001,3500,22.892212
2007-06-07,24.549999,25.9,24.549999,25.700001,4100,23.117086
2007-06-08,24.25,26.4,24.25,25,2900,22.487438
2007-06-11,25,26.200001,25,25.799999,1100,23.207035
2007-06-12,24.9,25.25,24.9,25.25,528,22.712313
2007-06-13,24.799999,25.25,24.049999,24.700001,1900,22.217588
2007-06-14,24.35,25.200001,24.299999,25.1,1180,22.577389
2007-06-15,24.6,24.799999,24.5,24.799999,786,22.307537
2007-06-18,23.200001,24.25,23.200001,23.950001,319,21.542967
2007-06-19,23.200001,26.25,23.200001,24.1,3800,21.677891
2007-06-20,24.200001,24.299999,24.200001,24.25,1473,21.812815
2007-06-21,23.75,24,23.25,24,1400,21.58794
2007-06-22,23.25,24.450001,23.25,24.200001,2100,21.767841
2007-06-25,23.4,24.35,23.25,24.1,1700,21.677891
2007-06-26,24.35,24.65,23.5,23.950001,3800,21.542967
2007-06-27,23.200001,25,23.200001,23.700001,4400,21.318092
2007-06-28,23.700001,24,23.5,23.799999,700,21.408039
2007-06-29,23.299999,25.9,23.1,24.799999,3100,22.307537
2007-07-02,25.200001,25.200001,23.75,23.9,2900,21.49799
2007-07-03,23.5,24.5,23.5,23.799999,1700,21.408039
2007-07-04,23.25,23.65,22.85,23.25,9200,20.913317
2007-07-05,23.1,23.75,22.6,23.15,1000,20.823366
2007-07-06,23.1,24.700001,23,23.65,3000,21.273115
2007-07-09,23.25,24.4,23.25,24.200001,4100,21.767841
2007-07-10,24.85,24.85,23.700001,23.799999,1900,21.408039
2007-07-11,23.450001,26.5,23.450001,26.049999,13800,23.43191
2007-07-12,26.049999,26.6,24.5,26.1,12700,23.476885
2007-07-13,26,26.799999,25.299999,25.299999,3200,22.757286
2007-07-16,24.700001,26.299999,24.6,25.950001,6500,23.341961
2007-07-17,25.4,26.9,25.200001,26.35,2200,23.701759
2007-07-18,24.25,31.65,24.25,29.5,18300,26.535177
2007-07-19,32,32.5,29.200001,29.9,29200,26.894976
2007-07-20,30,30,28.15,29.5,14900,26.535177
2007-07-23,32.900002,32.900002,26.6,28.299999,7600,25.455778
2007-07-24,29,29,27,27.5,9500,24.736181
2007-07-25,26.549999,27.4,26.35,27.15,4777,24.421356
2007-07-26,26.4,27.299999,26.35,27.25,2600,24.511307
2007-07-27,28.65,28.65,26,26.4,868,23.746735
2007-07-30,25.799999,26.75,25.4,25.75,753,23.162062
2007-07-31,26.1,27.049999,26.1,26.549999,5700,23.881659
2007-08-01,27.700001,27.700001,26.5,27,6900,24.286432
2007-08-02,27.75,27.75,25.700001,26,2400,23.386936
2007-08-03,26.5,27,25.299999,25.299999,400,22.757286
2007-08-06,24.75,24.75,24.5,24.549999,562,22.082663
2007-08-07,25.35,25.35,25.35,25.35,100,22.802261
2007-08-08,25,26.6,25,26.6,400,23.926634
2007-08-09,27.700001,27.950001,26.6,27.950001,4900,25.140957
2007-08-10,26.6,26.700001,26.6,26.700001,362,24.016584
2007-08-13,27.5,28.049999,27.5,28.049999,600,25.230904
2007-08-14,29.450001,29.450001,29.15,29.15,6100,26.220352
2007-08-16,29,29,27.700001,28.1,770,25.275881
2007-08-17,26.799999,26.799999,26.799999,26.799999,100,24.106533
2007-08-20,28,28,26.75,27,545,24.286432
2007-08-21,26.049999,27,25.700001,25.700001,350,23.117086
2007-08-22,25.450001,26.950001,25.450001,26.700001,2200,24.016584
2007-08-23,26.1,28.049999,26.049999,28.049999,5500,25.230904
2007-08-24,27.299999,28.5,26.75,28.450001,2800,25.590704
2007-08-27,28,28.700001,27.549999,28.25,1862,25.410805
2007-08-28,28.6,29.65,28.6,28.65,951,25.770603
2007-08-29,28.5,30,28.5,29.950001,4100,26.939951
2007-08-30,29.15,30.5,29,30.5,4500,27.434673
2007-08-31,29.5,30.5,29.5,30,6400,26.984924
2007-09-03,31.200001,31.5,30.200001,31.35,11133,28.199247
2007-09-04,30.299999,32.599998,30.299999,32,9700,28.78392
2007-09-05,32,32,30.4,30.799999,2661,27.704523
2007-09-06,31,31.4,30.25,31.4,3900,28.244221
2007-09-07,31,31,30.049999,30.799999,2948,27.704523
2007-09-10,30,33.900002,30,33.900002,19100,30.492968
2007-09-11,35.25,37.299999,35.25,37.299999,41800,33.551258
2007-09-12,39,39.200001,37.5,39.200001,46900,35.260303
2007-09-13,40.150002,41.200001,38.900002,41.200001,86200,37.059299
2007-09-14,41.200001,43.25,39.150002,39.150002,28300,35.215328
2007-09-17,40.450001,41.150002,40,41.150002,37500,37.014324
2007-09-18,41.5,43.200001,41.450001,42.150002,26317,37.913822
2007-09-19,42.950001,42.950001,40.650002,41.5,25700,37.329147
2007-09-20,41.25,43.599998,40.349998,43.5,45894,39.128143
2007-09-21,44.950001,45.5,42.200001,42.450001,37782,38.18367
2007-09-24,43,43.900002,42.150002,42.849998,6100,38.543468
2007-09-25,41.5,43.650002,40.599998,41.299999,10100,37.149246
2007-09-26,41.650002,42.700001,40.700001,41.5,10331,37.329147
2007-09-27,40.75,41.049999,39.549999,40.25,10940,36.204773
