"Date","HDFCBANK.NS.Open","HDFCBANK.NS.High","HDFCBANK.NS.Low","HDFCBANK.NS.Close","HDFCBANK.NS.Volume","HDFCBANK.NS.Adjusted"
2007-01-02,266.318,266.318,262.68,214,1008385,173.534836
2007-01-03,263.408,263.901,259.72,213.059998,758025,172.772568
2007-01-04,260.448,262.668,255.269,210.009995,1716710,170.299255
2007-01-05,260.127,264.85,255.059,211.380005,2977335,171.410248
2007-01-08,259.955,259.955,250.718,204.990005,1553515,166.228531
2007-01-09,254.529,255.256,247.648,202.779999,2615800,164.436386
2007-01-10,251.187,251.199,245.403,199.729996,1783875,161.96312
2007-01-11,248.733,251.027,241.975,199.229996,5028835,161.557648
2007-01-12,251.15,263.852,250.583,212.320007,3416285,172.172485
2007-01-15,266.355,272.04,265.134,218.800003,2426475,177.4272
2007-01-16,272.287,272.459,266.417,219.220001,3211735,177.767776
2007-01-17,271.053,271.3,258.722,212.229996,4346575,172.099503
2007-01-18,262.668,264.887,259.289,212.210007,3298165,172.083282
2007-01-19,259.461,265.825,259.461,213.679993,2250250,173.275314
2007-01-22,263.901,264.641,257.871,211.259995,1721510,171.312943
2007-01-23,260.201,260.201,253.666,206.580002,2670610,167.517868
2007-01-24,256.502,262.631,256.502,211.690002,1580970,171.661621
2007-01-25,261.694,265.134,259.708,213.220001,2546410,172.902313
2007-01-29,263.901,286.098,259.042,212.479996,2622190,172.302231
2007-01-31,262.914,267.847,257.982,215.720001,4122065,174.929581
2007-02-01,266.38,274.013,263.05,220.789993,2162830,179.040909
2007-02-02,273.643,277.466,270.387,221.220001,4523445,179.389587
2007-02-05,267.909,274.704,267.674,220.669998,1092105,178.943573
2007-02-06,273.939,273.939,266.651,217.860001,1588610,176.664948
2007-02-07,267.6,274.901,265.96,220.389999,2722740,178.716537
2007-02-08,273.742,276.233,269.82,221.960007,1667820,179.98967
2007-02-09,268.402,276.233,268.34,222.759995,2254275,180.638382
2007-02-12,270.202,276.233,267.687,219.210007,2230445,177.759689
2007-02-13,268.834,268.834,259.289,213.740005,5673940,173.32399
2007-02-14,258.537,258.537,247.931,203.449997,6680200,164.979706
2007-02-15,252.802,262.643,251.594,208.360001,3900750,168.961273
2007-02-19,258.722,259.387,253.185,206.649994,2955585,167.574646
2007-02-20,256.317,256.477,253.074,206.320007,1161345,167.307022
2007-02-21,254.035,254.529,249.103,203.199997,5634735,164.776993
2007-02-22,251.076,252.556,241.21,197.460007,5369990,160.12236
2007-02-23,241.58,246.34,228.139,191.639999,2543145,155.402863
2007-02-26,241.136,243.43,231.838,190.350006,1877355,154.356796
2007-02-27,235.538,241.95,226.906,195.179993,3178445,158.273453
2007-02-28,223.453,233.811,221.973,187,4585260,151.640244
2007-03-01,236.771,243.923,232.085,196.059998,3029170,158.987091
2007-03-02,241.704,241.704,227.904,187.520004,3256605,152.06189
2007-03-05,227.312,231.592,217.916,185.610001,2358385,150.513062
2007-03-06,229.125,232.578,224.525,185.589996,3362390,150.496872
2007-03-07,235.784,236.746,223.453,183.110001,2456320,148.485809
2007-03-08,226.659,244.17,225.808,194.830002,2563830,157.989655
2007-03-09,242.444,243.923,235.846,195.380005,2202015,158.435684
2007-03-12,240.939,242.653,233.108,190.009995,2411725,154.081085
2007-03-13,236.771,239.237,231.912,192.029999,1722870,155.719101
2007-03-14,228.435,231.592,225.672,186.589996,2593615,151.307755
2007-03-15,238.004,241.704,225.672,183.679993,2522885,148.947998
2007-03-16,230.605,230.605,218.397,180.699997,2399325,146.531494
2007-03-19,224.439,230.112,223.218,184.929993,1324915,149.96167
2007-03-20,230.605,236.524,230.235,191.050003,4535550,154.924423
2007-03-21,236.278,239.213,234.305,193.119995,1722285,156.602997
2007-03-22,243.923,254.529,240.717,205.179993,2402130,166.382584
2007-03-23,254.035,254.035,245.65,202.229996,2887910,163.990387
2007-03-26,251.076,251.076,238.559,194.639999,3766300,157.835617
2007-03-28,239.977,239.977,234.798,191.690002,2154080,155.443436
2007-03-29,234.798,235.525,228.879,186.75,12815075,151.4375
2007-03-30,233.318,239.213,231.345,190.830002,5404440,154.746017
2007-04-02,224.464,227.399,220.715,180.270004,3310390,146.182816
2007-04-03,222.256,227.843,222.256,182.839996,3253960,148.266846
2007-04-04,228.139,231.098,226.905,185.009995,1875695,150.026535
2007-04-05,228.151,233.811,226.412,188.520004,1443100,152.872833
2007-04-09,234.231,240.47,232.479,194.229996,1067845,157.503113
2007-04-10,240.47,245.403,235.291,198.389999,1867185,160.876511
2007-04-11,244.17,245.896,240.47,195.869995,2213435,158.833008
2007-04-12,239.237,239.237,234.798,191.669998,1783335,155.4272
2007-04-13,236.771,243.43,234.798,196.240005,2100495,159.133057
2007-04-16,244.17,246.39,238.3,194.990005,1558420,158.119431
2007-04-17,241.95,245.157,239.644,195.610001,3700095,158.622192
2007-04-18,242.937,244.663,240.249,196.080002,1594535,159.003311
2007-04-19,238.374,244.663,236.796,196.490005,1617590,159.335785
2007-04-20,243.06,248.856,239.237,198.919998,1787510,161.30629
2007-04-23,246.39,248.683,242.69,197.360001,1698240,160.041275
2007-04-24,243.381,252.704,240.779,202.75,8593785,164.412079
2007-04-25,250.336,256.502,250.336,206.199997,8102095,167.209747
2007-04-26,256.366,257.735,248.166,206.889999,6317550,167.769226
2007-04-27,242.999,256.502,242.999,202.919998,1779685,164.549927
2007-04-30,248.116,254.035,239.299,204.830002,2554425,166.098785
2007-05-03,252.802,256.502,246.636,200.919998,5139420,162.928116
2007-05-04,247.87,251.569,246.883,201.550003,2093535,163.438995
2007-05-07,249.386,251.544,246.143,200.009995,2076970,162.19017
2007-05-08,246.612,246.612,243.479,198.259995,2384980,160.771088
2007-05-09,244.293,246.143,241.704,198.940002,1046430,161.32251
2007-05-10,246.698,252.802,246.698,202.360001,3236290,164.09581
2007-05-11,243.331,249.103,236.167,198.520004,3573075,160.981934
2007-05-14,247.87,251.557,244.478,199.179993,3939030,161.51712
2007-05-15,246.094,250.262,245.416,202.210007,2746725,163.974197
2007-05-16,251.569,257.686,248.449,207.089996,11921915,167.931427
2007-05-17,248.785,252.574,245.949,208.410004,5760585,174.914246
2007-05-18,247.832,260.223,246.164,214.059998,10291685,179.656174
2007-05-21,257.364,267.372,256.172,221.360001,5604400,185.782898
2007-05-22,267.515,269.97,263.619,223.020004,3776585,187.176132
2007-05-23,256.303,268.087,256.303,222.929993,2705730,187.100555
2007-05-24,263.464,267.134,257.364,218.229996,1752815,183.15596
2007-05-25,253.074,258.555,252.86,213.839996,3349905,179.471527
2007-05-28,261.867,270.47,261.867,225.429993,3591030,189.198776
2007-05-29,268.564,274.283,267.158,228.880005,2182860,192.094284
2007-05-30,272.853,272.853,261.176,220.809998,3276670,185.321289
2007-05-31,264.822,276.392,264.822,229.520004,4597750,192.631439
2007-06-01,273.33,277.619,271.9,230.690002,3716865,193.613388
2007-06-04,277.857,282.194,273.568,233.679993,2434690,196.122803
2007-06-05,276.428,277.619,274.08,231.919998,1558730,194.645676
2007-06-06,276.428,276.904,266.419,225.440002,2269155,189.207169
2007-06-07,266.753,269.255,262.368,221.110001,1561075,185.573074
2007-06-08,259.747,262.13,256.434,218.190002,2455770,183.122375
2007-06-11,263.44,268.802,259.747,219.470001,2294480,184.196655
2007-06-12,263.798,265.466,255.219,217.630005,996710,182.65239
2007-06-13,259.306,259.747,256.136,216.580002,1823480,181.771164
2007-06-14,261.891,266.896,259.747,219.279999,1720080,184.037186
2007-06-15,262.13,266.419,260.938,222.070007,1907035,186.378799
2007-06-18,262.451,268.075,258.15,217.690002,959445,182.702759
