"Date","HEROMOTOCO.NS.Open","HEROMOTOCO.NS.High","HEROMOTOCO.NS.Low","HEROMOTOCO.NS.Close","HEROMOTOCO.NS.Volume","HEROMOTOCO.NS.Adjusted"
2007-01-02,1073.565,1132.786,1055.391,785.450012,486923,559.695313
2007-01-03,1103.035,1115.665,1075.459,778.299988,633713,554.600464
2007-01-04,1094.475,1094.475,1055.672,755.400024,250497,538.282288
2007-01-05,1059.532,1067.811,1048.585,749.950012,910475,534.398682
2007-01-08,1053.357,1055.321,1025.991,733.700012,257308,522.819336
2007-01-09,1032.868,1038.341,1021.641,730.299988,330129,520.396545
2007-01-10,1035.674,1042.691,1017.431,730.099976,343318,520.25415
2007-01-11,1038.481,1038.481,1011.817,733.049988,555307,522.356201
2007-01-12,1039.884,1049.427,1034.411,743.150024,280872,529.553284
2007-01-15,1048.305,1052.515,1027.254,734.099976,305765,523.10437
2007-01-16,1032.868,1038.341,1016.729,726.549988,372430,517.724426
2007-01-17,1028.377,1038.06,1017.431,728.849976,215968,519.363403
2007-01-18,1032.587,1032.727,1020.448,730.299988,162986,520.396545
2007-01-19,1025.851,1036.236,1017.501,729.849976,424013,520.075806
2007-01-22,1031.184,1031.184,1010.554,724.349976,119743,516.156738
2007-01-23,1017.431,1018.834,1003.397,717.099976,609502,510.990509
2007-01-24,1007.607,1013.922,1003.397,719.25,227568,512.522583
2007-01-25,1006.204,1012.519,1002.064,717,584368,510.91925
2007-01-29,1007.607,1010.414,1003.397,716.049988,241008,510.242401
2007-01-31,1004.801,1021.641,986.557,716.299988,958492,510.420349
2007-02-01,996.942,1022.974,995.188,725.700012,296607,517.118713
2007-02-02,1027.184,1031.184,1003.397,716.25,300393,510.384796
2007-02-05,1014.484,1035.253,996.451,731.349976,306162,521.144836
2007-02-06,1027.254,1031.464,1006.204,719.549988,168054,512.736328
2007-02-07,1021.641,1044.515,1003.397,738.950012,562069,526.560425
2007-02-08,1026.693,1034.271,1018.834,728.150024,232097,518.864563
2007-02-09,1023.746,1028.658,1013.221,726.099976,385903,517.403687
2007-02-12,1018.975,1033.57,1004.801,733.25,211560,522.498596
2007-02-13,1018.764,1023.044,1003.397,720.349976,175550,513.306335
2007-02-14,1005.222,1010.133,986.557,711.549988,336224,507.035675
2007-02-15,1017.431,1058.128,990.767,745.5,225338,531.227783
2007-02-19,1038.481,1057.707,1003.397,717.25,299267,511.097321
2007-02-20,1024.447,1024.447,1003.467,718.450012,107731,511.952576
2007-02-21,1016.027,1049.989,1003.467,740.450012,309537,527.629272
2007-02-22,982.347,1042.41,961.226,715.5,397339,509.850494
2007-02-23,1002.976,1003.117,985.855,706.299988,321995,503.294678
2007-02-26,985.153,996.31,972.523,698.950012,361896,498.057343
2007-02-27,975.4,987.96,947.263,687.200012,378715,489.684479
2007-02-28,940.176,980.944,892.532,677.75,421589,482.950562
2007-03-01,923.827,941.65,912.179,668.25,143635,476.18103
2007-03-02,929.16,989.364,929.16,692.75,316637,493.63916
2007-03-05,955.824,987.259,857.449,684.950012,588890,488.081146
2007-03-06,962.7,978.137,926.564,667.200012,537950,475.43277
2007-03-07,947.263,951.403,927.827,666.75,310219,475.112091
2007-03-08,926.283,946.982,920.599,668.349976,251507,476.252319
2007-03-09,940.246,984.312,933.23,691.400024,267284,492.677216
2007-03-12,969.717,989.364,940.317,698.799988,148475,497.950256
2007-03-13,992.872,992.872,972.664,697.849976,83881,497.273407
2007-03-14,960.595,975.33,926.213,677.200012,166038,482.558563
2007-03-15,954.28,962.7,926.283,673.299988,107495,479.779449
2007-03-16,961.297,961.297,905.162,650.200012,145338,463.319061
2007-03-19,919.196,929.019,893.936,640.349976,178356,456.30014
2007-03-20,907.969,916.109,879.973,635.75,290273,453.022125
2007-03-21,898.006,916.389,884.182,651.099976,357999,463.960266
2007-03-22,921.862,974.628,921.862,685.25,238050,488.294922
2007-03-23,961.297,968.313,940.808,677.849976,253816,483.021759
2007-03-26,954.28,964.103,919.547,667.400024,257631,475.575409
2007-03-28,899.128,934.633,899.128,658.200012,163032,469.019623
2007-03-29,915.126,966.91,915.126,676.599976,760534,482.131104
2007-03-30,946.983,981.645,927.897,688.75,524461,490.788879
2007-04-02,926.283,939.124,887.13,639.5,154539,455.694366
2007-04-03,898.216,932.949,895.339,657.849976,373429,468.770203
2007-04-04,943.053,943.053,893.936,639.299988,157340,455.551849
2007-04-05,898.146,907.969,883.972,632.599976,138522,450.777618
2007-04-09,897.865,905.163,892.532,638.900024,71872,455.266846
2007-04-10,900.953,905.163,895.479,640.099976,97479,456.121887
2007-04-11,895.901,906.566,891.199,640.099976,58745,456.121887
2007-04-12,898.146,899.549,871.342,629.299988,238021,448.425995
2007-04-13,877.095,917.793,871.622,647.549988,373386,461.430664
2007-04-16,907.969,922.704,906.776,650.299988,159082,463.39032
2007-04-17,917.091,921.933,907.969,649.900024,127379,463.105225
2007-04-18,900.952,928.318,900.952,652.950012,396394,465.278656
2007-04-19,910.776,926.213,877.096,657.150024,110784,468.271423
2007-04-20,900.952,929.019,900.952,650.25,168934,463.354645
2007-04-23,926.213,926.213,895.339,655.599976,214997,467.16687
2007-04-24,912.179,938.212,912.179,665.950012,301200,474.542084
2007-04-25,927.616,982.347,920.67,694.25,335022,494.707947
2007-04-26,979.4,980.944,931.897,681.150024,423455,485.37323
2007-04-27,958.49,958.49,934.633,667.400024,170142,475.575409
2007-04-30,939.825,980.944,912.249,691.299988,194985,492.605988
2007-05-03,975.611,996.38,969.717,704.299988,291016,501.869598
2007-05-04,988.662,1007.607,963.402,699.450012,196045,498.413544
2007-05-07,988.592,1001.994,968.313,706.049988,162653,503.116608
2007-05-08,997.784,997.784,937.44,679.700012,703357,484.340149
2007-05-09,952.877,989.223,940.246,700.150024,186008,498.912323
2007-05-10,985.154,1007.607,954.35,706.950012,262691,503.757843
2007-05-11,962.069,989.364,926.283,704.799988,422375,502.225739
2007-05-14,982.347,982.347,960.595,688.099976,193798,490.325653
2007-05-15,973.155,982.347,944.456,697.599976,202668,497.095276
2007-05-16,980.944,986.557,940.246,677.849976,284796,483.021759
2007-05-17,962.7,965.787,945.86,678.299988,126041,483.342529
2007-05-18,961.297,968.313,930.002,685.549988,110222,488.508636
