"Date","HINDPETRO.NS.Open","HINDPETRO.NS.High","HINDPETRO.NS.Low","HINDPETRO.NS.Close","HINDPETRO.NS.Volume","HINDPETRO.NS.Adjusted"
2007-01-02,327.914,331.311,324.577,61.855598,541472,11.737181
2007-01-03,325.572,329.027,322.293,61.5667,2277842,11.682363
2007-01-04,327.914,348.995,327.914,64.388901,4072378,12.217879
2007-01-05,362.404,362.404,345.482,66.144402,5081440,12.550987
2007-01-08,346.653,353.679,339.626,65.111099,3577653,12.354918
2007-01-09,343.139,351.22,336.113,64.166702,1275998,12.175718
2007-01-10,338.454,344.662,330.374,63.088902,2638170,11.971205
2007-01-11,337.283,344.31,337.283,64.833298,3709449,12.302206
2007-01-12,345.599,361.877,345.599,67.611099,6961716,12.829296
2007-01-15,359.184,360.003,343.783,65.7444,2395480,12.475089
2007-01-16,346.653,351.279,342.612,66.433296,3564090,12.605806
2007-01-17,353.796,369.958,353.679,69.811096,6758924,13.246747
2007-01-18,371.129,382.313,368.962,71.355598,7152386,13.53982
2007-01-19,384.129,386.237,374.994,71.355598,3211371,13.53982
2007-01-22,382.255,392.209,368.318,71.766701,2129355,13.617826
2007-01-23,380.029,380.615,370.309,70.655602,1323544,13.406994
2007-01-24,365.859,367.147,361.994,69.199997,1277500,13.130788
2007-01-25,365.859,381.494,359.125,71.366699,2268562,13.541925
2007-01-29,375.696,377.102,361.877,69.866699,1117076,13.257301
2007-01-31,368.904,368.904,360.706,69.355598,2040867,13.160316
2007-02-01,364.219,367.733,353.152,67.388901,3625245,12.787132
2007-02-02,354.85,360.999,353.328,67.344398,1669730,12.778686
2007-02-05,368.26,368.26,346.184,67.2444,2410119,12.759715
2007-02-06,353.679,357.076,344.955,65.6222,1493698,12.4519
2007-02-07,343.256,348.761,339.626,64.977798,1691968,12.329621
2007-02-08,342.027,347.707,342.027,65.788902,2129526,12.483533
2007-02-09,345.482,345.482,337.284,64.411102,1174500,12.222092
2007-02-12,340.797,347.824,326.743,62.511101,1032867,11.861563
2007-02-13,327.914,336.464,323.347,61.988899,1174095,11.762474
2007-02-14,329.085,331.428,319.014,62.166698,576382,11.796212
2007-02-15,333.77,341.968,316.613,61.333302,3272494,11.638074
2007-02-19,322.352,333.536,318.545,62.788898,2270016,11.914275
2007-02-20,333.77,343.022,332.716,63.955601,2246058,12.135659
2007-02-21,337.284,348.995,337.284,65.222198,3250215,12.375998
2007-02-22,344.31,347.59,330.257,63.677799,3960306,12.082945
2007-02-23,333.77,339.626,319.834,61.0667,2069199,11.587488
2007-02-26,316.203,327.914,316.203,61.633301,995720,11.695
