,Date,Open,High,Low,Close,Volume,Adjusted,Diff,RSI,Typical Price,MF,MFI,EMA,SO,EMA12,EMA26,MACD,Signal Line
0,2007-01-02,217.80000299999998,219.0,215.44999700000002,216.399994,2626898,170.670319,,,216.94999700000002,569905513.2193061,,,,,,,
1,2007-01-03,217.0,217.649994,211.05000299999998,212.0,4603921,167.200165,-4.399993999999992,,213.56666566666664,983244056.9627455,,,,,,,
2,2007-01-04,213.0,214.25,209.649994,210.600006,5486460,166.096008,-1.3999939999999924,,211.5,1160386290.0,,,,,,,
3,2007-01-05,211.399994,214.25,209.550003,213.350006,5706066,168.264877,2.75,,212.38333633333332,1211873334.4181979,,,,,,,
4,2007-01-08,213.350006,213.350006,207.100006,210.100006,3760443,165.70166,-3.25,,210.18333933333335,790382467.112658,,,,,,,
5,2007-01-09,210.100006,214.19999700000002,208.699997,209.850006,5474633,165.504456,-0.25,,210.91666666666666,1154691343.5833333,,,,,,,
6,2007-01-10,209.0,213.0,207.649994,208.5,3054968,164.439758,-1.3500060000000076,,209.71666466666667,640677699.6233974,,,0.11764661393946865,,,,
7,2007-01-11,210.0,218.899994,209.0,217.850006,5407360,171.81393400000002,9.350006000000008,,215.25,1163934240.0,,,0.9110178756114001,,,,
8,2007-01-12,218.0,221.75,216.5,219.69999700000002,2856723,173.272964,1.849991000000017,,219.3166656666667,626526963.0932771,,,0.8600679972974749,,,,
9,2007-01-15,221.80000299999998,223.399994,218.600006,221.649994,2593360,174.810898,1.9499969999999678,,221.21666466666667,573694449.4799467,,474.2865051158303,0.8926379577702755,,,,
10,2007-01-16,222.0,223.30000299999998,218.600006,220.0,3063350,173.509567,-1.6499939999999924,,220.63333633333332,675877130.8567166,,475.55304944827327,0.7914112574806806,,,,
11,2007-01-17,220.0,222.5,218.899994,220.600006,1289475,173.982819,0.6000060000000076,,220.66666666666666,284544150.0,,477.56609362256336,0.8222229841269851,535.343537150773,,,
12,2007-01-18,220.0,225.0,219.0,224.0,3426135,176.664261,3.3999939999999924,,222.66666666666666,762886060.0,,480.7209952487373,0.9423631323239888,537.4645612912578,,,
13,2007-01-19,225.5,225.80000299999998,220.05000299999998,221.75,3008711,174.889755,-2.25,,222.5333353333333,669538493.8840885,,482.4813407668052,0.7589284359056375,539.4514315355088,,,
14,2007-01-22,223.0,225.44999700000002,221.399994,224.600006,1891398,177.13751200000002,2.8500060000000076,50.80654456950256,223.8166656666667,423326393.80860204,45.378302331189715,485.54458241429654,0.8709681061393237,542.3746742230545,,,
15,2007-01-23,224.899994,224.899994,219.44999700000002,222.19999700000002,1979280,175.244659,-2.400008999999983,50.636341236853525,222.18332933333338,439763020.0828801,47.70974579042311,487.68599720705765,0.4999989583329039,544.0183576401424,,,
16,2007-01-24,222.25,223.80000299999998,213.05000299999998,214.399994,6151522,169.092957,-7.800003000000032,50.573223529114486,217.08333333333334,1335392900.8333335,46.93327070877267,487.48765872598875,0.10588164705882487,543.8470095187433,,,
17,2007-01-25,211.100006,218.0,211.100006,216.25,3554389,170.55204799999998,1.8500060000000076,50.620197051420675,215.11666866666667,764608320.8254447,44.630218941002774,486.5691918056487,0.35033979938907495,544.3638207033333,,,
