"Date","HINDUNILVR.NS.Open","HINDUNILVR.NS.High","HINDUNILVR.NS.Low","HINDUNILVR.NS.Close","HINDUNILVR.NS.Volume","HINDUNILVR.NS.Adjusted"
2007-01-02,217.800003,219,215.449997,216.399994,2626898,170.670319
2007-01-03,217,217.649994,211.050003,212,4603921,167.200165
2007-01-04,213,214.25,209.649994,210.600006,5486460,166.096008
2007-01-05,211.399994,214.25,209.550003,213.350006,5706066,168.264877
2007-01-08,213.350006,213.350006,207.100006,210.100006,3760443,165.70166
2007-01-09,210.100006,214.199997,208.699997,209.850006,5474633,165.504456
2007-01-10,209,213,207.649994,208.5,3054968,164.439758
2007-01-11,210,218.899994,209,217.850006,5407360,171.813934
2007-01-12,218,221.75,216.5,219.699997,2856723,173.272964
2007-01-15,221.800003,223.399994,218.600006,221.649994,2593360,174.810898
2007-01-16,222,223.300003,218.600006,220,3063350,173.509567
2007-01-17,220,222.5,218.899994,220.600006,1289475,173.982819
2007-01-18,220,225,219,224,3426135,176.664261
2007-01-19,225.5,225.800003,220.050003,221.75,3008711,174.889755
2007-01-22,223,225.449997,221.399994,224.600006,1891398,177.137512
2007-01-23,224.899994,224.899994,219.449997,222.199997,1979280,175.244659
2007-01-24,222.25,223.800003,213.050003,214.399994,6151522,169.092957
2007-01-25,211.100006,218,211.100006,216.25,3554389,170.552048
2007-01-29,216.25,216.600006,213.600006,214.949997,2786709,169.526749
2007-01-31,214.949997,216.350006,207.149994,208.25,4857234,164.242569
2007-02-01,208.100006,210.850006,203,207.300003,3322091,163.493317
2007-02-02,209,210,207,209.050003,2315743,164.873535
2007-02-05,210,211.25,206.5,207.850006,1655028,163.927109
2007-02-06,215,215,207.649994,209.100006,2821802,164.912994
2007-02-07,209,210.949997,206.100006,207.350006,3195680,163.532806
2007-02-08,210,210,204.5,205.600006,1987168,162.152588
2007-02-09,206.75,208,202.050003,202.699997,2512569,159.865402
2007-02-12,202.5,206.449997,199.699997,203.350006,4083269,160.378082
2007-02-13,203,203.350006,199.5,201,4913396,158.524628
2007-02-14,201.199997,202,196.100006,200.449997,2694417,158.090866
2007-02-15,204.899994,207.050003,202.449997,205.949997,3852631,162.428604
2007-02-19,205.949997,208.899994,204.550003,205.199997,1977013,161.837112
2007-02-20,209.899994,209.899994,197.600006,199.600006,5957956,157.420517
2007-02-21,200,202,193.649994,195.850006,7375310,154.462967
2007-02-22,196,197.899994,185,191.449997,7082444,150.992752
2007-02-23,191,194.899994,186.5,188.149994,3379036,148.390137
2007-02-26,189,191,186.5,189.550003,1634941,149.494293
2007-02-27,190,190.850006,184.75,185.449997,3554365,146.260651
2007-02-28,181,182.600006,165.050003,176.350006,3696108,139.083725
2007-03-01,177.899994,177.899994,173,176.050003,4539270,138.847107
2007-03-02,177,181.850006,175.350006,179.050003,3389952,141.21315
2007-03-05,176,178.399994,171.649994,174.050003,2845238,137.269745
2007-03-06,173,177.649994,170.550003,171.5,1976817,135.258621
2007-03-07,176,176,165.600006,167.300003,1841821,131.946167
2007-03-08,169.899994,184.899994,168.100006,183.800003,2320674,144.959366
2007-03-09,185.149994,187.800003,180.5,183.75,2447269,144.919937
2007-03-12,183.75,191.550003,183,185,3072289,145.905762
2007-03-13,186,186,179.5,181.149994,4305782,142.869354
2007-03-14,179,179,170.149994,176.850006,3839949,139.478058
2007-03-15,178,180.699997,175,177.050003,3380697,139.635818
2007-03-16,179.899994,179.899994,173.25,176.949997,1493753,139.5569
2007-03-19,176,180.899994,176,180.199997,1160814,142.120117
2007-03-20,181.949997,185,180.300003,184.100006,2926171,145.195969
2007-03-21,185,192.75,183.100006,191,2501005,150.637878
2007-03-22,194,199.949997,194,196.699997,5254423,155.133347
2007-03-23,195,200,194.199997,198.550003,3611678,156.592407
2007-03-26,203.899994,203.899994,196.25,198.100006,3679937,156.237488
2007-03-28,198.100006,200.350006,194.649994,197.649994,5051269,155.882614
2007-03-29,198.899994,208.25,197,205,5561716,161.679367
2007-03-30,205,206.5,199,205.199997,6419981,161.837112
2007-04-02,202,204,193.600006,195.699997,2708851,154.34465
2007-04-03,195.699997,201.649994,194.149994,200.199997,3157465,157.893723
2007-04-04,200,202.899994,195.550003,197.800003,3460603,156.00087
2007-04-05,197,203.350006,196.5,200,4437311,157.735962
2007-04-09,200,206.199997,199.899994,204.649994,3916405,161.403336
2007-04-10,205.100006,209.699997,204.050003,208.75,1800390,164.636948
2007-04-11,208.5,209,202.699997,205.649994,1863843,162.192032
