"Date","INFY.NS.Open","INFY.NS.High","INFY.NS.Low","INFY.NS.Close","INFY.NS.Volume","INFY.NS.Adjusted"
2007-01-02,563.25,574.25,559.525024,568.161987,4314932,315.737122
2007-01-03,568.161987,580,568.161987,577.838013,5444628,321.114349
2007-01-04,580.299988,581.25,568.763,571.325012,4388532,317.494904
2007-01-05,571.5,576.25,563.888,568.763,3510976,316.071106
2007-01-08,568.763,570,548.125,551.400024,9240684,306.422241
2007-01-09,554,558.862,543.349976,547.525024,6708204,304.26889
2007-01-10,550,550,538.349976,541.112,7579592,300.705017
2007-01-11,545.25,553.724976,523.786987,545.75,17046104,303.28241
2007-01-12,550,557.924988,550,555.849976,6916344,308.895111
2007-01-15,558.237,561.888,557.5,560.737,5067380,311.610992
2007-01-16,561.299988,562.5,554.025024,555.549988,2556904,308.728394
2007-01-17,561.25,561.25,549.286987,551.362,4401700,306.401093
2007-01-18,551.5,558.25,551.5,556.036987,3953076,308.999084
2007-01-19,556.25,559.5,546.25,550.588013,5775572,305.970978
2007-01-22,553.75,565,551.099976,563.5,4860696,313.146393
2007-01-23,562,562,555.036987,558.786987,3453584,310.527191
2007-01-24,550.25,564.25,550.25,558.513,1830440,310.375031
2007-01-25,560.25,563.674988,555.349976,560.25,3399176,311.340271
2007-01-29,558.75,563.75,553.088013,561.099976,3275456,311.812683
2007-01-31,560,563.75,555.338013,561.825012,4585552,312.215515
2007-02-01,562.5,568.75,559.588013,567.237,1683632,315.223083
2007-02-02,568.75,570,560.525024,566.388,4921460,314.751312
2007-02-05,558.75,569.099976,558.75,567.325012,3649536,315.272034
2007-02-06,567.5,571.737,565,568.237,3280472,315.77887
2007-02-07,563.888,592.5,563.888,589.263,7249232,327.463257
2007-02-08,591.25,595,583.400024,593.424988,3285724,329.776245
2007-02-09,593.599976,599.5,584.5,590.312012,3152404,328.046265
2007-02-12,583.75,592.424988,577.775024,587.812012,2434044,326.656982
2007-02-13,587.75,589.625,569.150024,576.049988,3780508,320.120636
2007-02-14,570.549988,578.75,565.424988,571.161987,4821100,317.404266
2007-02-15,581.224976,603.75,573.75,595.737,4989424,331.061005
2007-02-19,595.5,600,590.737,594.025024,1543324,330.109619
2007-02-20,593.763,596.950012,587.75,589.987,1235960,327.865631
2007-02-21,590,593,575.525024,577.724976,4674360,321.051392
2007-02-22,577,583.75,567.5,571.875,5194400,317.800537
2007-02-23,569.5,577.75,553.049988,559.424988,5779588,310.881805
2007-02-26,558.5,561.75,538.75,554.536987,5835124,308.165527
2007-02-27,557.5,557.5,541.312012,546.75,4478448,303.838135
2007-02-28,545,545,512.5,519.388,12500196,288.63266
2007-03-01,520,546.237,519,539.786987,6817328,299.968658
2007-03-02,543.400024,544.75,518.75,523.375,6084052,290.848206
2007-03-05,519.474976,519.474976,500,501.787994,6975384,278.852051
2007-03-06,503.25,538.424988,503.25,528.612,7276432,293.758514
2007-03-07,541.849976,541.849976,512.575012,521.338013,5135136,289.716217
2007-03-08,522.5,536.5,520.312012,533.937988,6130604,296.718292
2007-03-09,532.588013,537.5,524.088013,530.237,4042604,294.661621
2007-03-12,530,535.987,525,528.825012,4532972,293.876892
2007-03-13,529.25,532.487,517.450012,526.263,5732912,292.453125
2007-03-14,518.75,522.424988,503.062012,505,8004640,280.636871
2007-03-15,512.75,526.224976,509,519.849976,8574520,288.889313
2007-03-16,522.5,526.25,506.25,511.862,3783888,284.450287
2007-03-19,517.5,522.937988,511.799988,521.812012,2730908,289.979675
2007-03-20,525,527.174988,512.5,513.974976,2689292,285.624512
