"Date","ITC.NS.Open","ITC.NS.High","ITC.NS.Low","ITC.NS.Close","ITC.NS.Volume","ITC.NS.Adjusted"
2007-01-02,88.087,88.961,87.688,59,6657822,39.405983
2007-01-03,88.337,88.686,87.139,58.483299,7395510,39.060883
2007-01-04,87.963,88.686,83.895,56.3167,21553218,37.613815
2007-01-05,84.843,85.342,82.348,55.099998,28292784,36.801178
2007-01-08,82.597,83.196,80.901,54.233299,14032632,36.222313
2007-01-09,81.849,83.246,80.651,54.016701,16982472,36.077648
2007-01-10,80.851,81.999,79.902,54.383301,15930090,36.322498
2007-01-11,81.724,84.843,81.225,56.400002,21222462,37.669453
2007-01-12,85.242,85.891,84.269,57.033298,15254871,38.09243
2007-01-15,86.74,86.74,84.344,57.333302,12361971,38.292797
2007-01-16,86.59,86.59,84.644,57.216702,8303586,38.21492
2007-01-17,84.843,86.291,84.344,56.5,6100350,37.73624
2007-01-18,84.843,86.341,83.67,57.400002,16888908,38.337349
2007-01-19,85.242,88.187,85.242,58.533298,20980413,39.094276
2007-01-22,88.312,90.333,86.615,59.650002,16863660,39.840111
2007-01-23,89.834,89.834,87.888,59.083302,9808146,39.46162
2007-01-24,88.337,89.335,87.838,59.416698,7522077,39.684296
2007-01-25,88.836,90.333,86.914,59.283298,24341223,39.595196
2007-01-29,88.137,89.734,85.342,57.233299,16677954,38.226006
2007-01-31,85.841,89.085,84.544,58.200001,25075197,38.871666
2007-02-01,86.39,88.586,86.39,58.283298,10288761,38.927303
2007-02-02,87.713,89.335,87.488,59.049999,9782337,39.439377
2007-02-05,88.412,88.836,87.888,59.200001,6866091,39.539562
2007-02-06,88.636,89.51,86.889,58.349998,12083715,38.971848
2007-02-07,87.913,88.187,87.089,58.5667,8916537,39.116581
2007-02-08,87.389,88.561,86.39,58.8167,8272236,39.283558
2007-02-09,88.312,88.462,87.039,58.799999,10729065,39.2724
2007-02-12,88.037,88.187,85.492,58.450001,8021388,39.038639
2007-02-13,86.84,88.337,84.743,57.733299,16235463,38.559956
2007-02-14,85.916,87.464,84.095,57.983299,7154691,38.726929
2007-02-15,87.339,88.187,85.417,58.083302,11097246,38.79372
2007-02-19,87.588,87.788,86.515,58.133301,8567673,38.827118
2007-02-20,86.889,88.087,86.889,58.616699,8821968,39.149975
2007-02-21,87.838,88.037,86.39,58.150002,9789984,38.838272
2007-02-22,86.84,88.337,85.841,58.150002,15327267,38.838272
2007-02-23,86.84,87.289,82.572,55.6833,27536076,37.190765
2007-02-26,83.471,86.44,83.296,56.766701,24680469,37.914371
2007-02-27,85.592,85.841,82.073,55.0667,13072539,36.778942
2007-02-28,81.35,89.834,77.407,57.233299,63224619,38.226006
2007-03-01,86.191,87.339,84.294,57.5,26388087,38.404137
2007-03-02,85.891,86.241,82.398,55.5667,31672983,37.112888
2007-03-05,82.847,83.097,78.48,54.049999,25240521,36.099884
2007-03-06,82.248,82.797,80.202,54.016701,14398329,36.077648
2007-03-07,81.35,81.849,78.73,52.733299,17483997,35.220467
2007-03-08,79.852,80.352,78.355,53.3167,23492424,35.610115
2007-03-09,80.851,81.674,76.109,51.383301,34113204,34.318802
2007-03-12,75.011,78.205,73.364,49.533298,51718440,33.083195
2007-03-13,74.363,75.311,72.915,49.650002,32372415,33.161137
2007-03-14,72.915,73.364,64.88,47.633301,40126161,31.81419
2007-03-15,72.366,75.236,72.366,49.099998,24062616,32.793793
2007-03-16,74.313,74.837,71.418,48.349998,15727419,32.29287
2007-03-19,72.616,74.862,70.395,47.333302,18642576,31.613823
2007-03-20,72.117,72.117,69.871,46.950001,34806852,31.357813
2007-03-21,70.37,72.766,70.37,48.200001,32466699,32.192684
2007-03-22,72.815,74.812,72.815,49.783298,27042285,33.250172
2007-03-23,74.363,74.862,71.693,48.049999,32592336,32.092499
2007-03-26,72.366,74.313,70.869,47.416698,21772449,31.669525
2007-03-28,70.869,71.867,70.12,47.783298,20220237,31.914371
2007-03-29,71.867,74.113,71.368,48.983299,32196165,32.715847
2007-03-30,73.364,76.484,72.441,50.383301,35738778,33.650906
2007-04-02,75.461,75.461,72.89,48.9333,16758252,32.682461
2007-04-03,73.364,75.011,73.364,49.833302,9187080,33.283562
2007-04-04,77.207,77.207,73.664,49.450001,13416414,33.027557
2007-04-05,73.938,74.363,73.365,49.400002,4815348,32.99416
2007-04-09,73.514,77.806,73.514,51.766701,12624933,34.574883
2007-04-10,77.657,80.102,77.357,53.283298,19166208,35.587807
2007-04-11,80.302,81.225,79.353,53.5,15043290,35.732544
2007-04-12,79.453,80.102,77.532,52.083302,10596690,34.786335
2007-04-13,78.705,79.453,75.935,51.150002,15979365,34.162983
2007-04-16,77.357,79.453,77.357,52.833302,10643985,35.287254
2007-04-17,79.304,79.603,77.382,52.016701,9280155,34.741856
2007-04-18,78.131,79.104,77.657,52.299999,14287443,34.931065
2007-04-19,77.881,79.852,77.257,53.033298,16005600,35.420834
2007-04-20,80.052,80.926,79.653,53.466702,19757685,35.710304
2007-04-23,80.352,80.951,77.257,52.099998,22882278,34.797485
2007-04-24,78.006,78.655,77.257,52.150002,19663203,34.830887
2007-04-25,78.106,81.1,77.432,53.9333,21856176,36.021946
2007-04-26,81.35,81.849,79.902,53.849998,22980018,35.966312
2007-04-27,80.851,80.851,79.428,53.549999,8153679,35.765942
2007-04-30,80.601,80.851,78.405,53.349998,9915279,35.632366
2007-05-03,80.701,81.3,79.927,53.9333,6227817,36.021946
2007-05-04,81.35,81.35,79.803,53.6833,9665793,35.854965
2007-05-07,80.751,81.2,79.653,53.666698,12294486,35.84388
2007-05-08,80.352,80.751,79.428,53.333302,12569373,35.621204
2007-05-09,79.852,80.776,79.304,53.5667,10645320,35.777096
2007-05-10,81.799,83.421,80.177,54.5667,18133374,36.444988
2007-05-11,81.3,81.325,79.927,54.049999,13169133,36.099884
2007-05-14,81.849,82.547,80.601,54.016701,6411639,36.077648
2007-05-15,80.876,81.849,80.227,54,6061332,36.066502
2007-05-16,80.851,81.799,79.852,54.466702,7609812,36.378201
2007-05-17,81.849,82.997,81.375,55.033298,13154118,36.756626
2007-05-18,82.298,83.845,81.125,55.700001,10173561,37.20192
2007-05-21,83.845,85.841,83.72,56.950001,10351035,38.036797
2007-05-22,85.342,85.792,82.622,56.900002,12871134,38.003399
2007-05-23,84.718,85.342,82.647,55.416698,10512870,37.012703
2007-05-24,83.346,83.446,82.173,55.366699,7986645,36.979309
2007-05-25,82.398,84.17,81.4,55.599998,11694642,37.135132
2007-05-28,83.845,84.594,82.597,55.466702,10411944,37.046101
2007-05-29,84.344,84.344,82.073,55,10864395,36.734394
2007-05-30,82.348,82.348,79.927,54.099998,30856977,36.133286
2007-05-31,81.375,83.047,80.401,54.599998,26342982,36.467232
2007-06-01,81.15,82.348,79.927,53.6833,31177521,35.854965
2007-06-04,82.248,82.747,80.951,54.966702,14650335,36.712143
2007-06-05,82.223,82.223,80.427,53.950001,14783877,36.033096
2007-06-06,82.697,82.697,72.366,52.616699,14823645,35.142586
2007-06-07,78.829,79.279,77.108,51.633301,12413673,34.485779
2007-06-08,76.858,77.307,74.812,50.200001,27383004,33.528481
2007-06-11,76.359,77.806,75.86,51.299999,13144023,34.263165
2007-06-12,77.357,77.532,76.209,51.283298,7473276,34.252014
2007-06-13,76.858,76.858,75.51,50.6833,8674155,33.85128
2007-06-14,76.484,77.058,75.535,50.533298,11590317,33.751087
2007-06-15,76.309,76.609,75.835,50.799999,14691459,33.929222
2007-06-18,76.209,76.733,76.035,51,17788944,34.062801
2007-06-19,76.359,76.858,76.234,51.016701,8077512,34.073952
2007-06-20,76.758,77.681,76.309,51.6833,7825551,34.519176
2007-06-21,76.858,77.482,76.259,51.466702,16913541,34.374508
