"Date","JUBLFOOD.NS.Open","JUBLFOOD.NS.High","JUBLFOOD.NS.Low","JUBLFOOD.NS.Close","JUBLFOOD.NS.Volume","JUBLFOOD.NS.Adjusted"
2010-02-08,160.862,242.198,160.862,240.600006,56963300,239.310226
2010-02-09,231.793,251.347,222.794,244.199997,24930556,242.890915
2010-02-10,253.358,253.76,232.848,235,11395878,233.740234
2010-02-11,236.267,241.294,226.313,230.949997,5857957,229.711945
2010-02-15,234.859,238.076,226.715,229.149994,3190280,227.921585
2010-02-16,230.335,235.261,228.374,230.25,1730276,229.015701
2010-02-17,232.245,247.125,217.767,241.149994,5064800,239.857254
2010-02-18,241.344,242.098,228.223,230.899994,2257937,229.662186
2010-02-19,226.213,232.245,222.995,226.850006,884811,225.633926
2010-02-22,229.329,236.065,228.927,230.399994,689592,229.164886
2010-02-23,231.24,232.949,217.918,219.850006,632799,218.671463
2010-02-24,216.561,228.223,213.746,221.899994,897190,220.710449
2010-02-25,221.688,229.078,220.18,224.899994,491706,223.694366
2010-02-26,226.112,242.198,222.543,229.75,939799,228.518372
2010-03-02,232.195,235.663,230.737,233.399994,263072,232.148804
2010-03-03,234.658,241.294,230.284,230.399994,343876,229.164886
2010-03-04,232.245,238.277,231.742,236.550003,506618,235.281921
2010-03-05,239.182,276.181,236.317,258.25,5978277,256.86557
2010-03-08,261.401,281.409,260.597,276.549988,3602510,275.067505
2010-03-09,279.9,319.412,274.471,299.700012,11026654,298.093445
2010-03-10,301.617,307.046,285.078,285.899994,3941483,284.367371
2010-03-11,287.441,289.954,276.884,276.850006,1301774,275.365875
2010-03-12,251.347,300.41,251.347,286.5,6647800,284.964172
2010-03-15,286.335,292.267,278.795,279.549988,1416994,278.051392
2010-03-16,251.347,296.389,251.347,288.850006,2000501,287.301575
2010-03-17,293.825,297.344,288.396,288.399994,1763658,286.853973
2010-03-18,289.804,308.102,289.602,294.649994,3185070,293.070435
2010-03-19,297.595,351.786,293.574,344.5,16153905,342.653259
2010-03-22,339.218,363.951,337.107,340.950012,7881406,339.122284
2010-03-23,345.753,353.746,325.746,330.649994,3272074,328.877472
2010-03-25,331.779,352.892,329.919,338.549988,4461242,336.735138
2010-03-26,340.827,350.278,334.443,338.600006,2006383,336.784882
2010-03-29,349.876,349.876,305.488,316.450012,1866987,314.753632
2010-03-30,320.92,332.482,317.251,318.5,1787666,316.792633
2010-03-31,324.741,329.718,309.911,313.600006,1882065,311.918884
2010-04-01,317.703,328.209,316.999,320.850006,2591115,319.130005
2010-04-05,323.233,371.693,321.725,361.700012,7682249,359.761047
2010-04-06,363.649,368.576,352.289,355.850006,2656748,353.942383
2010-04-07,317.753,426.587,317.753,420.450012,15222500,418.196106
2010-04-08,403.966,422.264,383.355,388.299988,8393944,386.218445
2010-04-09,391.549,394.062,352.992,357.700012,5036279,355.782471
2010-04-12,361.94,377.725,355.104,360.899994,4133662,358.965332
2010-04-13,366.967,372.899,356.964,362.899994,3492807,360.95459
2010-04-15,367.772,371.994,356.913,357.149994,1964967,355.235413
2010-04-16,359.326,361.236,336.454,344.299988,2457165,342.454285
2010-04-19,336.906,349.574,325.746,336.049988,3741725,334.248505
2010-04-20,336.906,346.859,336.906,339.5,1565887,337.680023
2010-04-21,344.849,361.538,341.933,351.649994,4538222,349.764893
2010-04-22,341.832,365.962,333.789,357.399994,3076600,355.48407
2010-04-23,361.94,365.459,347.262,351.75,1491912,349.86438
2010-04-26,359.929,359.929,351.183,352.5,1037554,350.610352
2010-04-27,354.35,355.405,345.955,347.25,900233,345.388489
2010-04-28,341.832,345.854,333.789,334.649994,830797,332.856018
2010-04-29,336.705,348.569,336.705,341.350006,1124138,339.520111
2010-04-30,345.05,349.272,340.073,340,610100,338.177338
2010-05-03,341.832,341.933,329.768,332.950012,535035,331.165161
2010-05-04,335.8,342.687,324.741,325.5,823330,323.755096
2010-05-05,321.725,343.843,314.385,335.799988,1304349,333.999847
2010-05-06,338.816,340.827,324.741,324.649994,711911,322.909637
2010-05-07,321.524,324.037,314.184,315.350006,560073,313.659515
2010-05-10,322.73,331.779,317.804,327.950012,626971,326.191956
2010-05-11,334.795,349.473,327.355,327.549988,1651297,325.794067
2010-05-12,332.784,335.147,318.708,318.950012,745511,317.240234
2010-05-13,323.735,329.768,316.698,317.299988,635112,315.59903
2010-05-14,316.698,320.619,297.595,300.149994,840674,298.540985
2010-05-17,295.585,296.59,282.665,286,1173247,284.466827
2010-05-18,287.441,292.468,268.942,280.299988,3278779,278.797363
2010-05-19,280.504,289.351,262.96,271.299988,2047083,269.845642
2010-05-20,273.466,282.012,260.547,261.049988,921137,259.650574
2010-05-21,262.407,283.52,252.453,278.450012,3007302,276.957306
2010-05-24,286.033,295.484,277.789,281.100006,2300008,279.593109
2010-05-25,276.985,283.62,270.45,272.149994,764240,270.691071
2010-05-26,278.795,281.006,264.769,271.649994,739159,270.193756
2010-05-27,276.482,285.229,270.751,279.799988,769095,278.300049
2010-05-28,285.933,290.357,279.096,285.25,733532,283.720856
2010-05-31,285.531,288.497,279.549,280.899994,621367,279.394135
2010-06-01,283.922,290.356,276.683,276.899994,707177,275.415619
2010-06-02,280.906,291.563,279.85,288.25,767504,286.704803
2010-06-03,292.568,302.421,289.854,292.149994,1389052,290.583862
2010-06-04,294.076,294.479,288.547,288.5,484971,286.95343
2010-06-07,284.324,288.245,271.857,283.600006,497450,282.079712
2010-06-08,285.531,290.055,279.699,280.049988,380874,278.548737
2010-06-09,281.509,286.536,278.795,280.149994,343130,278.648193
2010-06-10,283.319,290.507,281.61,286.899994,343259,285.362
2010-06-11,291.563,293.574,281.61,282.149994,291171,280.637451
2010-06-14,284.576,290.055,282.766,282.75,288458,281.234222
2010-06-15,286.385,290.96,283.821,285.450012,306753,283.9198
2010-06-16,289.301,309.057,285.028,299.75,2189421,298.143127
2010-06-17,301.366,312.676,300.963,306.600006,1528650,304.956421
2010-06-18,309.157,316.195,304.13,304.600006,663650,302.967133
2010-06-21,309.258,314.084,306.292,306.549988,414722,304.906647
2010-06-22,306.141,309.66,303.024,302.850006,501107,301.226501
2010-06-23,304.633,311.068,299.707,306.350006,327462,304.707733
2010-06-24,309.559,317.703,307.649,310.75,693890,309.084167
2010-06-25,310.665,314.134,304.633,305.049988,321771,303.414734
2010-06-28,307.448,311.671,307.448,307.299988,233438,305.652618
2010-06-29,309.107,310.917,304.13,304.600006,203574,302.967133
2010-06-30,306.191,310.565,301.617,304.850006,267014,303.21579
2010-07-01,303.376,310.062,303.376,302.700012,180592,301.077332
2010-07-02,304.683,328.762,304.683,321.850006,1701698,320.124664
2010-07-05,322.227,343.843,317.804,330.799988,2751160,329.026672
2010-07-06,333.84,341.229,330.27,331.850006,866800,330.071045
2010-07-07,333.337,338.565,328.662,328.549988,435464,326.788727
2010-07-08,341.832,341.832,332.885,333.700012,588205,331.911133
2010-07-09,338.364,338.666,330.321,331.700012,281865,329.921844
2010-07-12,335.398,348.317,333.99,335.700012,1008593,333.900421
2010-07-13,337.761,341.229,335.096,337.350006,389095,335.541565
2010-07-14,341.229,350.328,337.811,337.149994,911274,335.342621
2010-07-15,339.822,341.682,332.382,333.950012,385451,332.15979
2010-07-16,337.409,339.42,332.885,334.100006,295534,332.30899
2010-07-19,326.752,338.565,312.827,332.299988,220786,330.518616
2010-07-20,336.102,341.531,332.885,333.549988,416591,331.761902
2010-07-21,336.705,340.123,335.398,336.850006,342511,335.044281
2010-07-22,338.666,348.569,336.806,342.450012,794125,340.614227
2010-07-23,346.256,354.903,344.346,344.149994,746016,342.305084
2010-07-26,347.865,348.87,319.714,328.200012,468827,326.440613
2010-07-27,329.969,336.303,326.45,332.799988,207142,331.015961
2010-07-28,335.8,345.502,333.086,337.049988,469082,335.243134
2010-07-29,340.626,342.235,334.895,336.100006,150500,334.298279
