"Date","KPIT.NS.Open","KPIT.NS.High","KPIT.NS.Low","KPIT.NS.Close","KPIT.NS.Volume","KPIT.NS.Adjusted"
2007-01-02,74.580002,74.580002,69,70.099998,481338,61.115414
2007-01-03,74.370003,74.370003,67.610001,68.809998,408706,59.990746
2007-01-04,82,82,70.25,70.625,1657136,61.573112
2007-01-05,72,73,70,70.724998,827272,61.660297
2007-01-08,71.400002,71.400002,68.25,68.675003,471046,59.873062
2007-01-09,69.75,69.75,65,65.625,556938,57.213963
2007-01-10,66.474998,66.474998,63.799999,65.300003,393688,56.93063
2007-01-11,64,65.75,62.599998,63.025002,632952,54.947205
2007-01-12,66,66.400002,63.549999,65.550003,480512,57.148582
2007-01-15,66.824997,67.949997,65.949997,66.324997,294922,57.824242
2007-01-16,66.974998,67.224998,63.525002,63.825001,384268,55.644669
2007-01-17,63.950001,69.900002,63.950001,68.400002,1352022,59.633293
2007-01-18,69,74.5,67.875,69.199997,2524756,60.330757
2007-01-19,71.275002,73.699997,60.900002,67.474998,926758,58.826859
2007-01-22,68.300003,69.425003,66.574997,68.800003,527820,59.982029
2007-01-23,69.224998,78.949997,67.099998,76.824997,5757748,66.97847
2007-01-24,78.474998,90.949997,76.550003,87.550003,15216896,76.328873
2007-01-25,88.300003,88.300003,83.074997,84.300003,4361630,73.49543
2007-01-29,84.5,86.949997,82.75,83.675003,1683024,72.950531
2007-01-31,84,84.25,75.625,76.650002,1751636,66.825905
2007-02-01,76.650002,77.775002,73.449997,75.074997,1900960,65.452774
2007-02-02,75.900002,79.699997,75.525002,76.5,2633518,66.695122
2007-02-05,77,81,77,78.025002,3059322,68.024666
2007-02-06,78.75,78.75,76.25,76.75,942932,66.913101
2007-02-07,77,78.224998,75.5,75.949997,773858,66.21563
2007-02-08,76.650002,76.724998,72.550003,73.099998,1044612,63.730907
2007-02-09,73.900002,74.449997,69,70.550003,1151374,61.507744
2007-02-12,70.550003,70.550003,66.25,67.925003,1078986,59.219177
2007-02-13,68,71.5,66.525002,68,1053260,59.284565
2007-02-14,68.400002,69.5,66.5,68.400002,571678,59.633293
2007-02-15,69.375,72.5,69,71.974998,856318,62.750103
2007-02-19,73.199997,85.5,73,81.074997,5861520,70.683769
2007-02-20,81.25,88.724998,80.025002,80.699997,7179944,70.356819
2007-02-21,81.650002,82.75,78.775002,79.474998,2521890,69.288834
2007-02-22,80,82.224998,77.625,78.474998,1643876,68.416992
2007-02-23,78,79,73.5,74.599998,1357998,65.038666
2007-02-26,75.025002,76.349998,71.050003,73.525002,999538,64.101448
2007-02-27,73.5,77.699997,72.025002,74.175003,1903338,64.668121
2007-02-28,72,73.800003,63.75,69.75,1179552,60.81028
2007-03-01,70,71.199997,65,66.025002,1649252,57.562695
2007-03-02,66.5,68.925003,61.5,62.25,3277674,54.27153
2007-03-05,61,62.5,57,57.299999,1296316,49.955963
2007-03-06,59.200001,63.900002,57.575001,59.900002,2021370,52.222733
2007-03-07,61.724998,62.200001,57,57.799999,926260,50.391884
2007-03-08,57.799999,60.474998,57.549999,59.849998,752986,52.179138
2007-03-09,60.849998,62,58.974998,60.450001,979274,52.702229
2007-03-12,60.974998,64,60,62.450001,919226,54.445896
2007-03-13,62,66.625,62,66.25,1586432,57.758862
2007-03-14,55,64.425003,55,63.450001,778766,55.317738
2007-03-15,63.549999,72.425003,63.549999,67.025002,3511570,58.434536
2007-03-16,67,69.75,64.25,64.75,1591414,56.451115
2007-03-19,65,66.75,63.049999,63.950001,1259892,55.753651
