"Date","KTKBANK.NS.Open","KTKBANK.NS.High","KTKBANK.NS.Low","KTKBANK.NS.Close","KTKBANK.NS.Volume","KTKBANK.NS.Adjusted"
2007-01-02,114.858002,116.249001,113.765999,114.292999,1734553,70.433647
2007-01-03,115.121002,115.421997,112.901001,113.917,1030427,70.201927
2007-01-04,113.917,116.474998,113.239998,113.728996,1323917,70.086082
2007-01-05,114.067001,115.347,112.563004,112.975998,1182258,69.622032
2007-01-08,112.111,113.202003,110.116997,110.757004,741852,68.254578
2007-01-09,111.320999,113.202003,109.100998,109.514999,782453,67.489182
2007-01-10,109.100998,111.246002,107.597,108.537003,425529,66.886475
2007-01-11,109.026001,110.530998,107.597,108.574997,338711,66.909897
2007-01-12,110.530998,121.892998,108.913002,111.735001,817813,68.857262
2007-01-15,112.863998,124.902,110.230003,112.073997,756462,69.06617
2007-01-16,111.396004,115.497002,111.396004,114.331001,895159,70.457069
2007-01-17,115.045998,117.040001,114.029999,114.405998,1131893,70.503281
2007-01-18,115.121002,118.130997,113.615997,116.513,2021698,71.801743
2007-01-19,117.303001,121.892998,116.625999,119.786003,2158500,73.818741
2007-01-22,120.538002,123.774002,120.538002,122.155998,2154763,75.279259
2007-01-23,122.720001,123.285004,120.838997,122.005997,2392978,75.186813
2007-01-24,123.021004,123.021004,120.575996,122.117996,480785,75.255836
2007-01-25,122.117996,129.003006,121.291,125.240997,3754720,77.18042
2007-01-29,126.181,130.770996,122.644997,130.244995,1862656,80.264145
2007-01-31,131.447998,133.330002,127.196999,129.304001,1863371,79.68425
2007-02-01,129.417007,134.684006,128.740005,133.742996,1362235,82.419807
2007-02-02,134.684006,144.992004,133.253998,141.681,2856338,87.311646
2007-02-05,142.735001,143.223999,138.257996,139.800003,1882570,86.152466
2007-02-06,137.617996,142.960999,137.016006,139.423996,1546342,85.920753
2007-02-07,143.712997,143.712997,137.843994,139.348999,601715,85.874535
2007-02-08,135.436005,145.067001,135.436005,141.718994,2661779,87.33506
2007-02-09,141.455994,145.444,137.806,140.214005,2173070,86.4076
2007-02-12,139.951004,141.003998,133.554993,135.850006,2401694,83.718269
2007-02-13,136.188995,140.477997,132.464005,135.360992,2306896,83.416916
2007-02-14,135.436005,137.317001,124.751999,135.022003,1416732,83.208008
2007-02-15,136.188995,142.207993,136.188995,138.220001,905183,85.178795
2007-02-19,139.912994,140.514999,137.882004,138.445999,558930,85.318047
