"Date","M&M.NS.Open","M&M.NS.High","M&M.NS.Low","M&M.NS.Close","M&M.NS.Volume","M&M.NS.Adjusted"
2007-01-02,228.25,241.199997,227.800003,238.550003,3278792,157.183105
2007-01-03,241.199997,242.962006,232.837006,233.561996,4776776,153.896454
2007-01-04,235,236.938004,230.787994,231.787994,3980560,152.727554
2007-01-05,232.5,233.975006,223,224.136993,3581348,147.686249
2007-01-08,222.5,228.675003,220.25,224.636993,4240444,148.015686
2007-01-09,225.5,228.425003,220.274994,222.949997,4594032,146.904099
2007-01-10,222.949997,224.25,218.337006,219.113007,2835888,144.375885
2007-01-11,220.5,229.25,219.261993,227.738007,2125208,150.05899
2007-01-12,228.837006,234.925003,228.25,233.363007,2934672,153.765335
2007-01-15,236.925003,240,233,237.725006,3680016,156.639526
2007-01-16,237.75,250.25,237.087006,246.561996,6336592,162.462311
2007-01-17,247.462006,248.5,240,240.800003,3410644,158.665665
2007-01-18,242.75,244.925003,239.587006,242.100006,2501980,159.522263
2007-01-19,242.238007,243.675003,232.25,233.449997,6004588,153.822678
2007-01-22,233.774994,237.175003,229.511993,232.037994,3420988,152.892288
2007-01-23,234.25,236.25,228.75,230.274994,1915196,151.730637
2007-01-24,230,231.725006,223.061996,227.061996,4893356,149.613541
2007-01-25,228,231.5,226.574997,230.561996,4464840,151.919754
2007-01-29,233.675003,234.188004,229.574997,231.337006,2259172,152.430389
2007-01-31,232.5,232.75,223.5,225.274994,3705940,148.436066
2007-02-01,226.5,227.438004,225.087006,226.613007,1430704,149.317719
2007-02-02,227.375,231.238007,227,228.550003,3109788,150.594025
2007-02-05,228.75,235.625,228.25,234.462006,3879088,154.489487
2007-02-06,238.688004,238.688004,232.587006,234.875,3496676,154.761627
2007-02-07,232.587006,238,227.5,236.149994,3006600,155.601715
2007-02-08,236.5,236.975006,231.5,232.850006,1667920,153.427322
2007-02-09,234,235.425003,227.050003,230.011993,2656748,151.557327
2007-02-12,230.488007,230.488007,217.988007,220.199997,2634816,145.092117
2007-02-13,219.975006,227.113007,213,216.438004,3695796,142.613281
2007-02-14,216.688004,217.511993,204.5,213.925003,4961412,140.957458
2007-02-15,221.175003,226.5,216.386993,225.488007,4616596,148.576401
2007-02-19,225.75,228.100006,222.324997,223.462006,1260476,147.241486
2007-02-20,222.75,223.75,218.600006,220.212006,3400032,145.100006
2007-02-21,221.25,226.475006,219.261993,223.199997,3253896,147.068848
2007-02-22,225,228.113007,215.5,218.125,6220964,143.724869
2007-02-23,218.975006,219.850006,211.024994,213.962006,3778644,140.981827
2007-02-26,213.962006,218.75,205.625,213.850006,4428700,140.908005
2007-02-27,215.274994,217.25,210.837006,211.988007,2466532,139.681137
2007-02-28,204.25,212.925003,189.649994,202.837006,4227244,133.651443
2007-03-01,204,204.25,197.587006,201.300003,4018272,132.638702
2007-03-02,199.75,203,190.324997,192.625,4893144,126.922653
2007-03-05,186.199997,191.175003,175,177.300003,4920328,116.824852
2007-03-06,179,184.5,173.324997,181.287994,5160856,119.45256
2007-03-07,184.675003,194.25,177.761993,190.261993,4239208,125.365654
2007-03-08,191.324997,195.061996,184.800003,191.399994,2217752,126.115486
2007-03-09,193.75,198.675003,179,183.475006,7507596,120.893623
2007-03-12,184.811996,187.475006,183.287994,184.561996,5011624,121.609825
2007-03-13,185,190.975006,183.850006,190.087006,4692256,125.250336
2007-03-14,187.5,189.25,177.587006,187.274994,3205072,123.397499
2007-03-15,190,192.113007,185.5,186.761993,1649004,123.059441
2007-03-16,186.5,190.925003,181.311996,182.675003,1832600,120.366478
2007-03-19,187.175003,187.175003,183.037994,184.725006,1232432,121.717239
2007-03-20,186,187.300003,183,185.962006,2048168,122.532318
2007-03-21,187.25,189.375,183.5,188.375,2927056,124.122284
2007-03-22,189.5,196.475006,189.5,195.399994,5967400,128.751129
2007-03-23,194.949997,201,188.087006,199.199997,4191324,136.494019
2007-03-26,200,201.925003,195.25,197.136993,3801480,135.080414
2007-03-28,196.25,196.25,189.25,190.587006,2000100,130.5923
2007-03-29,198.199997,198.199997,186.050003,189.438004,4572740,129.804993
2007-03-30,189.25,196.425003,187.886993,195.100006,3573140,133.684662
2007-04-02,187.5,191,176.600006,178.375,4873272,122.224495
2007-04-03,178.5,183.75,178.5,181.811996,4098192,124.579582
2007-04-04,183.25,185.375,176.5,177.949997,5572172,121.933273
2007-04-05,178.25,179.988007,175.75,178.425003,3226072,122.258759
2007-04-09,180,184.375,179.800003,183.600006,3161300,125.804726
2007-04-10,183.75,184.975006,179.787994,181.938004,3282060,124.665924
2007-04-11,183.675003,183.675003,180.136993,181.300003,1852248,124.228752
2007-04-12,180.75,180.75,177.837006,179.699997,1572512,123.132408
2007-04-13,180.25,186.75,178.837006,186.274994,4005680,127.637657
2007-04-16,187.5,191.25,187.5,190.75,3347796,130.703979
2007-04-17,192.274994,192.5,187.011993,187.449997,2420748,128.442795
2007-04-18,189.675003,189.675003,185.261993,186.475006,1058492,127.774719
2007-04-19,184,186.225006,182,183.475006,3119100,125.71907
2007-04-20,185.75,188,183.75,185.925003,2827744,127.397842
2007-04-23,187,189.488007,182,182.824997,3149856,125.273689
2007-04-24,182.824997,188.75,181.350006,186.087006,2399476,127.508858
2007-04-25,186.5,192.75,185.774994,190.761993,4498080,130.712189
2007-04-26,191.25,194.425003,188.761993,191.649994,4318700,131.320679
2007-04-27,192,193.75,188.337006,190.561996,3568524,130.575165
2007-04-30,190.561996,195,187.511993,194.425003,1995072,133.222137
2007-05-03,195.375,199.75,195.375,198.050003,3750732,135.706024
2007-05-04,198.25,200.75,195.800003,197.511993,2825212,135.337357
2007-05-07,198.725006,199.988007,193.300003,193.938004,1388088,132.888443
2007-05-08,198.25,198.25,188.787994,189.899994,2456004,130.121536
