"Date","MARUTI.NS.Open","MARUTI.NS.High","MARUTI.NS.Low","MARUTI.NS.Close","MARUTI.NS.Volume","MARUTI.NS.Adjusted"
2007-01-02,939,972,936.099976,968.599976,557118,906.004578
2007-01-03,976.5,984.900024,970,974.549988,759731,911.569946
2007-01-04,974.549988,977.5,961,967.349976,434685,904.835388
2007-01-05,969.650024,970,930,934.950012,1052426,874.529175
2007-01-08,934.900024,939.549988,895,897.950012,1095284,839.920288
2007-01-09,905,906,880,886.450012,821394,829.163391
2007-01-10,890,898.799988,872.200012,880.5,550933,823.597961
2007-01-11,888,909.849976,882,905.799988,401987,847.262939
2007-01-12,914.700012,925,914,922.349976,538033,862.743347
2007-01-15,922,930,903.5,906.700012,911131,848.104797
2007-01-16,913,913,902.700012,910.650024,544718,851.7995
2007-01-17,930,930,906,908.75,363570,850.022339
2007-01-18,908,925,902,918.650024,587949,859.282532
2007-01-19,922,924,905,912.299988,643196,853.342896
2007-01-22,915,944,893.650024,938.799988,2386230,878.130249
2007-01-23,940,941.849976,910.099976,918.950012,957460,859.563171
2007-01-24,921.099976,936.400024,914.150024,934.150024,1033601,873.780945
2007-01-25,939,956,927.299988,948.049988,1186227,886.782532
2007-01-29,949.799988,949.799988,927.25,936.849976,444476,876.306396
2007-01-31,939,941.5,920,924.900024,609536,865.12854
2007-02-01,939.900024,954,920,940.25,602355,879.486694
2007-02-02,943.799988,950,940,944.599976,445276,883.555542
2007-02-05,945,965,935.150024,963.25,669844,901.000305
2007-02-06,965.099976,972.849976,936,952.5,550278,890.944946
2007-02-07,953.200012,959.900024,943.5,951.599976,213359,890.103027
2007-02-08,951.950012,966,942.099976,962.549988,602126,900.345459
2007-02-09,963,963,938.099976,941.700012,400531,880.842896
2007-02-12,938.200012,948.599976,907.549988,912,433138,853.062317
2007-02-13,912,924,880.5,890.900024,620657,833.325806
2007-02-14,945,945,841.099976,857.049988,984466,801.66333
2007-02-15,872,896,866,892.25,621597,834.588623
2007-02-19,900,923,880.099976,914.049988,591776,854.979736
2007-02-20,919,919,889,892.75,599075,835.056335
2007-02-21,895,910.25,885.5,898.150024,442431,840.107361
2007-02-22,915,915,865.099976,880,835805,823.130249
2007-02-23,888,897,850,863.5,881152,807.696533
2007-02-26,870,900,846.25,878.299988,875100,821.5401
2007-02-27,877,894,866,887.049988,450104,829.72467
2007-02-28,850,875,825.5,841.700012,1075465,787.305359
2007-03-01,848,870.400024,825,840.900024,1235538,786.557129
2007-03-02,844,853,827.5,833.099976,640139,779.261169
2007-03-05,825,825,762,772.900024,988480,722.951538
2007-03-06,790,817,785,791.75,1131567,740.583435
2007-03-07,797,802,755.049988,774.849976,765263,724.775513
2007-03-08,787,798,757.150024,792.349976,1021395,741.144653
2007-03-09,792,815,781,787.200012,985053,736.327454
2007-03-12,789.799988,806.900024,788,797.099976,685011,745.587708
2007-03-13,800,808.25,791.349976,801.549988,746586,749.750061
2007-03-14,791,809.900024,768,791.75,1165193,740.583435
2007-03-15,804.099976,815,791,796.150024,991159,744.699097
2007-03-16,798,804.099976,770.099976,780.099976,596137,729.686157
2007-03-19,786,794.900024,762.200012,788.849976,953061,737.870728
2007-03-20,792,801.25,782,789.650024,2145321,738.61908
2007-03-21,796,797,785,791.650024,1459637,740.489807
2007-03-22,790.5,838.5,790.5,831.299988,1346218,777.577515
2007-03-23,833,849,818,840.650024,1248363,786.323303
2007-03-26,837.150024,843.900024,815.150024,821.700012,991767,768.5979
2007-03-28,775.25,829.700012,775.25,796.650024,609221,745.166748
2007-03-29,828.5,828.5,794.099976,812.450012,1329498,759.945679
2007-03-30,812,830,790,820.200012,893379,767.194824
2007-04-02,795,795,741.349976,749.25,1764472,700.829895
2007-04-03,745,765.799988,745,756.450012,798112,707.564697
2007-04-04,765,768,743.549988,745.950012,639319,697.743286
2007-04-05,746,763.900024,741,755.900024,607163,707.050293
2007-04-09,754,795.900024,754,789.450012,637121,738.432068
2007-04-10,790,801,785,786.150024,568648,735.345276
2007-04-11,790,790,777.349976,781.950012,416519,731.416748
2007-04-12,770,778,750.549988,758.950012,582216,709.903076
2007-04-13,760,777,755,771.950012,564293,722.063049
2007-04-16,777.099976,786,775.099976,778,442878,727.721985
2007-04-17,781.150024,784.5,760.150024,762.099976,452478,712.849487
2007-04-18,765,774.349976,761.25,764.25,438847,714.860535
2007-04-19,764,780,746,771.900024,406231,722.016174
2007-04-20,778.099976,791.799988,772,778.599976,594583,728.283142
2007-04-23,798.700012,798.700012,764,766.900024,543379,717.339355
2007-04-24,770,810,762,796,2359485,744.558655
2007-04-25,800,815,783,791,1363916,739.881897
2007-04-26,840,840,785.549988,797.5,1699840,745.96167
2007-04-27,794.200012,810,789.25,795.900024,924946,744.465271
2007-04-30,798.5,808.75,783,806.099976,422751,754.006104
2007-05-03,817.5,824.599976,811,814.349976,369317,761.7229
2007-05-04,821,822,803,807.450012,221444,755.268799
2007-05-07,820,824,801.099976,804.950012,391280,752.930298
2007-05-08,811,814.900024,782.5,800.75,490355,749.00177
2007-05-09,801,814.450012,791.099976,802.299988,904909,750.451599
2007-05-10,848.700012,848.700012,790.099976,794.900024,597803,743.529846
2007-05-11,795,806.5,751.25,795.5,543745,744.091125
2007-05-14,820,820,800.099976,803.700012,211565,751.761108
2007-05-15,801.099976,808.900024,791,806.549988,248635,754.427063
2007-05-16,807,810,792.200012,802.549988,321379,750.685364
2007-05-17,803,820,803,816.799988,345832,764.014587
2007-05-18,815,825,799,810.099976,328877,757.747498
2007-05-21,810.099976,825,800.25,821,406615,767.943115
