"Date","MINDTREE.NS.Open","MINDTREE.NS.High","MINDTREE.NS.Low","MINDTREE.NS.Close","MINDTREE.NS.Volume","MINDTREE.NS.Adjusted"
2007-03-07,210.71,226.422,193.571,155.300003,50376704,115.529701
2007-03-08,210.038,215.717,201.972,158.300003,13405928,117.761482
2007-03-09,213.062,224.757,206.039,163.136993,10120016,121.359772
2007-03-12,218.876,263.169,216.86,195.199997,32432176,145.211868
2007-03-13,268.512,307.159,268.512,219.761993,38461444,163.483856
2007-03-14,278.964,337.237,269.521,236.850006,50340576,176.195831
2007-03-15,308.84,343.857,308.251,232.537994,29973068,172.988052
2007-03-16,316.569,329.34,295.095,224.324997,23828800,166.878311
2007-03-19,305.866,315.897,299.8,225.162994,13522096,167.501724
2007-03-20,306.991,313.209,297.598,223.261993,8381944,166.08757
2007-03-21,300.842,304.471,286.996,215.675003,11704560,160.443466
2007-03-22,296.406,302.455,291.416,218.274994,8250852,162.377625
2007-03-23,295.061,297.75,285.752,215.561996,6580848,160.359421
2007-03-26,291.146,295.733,284.643,213.511993,4769056,158.834381
2007-03-28,283.333,288.138,275.57,207.688004,3852820,154.501862
2007-03-29,278.964,283.299,275.57,206.350006,3357832,153.506485
2007-03-30,280.611,284.98,277.452,207.699997,3937540,154.510742
2007-04-02,272.092,278.157,270.076,202.912994,1893084,150.949646
2007-04-03,275.906,277.25,264.328,198.300003,2412316,147.517975
2007-04-04,267.504,276.578,261.321,202.113007,4888584,150.354523
2007-04-05,274.898,282.862,267.84,208.136993,8941184,154.835892
2007-04-09,281.619,289.55,276.023,212.774994,4672680,158.286118
2007-04-10,285.652,299.094,282.963,216.649994,7480372,161.168762
2007-04-11,292.373,294.053,267.538,200.5,7043936,149.154602
2007-04-12,266.496,274.562,265.454,201.188004,4859064,149.666397
2007-04-13,273.889,281.854,270.041,207.824997,4175288,154.603775
2007-04-16,281.283,289.684,280.611,210.274994,3522152,156.426331
2007-04-17,283.198,285.114,271.033,202.988007,1868516,151.005432
2007-04-18,273.553,277.216,269.958,202.061996,1307208,150.316589
2007-04-19,269.505,273.889,264.984,202.274994,1109792,150.475052
