"Date","ONGC.NS.Open","ONGC.NS.High","ONGC.NS.Low","ONGC.NS.Close","ONGC.NS.Volume","ONGC.NS.Adjusted"
2007-01-02,146.667007,146.667007,144.591995,146.141998,2052042,53.979679
2007-01-03,147.792007,147.792007,143.332993,145.417007,7268154,53.711895
2007-01-04,144.317001,146.783005,144.317001,145.725006,10562220,53.825672
2007-01-05,144.841995,151.332993,144.057999,149.199997,12994962,55.109203
2007-01-08,149.167007,154,148.332993,151.858002,11157894,56.090981
2007-01-09,153.283005,155.983002,151.167007,152.742004,12485292,56.41748
2007-01-10,152.75,153.332993,147.024994,148.425003,7867962,54.822945
2007-01-11,147.850006,153.149994,146.417007,152.432999,5988102,56.303345
2007-01-12,152.667007,155,151.391998,153.942001,11443848,56.860722
2007-01-15,153.832993,155.949997,152.042007,152.682999,3622434,56.395695
2007-01-16,153.300003,155.417007,152.557999,153.324997,4209756,56.632832
2007-01-17,153.5,153.5,148.725006,149.175003,10254372,55.099957
2007-01-18,149.332993,156.132996,149.332993,152.466995,12706578,56.315903
2007-01-19,153.667007,154.167007,148.675003,149.382996,7936938,55.176792
2007-01-22,151.649994,152.832993,147.917007,149.074997,9040824,55.063026
2007-01-23,149.167007,149.966995,148,148.649994,6417780,54.906044
2007-01-24,149.449997,152.516998,149.167007,152.125,6995166,56.189602
2007-01-25,153,154.582993,150.399994,153.524994,14339154,56.706684
2007-01-29,152,154.149994,152,152.807999,7187490,56.441872
2007-01-31,154.167007,154.832993,150.257996,151.899994,10713342,56.106472
2007-02-01,152,153.317001,151.057999,151.807999,2562228,56.072517
2007-02-02,153.332993,153.332993,150.182999,150.925003,4678788,55.746342
2007-02-05,154.682999,154.682999,150.832993,151.675003,2850774,56.023369
2007-02-06,152.832993,152.983002,150.542007,151.367004,3353580,55.909622
2007-02-07,151.667007,151.667007,148.341995,148.649994,7501332,54.906044
2007-02-08,151.667007,151.667007,148.167007,149,5091540,55.035328
2007-02-09,149.5,150.391998,146.725006,147.317001,5350788,54.413685
2007-02-12,148,148.408005,143.875,144.466995,4474368,53.360989
2007-02-13,143.332993,150.167007,143.292007,147.600006,8473662,54.518211
2007-02-14,147.5,151.283005,145.074997,150.132996,8171538,55.453796
2007-02-15,150.832993,153,150.233002,151.042007,6731808,55.789574
2007-02-19,151.042007,152,149.667007,151.024994,4067616,55.783291
2007-02-20,151.667007,151.667007,144.175003,146.024994,6767100,53.93647
2007-02-21,146.667007,147.707993,143.757996,145.5,8859684,53.742546
2007-02-22,145.492004,147.149994,141.067001,142.5,10035750,52.634453
2007-02-23,143.332993,144.632996,136.667007,138.332993,10505904,51.095303
2007-02-26,137.516998,139.667007,134.675003,139.108002,3975060,51.381573
2007-02-27,139.182999,140.667007,134.832993,136.300003,7775784,50.344402
2007-02-28,133.542007,136,121.083,131.341995,14759214,48.513088
2007-03-01,131.341995,137.5,125.182999,132.658005,12675696,48.999184
2007-03-02,133.667007,136.641998,132.5,133.149994,8710650,49.180904
2007-03-05,130.832993,131.574997,126.417,128.841995,7309896,47.589661
2007-03-06,130.832993,132.442001,126.675003,128.158005,6799578,47.337036
2007-03-07,129.350006,129.774994,125.391998,127.474998,6977760,47.084755
2007-03-08,127.667,133.332993,127.667,129.917007,6298566,47.986755
2007-03-09,131.100006,131.649994,128.707993,130.567001,3081060,48.226826
2007-03-12,131,134.449997,130.007996,132.266998,4916346,48.854744
2007-03-13,133,135.832993,130.667007,134.524994,3499056,49.688778
2007-03-14,131.832993,131.832993,126.833,130.225006,6203118,48.100513
2007-03-15,131.649994,132.442001,128.516998,129.417007,6692100,47.802067
2007-03-16,131,133.283005,126,127.141998,4269132,46.961754
2007-03-19,128.167007,132.807999,127.5,132.192001,2706282,48.827042
2007-03-20,133.332993,134.949997,131.182999,131.800003,6147876,48.682255
2007-03-21,131.817001,137,130.382996,135.274994,4812948,49.965794
2007-03-22,137.332993,143.067001,136.332993,142.050003,10139304,52.468235
2007-03-23,145.667007,145.667007,139.167007,140.516998,6415032,51.902012
2007-03-26,140,144.149994,136.925003,141.707993,8220882,52.341915
2007-03-28,141.667007,145.350006,137.550003,144.091995,11680926,53.222473
2007-03-29,143.332993,146.850006,143,145.800003,11217894,53.853348
2007-03-30,145.332993,147.5,145.274994,146.800003,7749954,54.222729
2007-04-02,145.832993,145.832993,136.5,137.682999,7418640,50.855225
2007-04-03,137.082993,141.667007,136.867004,140.632996,6821988,51.944847
2007-04-04,141.332993,142.658005,139.533005,141.274994,4956420,52.18198
2007-04-05,140.817001,142.449997,138.882996,141.024994,4226268,52.089649
2007-04-09,141.332993,145.832993,141.024994,145.225006,3660876,53.640991
2007-04-10,146.667007,147.5,143.050003,145.725006,4787190,53.825672
2007-04-11,145.725006,148.132996,145.25,146.757996,6643878,54.207199
2007-04-12,142.716995,146.492004,140.932999,141.807999,5799006,52.378838
2007-04-13,142.016998,145.75,142.016998,145.391998,5038248,53.702663
2007-04-16,145.832993,150.608002,145.832993,150.033005,5180988,55.416885
2007-04-17,150.332993,151,147.832993,148.949997,5303004,55.016857
2007-04-18,146.766998,152.167007,146.766998,150.867004,6829746,55.724934
2007-04-19,148.667007,151.449997,146.117004,149.257996,7304742,55.130615
2007-04-20,153.332993,154.167007,150,153.591995,5181318,56.731453
2007-04-23,154.167007,156.608002,154.167007,156.007996,6654144,57.623852
2007-04-24,155,159.317001,154.25,158.082993,8683968,58.390266
2007-04-25,158,163.332993,157.692001,162.091995,10068546,59.871044
2007-04-26,163.332993,165,156.774994,159.757996,17515062,59.008953
2007-04-27,151.917007,159.108002,151.917007,154.417007,2694690,57.036167
2007-04-30,151,153.983002,150.391998,152.307999,6196524,56.25716
2007-05-03,153.975006,156.167007,152.117004,153.225006,6981654,56.595901
2007-05-04,154.632996,156.966995,153.524994,154.75,4710726,57.159168
2007-05-07,152.5,157.483002,152.5,154.175003,4934568,56.946804
2007-05-08,153.350006,156.266998,151.667007,153.100006,4809540,56.549717
2007-05-09,153.908005,156.632996,149.582993,151.557999,9619398,55.980156
2007-05-10,153.167007,154.908005,146.882996,148.082993,6452436,54.696606
2007-05-11,147.332993,148.332993,144.667007,147.182999,6797814,54.364201
2007-05-14,149.783005,152.667007,147.5,151.033005,2260536,55.786247
2007-05-15,151.167007,152.242004,146.667007,148.242004,5589780,54.755348
2007-05-16,151.307999,151.307999,146.682999,150.016998,5754918,55.410965
2007-05-17,151.167007,154.117004,150.257996,151.524994,9493524,55.967976
2007-05-18,151.483002,153.317001,148.733002,151.466995,3648240,55.946533
2007-05-21,152.5,156.132996,152.332993,155.432999,6169008,57.411434
2007-05-22,155.050003,157.283005,153.332993,154.542007,5886336,57.082348
2007-05-23,154,154.983002,151.5,152.408005,5537862,56.294125
2007-05-24,152.332993,152.457993,149.307999,150.024994,4444266,55.413929
2007-05-25,149.832993,152.167007,148,151.233002,5912568,55.860104
2007-05-28,152.167007,153.199997,150.5,151.949997,4775268,56.124969
2007-05-29,152,154.149994,151,153.149994,6622182,56.568176
2007-05-30,151.832993,152.832993,151.167007,152.274994,7351404,56.244991
2007-05-31,153.307999,154.667007,151.667007,153.716995,8787150,56.777615
2007-06-01,153.667007,153.932999,151.516998,151.891998,2974656,56.103527
2007-06-04,157.408005,157.408005,147.341995,150.483002,5161824,55.583099
2007-06-05,150.25,152.167007,148.757996,149.082993,3582108,55.065983
2007-06-06,153.550003,153.550003,140.917007,144.016998,8386254,53.194786
2007-06-07,137.783005,145.167007,137.783005,142.332993,5508750,52.572762
2007-06-08,142.466995,146.5,140.332993,144.125,9623526,53.234676
2007-06-11,146.667007,147.567001,140.832993,142.149994,7643574,52.505188
2007-06-12,144.125,144.317001,141.667007,143.475006,3277464,52.994591
2007-06-13,143.975006,145.300003,143,143.567001,5037588,53.028572
2007-06-14,142.557999,147.5,142.557999,146.582993,1843482,54.142578
2007-06-15,147.5,148.608002,145.358002,147.082993,3626394,54.327251
2007-06-18,147.5,149.983002,146.716995,148.257996,4330080,54.761253
2007-06-19,147.832993,153.167007,147.832993,152.557999,3573474,56.349518
2007-06-20,153.332993,154.167007,150.524994,153.774994,4803960,56.799046
2007-06-21,143.141998,153.858002,143.141998,152.408005,6124824,56.294125
2007-06-22,151.832993,153.725006,150.332993,151.600006,5078934,55.995674
2007-06-25,151.332993,154.5,150.875,152.841995,7437960,56.454422
2007-06-26,153.667007,158.332993,151.067001,157.182999,7756872,58.057842
2007-06-27,158.225006,158.332993,153,153.641998,5548932,56.749916
2007-06-28,154.832993,155.5,150,151.091995,12122526,55.808037
2007-06-29,150.832993,153,149.875,150.925003,6841872,55.746342
2007-07-02,151,152.5,148.332993,148.774994,4846230,54.952209
2007-07-03,149.582993,150.667007,147.533005,147.949997,5480796,54.647488
2007-07-04,151.649994,151.649994,144.632996,145.332993,9707706,53.680855
2007-07-05,146.649994,147.332993,145.033005,146.667007,4380486,54.173599
2007-07-06,146.167007,149.108002,145,146.091995,4931520,53.961216
2007-07-09,146.091995,149.5,146.091995,148.417007,5974872,54.819996
2007-07-10,149.332993,150.300003,148.082993,149.757996,5355810,55.315308
2007-07-11,149.332993,150.832993,146.891998,150.141998,4968408,55.457134
2007-07-12,149.182999,151.167007,147.167007,147.617004,5967504,54.524494
2007-07-13,148.358002,150.658005,148.358002,150.175003,5524746,55.469337
2007-07-16,150.832993,153,150,152.475006,6594618,56.318871
2007-07-17,152.832993,153.832993,151.75,152.292007,5466804,56.251274
2007-07-18,151.332993,152.167007,147.667007,148.807999,4206456,54.964413
2007-07-19,149,150.167007,148.408005,149.266998,3317568,55.133938
2007-07-20,150.966995,154.682999,146.582993,147.966995,5500452,54.65377
2007-07-23,149.442001,152.817001,148.332993,151.524994,4972116,55.967976
2007-07-24,153,154.167007,151.891998,152.832993,5242956,56.451099
2007-07-25,151.667007,156.667007,150.882996,155.675003,7928862,57.500839
2007-07-26,156.399994,159.832993,155.207993,158.216995,14797524,58.439766
2007-07-27,155,156.024994,150,150.632996,4339008,55.6385
2007-07-30,151.667007,152.483002,148.332993,150.766998,3041748,55.687996
2007-07-31,151.667007,153.167007,149.574997,152.425003,2519880,56.300407
2007-08-01,150,150.149994,146.832993,147.432999,7415538,54.456539
2007-08-02,148.132996,148.132996,145.375,146.082993,3739380,53.957882
2007-08-03,148.324997,148.324997,146.358002,147.399994,2650902,54.444344
2007-08-06,145.007996,146.5,143.332993,145.117004,2570826,53.601086
2007-08-07,148,148.167007,143.925003,144.867004,3601824,53.508743
2007-08-08,146.632996,148.567001,145.207993,148.016998,2518566,54.672249
2007-08-09,149.617004,150.832993,143.425003,144.266998,4137738,53.287121
2007-08-10,142,143.516998,138.350006,140.375,14000724,51.849567
2007-08-13,142,143.332993,139.832993,140.507996,3736470,51.898682
2007-08-14,138.667007,143.167007,138.332993,142.216995,3147750,52.529922
2007-08-16,139.882996,139.882996,135.007996,136.475006,7830786,50.409027
2007-08-17,136.5,139.167007,128,130.658005,14921358,48.260441
2007-08-20,133.5,137.882996,133.332993,136.432999,6725616,50.393524
2007-08-21,137,137.483002,130.632996,131.600006,4024242,48.608387
2007-08-22,133.908005,136.983002,130.082993,134.817001,5341470,49.796623
2007-08-23,136.667007,139.682999,129.516998,130.682999,5242212,48.269676
2007-08-24,134,135.167007,131.074997,134.199997,2275206,49.568733
2007-08-27,135,137.483002,134.667007,136.375,4956108,50.372097
2007-08-28,137.332993,137.332993,133.841995,134.875,4287282,49.818047
2007-08-29,131,139.332993,130.858002,138.917007,6564246,51.311012
2007-08-30,138.832993,142.300003,137.5,140.117004,13472754,51.754253
2007-08-31,140.832993,144.324997,139.091995,143.283005,5217234,52.923676
2007-09-03,143.332993,144.117004,139.957993,140.175003,3385164,51.775684
2007-09-04,141.649994,141.649994,138.167007,138.766998,4650114,51.255611
2007-09-05,141,141,137.557999,138.533005,4368252,51.169193
2007-09-06,138.832993,140,138,139.524994,2215794,51.535591
2007-09-07,140.007996,143.832993,139.675003,141.807999,6652986,52.378838
2007-09-10,139.807999,139.807999,137.867004,138.682999,3350766,56.394447
2007-09-11,138.332993,140.658005,137.5,138.100006,4467234,56.157394
2007-09-12,138.667007,139.5,137.033005,137.949997,4207692,56.09639
2007-09-13,139.149994,139.949997,138.382996,139.300003,4700616,56.645351
2007-09-14,139.832993,142.167007,138.442001,139.067001,8782572,56.550598
2007-09-17,140.667007,140.667007,139.100006,139.332993,3567222,56.658756
2007-09-18,139.5,142.300003,139.167007,141.766998,5920650,57.64854
2007-09-19,143.332993,153.167007,143.332993,150.632996,17349858,61.25383
2007-09-20,151.332993,155,150.542007,151.016998,8720418,61.410004
2007-09-21,149.167007,155.432999,149.167007,154.324997,7871196,62.755154
2007-09-24,155.016998,157.332993,153.332993,154.891998,4712004,62.985741
2007-09-25,153.5,157.283005,152.5,155.117004,5801406,63.077221
2007-09-26,156.667007,156.966995,153.675003,156.125,7726854,63.487129
2007-09-27,156.850006,163.332993,156.850006,162.125,17735058,65.926979
2007-09-28,162,164,157.891998,159.682999,7677864,64.933952
2007-10-01,160.332993,169.324997,159.682999,166.582993,11099640,67.739792
2007-10-03,168.332993,175.332993,165.832993,171.167007,12316194,69.603859
2007-10-04,167.757996,171.667007,163.167007,164.442001,10573884,66.869164
2007-10-05,165.841995,166.5,159.807999,160.975006,6737640,65.459335
2007-10-08,161.449997,164.800003,153.350006,156.608002,5718168,63.683537
2007-10-09,156.582993,165.832993,154.167007,164.207993,8774862,66.773987
2007-10-10,165,170.300003,163.332993,168.332993,10751700,68.451408
2007-10-11,170.016998,179.832993,168.367004,177.617004,18178290,72.226707
2007-10-12,178.332993,186.667007,175.091995,182.300003,23342442,74.130997
2007-10-15,182.332993,200,182.332993,198.417007,16422768,80.684883
2007-10-16,200,203.408005,191.692001,195.917007,13709064,79.668259
2007-10-17,183.332993,193.850006,168.667007,188.25,14102718,76.550507
2007-10-18,188.667007,200,175.5,182.283005,10299684,74.124092
2007-10-19,179.949997,186.667007,170.832993,184.550003,7952802,75.045952
2007-10-22,183.167007,191.667007,179.332993,182.675003,6737370,74.283493
2007-10-23,186.332993,192.033005,184.891998,190.649994,11308440,77.526466
2007-10-24,192.5,192.5,180.667007,184.649994,12050886,75.086594
2007-10-25,183.350006,190.766998,177.283005,186.800003,14399184,75.960876
2007-10-26,185,194.167007,182.850006,192.582993,11607648,78.312492
2007-10-29,195,209.167007,193.332993,205.992004,17600490,83.765198
2007-10-30,210,211.350006,201.667007,203.007996,13978800,82.551743
2007-10-31,203.332993,210.824997,203.332993,207.725006,14281170,84.469902
2007-11-01,211.483002,226.332993,210.832993,221.292007,16101552,89.986801
2007-11-02,216.667007,230.841995,210.382996,227.707993,11564568,92.595825
2007-11-05,220.283005,227.667007,213.557999,216.475006,12465486,88.028008
2007-11-06,217.5,222.5,214.391998,217.283005,9337422,88.356575
2007-11-07,219.167007,223.667007,213.725006,215.542007,10017738,87.648621
2007-11-08,214.832993,214.832993,203.591995,206.117004,7176792,83.816025
2007-11-12,203.5,203.5,194.175003,196.891998,14464512,80.064728
2007-11-13,198.332993,202.649994,192.757996,196.725006,9545484,79.996826
2007-11-14,199.800003,208.783005,198.557999,205.942001,11429502,83.74485
2007-11-15,206.667007,209.100006,205.057999,206.5,14882484,83.971748
2007-11-16,210,210,198.792007,207.550003,10797174,84.398727
2007-11-19,207.832993,217.167007,206.5,211.233002,12798036,85.896385
2007-11-20,209.832993,214.100006,202.167007,203.449997,8871894,82.731499
2007-11-21,206.667007,206.667007,197.132996,198.932999,8784462,80.894691
2007-11-22,196.841995,200,185.667007,191.399994,9118086,77.831444
2007-11-23,196.692001,198.167007,188.667007,190.358002,5887110,77.407738
2007-11-26,191.875,201.5,191.875,197.233002,7277298,80.2034
2007-11-27,196.658005,198.783005,194.524994,195.449997,8661552,79.478355
2007-11-28,196.725006,197.5,190.807999,191.707993,4797564,77.956688
2007-11-29,193.391998,196.300003,187.332993,189.550003,11414208,77.079163
2007-11-30,190.742004,196.199997,188.867004,194.591995,6807900,79.129456
2007-12-03,193.332993,198.832993,193.332993,195.050003,7218324,79.315697
2007-12-04,193.533005,197.317001,191.725006,192.975006,6217422,78.471909
2007-12-05,195,202.5,193.332993,201.125,10742358,81.786064
2007-12-06,204.132996,204.667007,196.367004,199.432999,5668218,81.098
2007-12-07,200,201.5,193.132996,198.608002,6467724,80.76252
2007-12-10,197.466995,200,194.332993,198.983002,6844932,80.915031
2007-12-11,199.167007,208.667007,198.332993,206.716995,8801832,84.059975
2007-12-12,193.225006,212.266998,193.225006,209.057999,11071092,85.011955
2007-12-13,209.983002,209.983002,203.332993,205.074997,9006372,83.392281
2007-12-14,204.167007,207.783005,200,206.475006,6858516,83.961601
2007-12-17,205,205,191.932999,194.358002,11884974,79.034302
2007-12-18,198.167007,199.682999,190.167007,191.742004,29812614,77.97052
2007-12-19,194.167007,199.167007,194.167007,196.75,7694982,80.006989
2007-12-20,198.350006,200.783005,195.167007,198.417007,6800052,80.684883
2007-12-24,211.667007,211.667007,200,208.158005,7909014,84.645981
2007-12-26,207.483002,208.117004,203.850006,206.149994,9397386,91.764572
2007-12-27,208.332993,210.832993,206.067001,207.917007,17421942,92.551109
2007-12-28,205.417007,209.067001,201.832993,204.274994,8964024,90.929947
2007-12-31,205.091995,207.5,204.832993,206.158005,6729042,91.768105
2008-01-01,206.667007,209.149994,204.207993,208.317001,5552718,92.729164
2008-01-02,207.5,214.832993,206.617004,211.533005,18435882,94.160721
2008-01-03,210.832993,224.082993,210.042007,217.625,26169270,96.872482
2008-01-04,220.5,226,218.332993,223.850006,21062022,99.643471
2008-01-07,222.475006,223.667007,215.432999,216.483002,11894130,96.364128
2008-01-08,216.667007,222.667007,215.091995,220.149994,9793542,97.99646
2008-01-09,219.832993,221.667007,216.057999,216.882996,6039504,96.542183
2008-01-10,216.667007,221.283005,213.449997,215.692001,9847722,96.012039
2008-01-11,216.5,220.742004,212.850006,217.016998,8617074,96.601852
2008-01-14,215,218.667007,213.117004,214.817001,6107808,95.622551
2008-01-15,215,218,211.667007,212.875,5997942,94.758102
2008-01-16,208.557999,215.832993,203.332993,209.016998,6402444,93.040756
2008-01-17,210,216.233002,207,208.475006,8456454,92.7995
2008-01-18,205.783005,209.966995,199.667007,201.992004,11830056,89.913696
2008-01-21,200,201.617004,173.742004,186.091995,13236276,82.836021
2008-01-22,180,183.332993,138.332993,159.875,24170850,71.165947
2008-01-23,166.5,174.667007,158.332993,165.266998,11866644,73.566116
2008-01-24,170.832993,174.167007,150.832993,157.875,9301080,70.275688
2008-01-25,166.5,174.992004,160.167007,169.367004,7466844,75.391174
2008-01-28,166.5,169.966995,156.925003,166.692001,6402276,74.200439
2008-01-29,171.233002,175.608002,164.007996,169.966995,5768076,75.658234
2008-01-30,171.667007,176.667007,159.841995,161.375,6460254,71.833641
2008-01-31,163.332993,172.5,161.667007,164.925003,20851146,73.413887
2008-02-01,165.841995,176,164.257996,174.317001,7932636,77.594589
2008-02-04,175.057999,186.899994,171.332993,175.417007,11881128,78.084236
2008-02-05,171.533005,181.492004,171.533005,179.117004,7486458,79.731232
2008-02-06,175.949997,175.949997,170,171.367004,7879308,76.281441
2008-02-07,173,173,162.925003,164.332993,5884356,73.150352
2008-02-08,165,169,162.5,166.050003,4492296,73.914658
2008-02-11,166.667007,166.667007,150.832993,156.966995,8271120,69.871498
2008-02-12,155.5,161.432999,153.358002,156.207993,8533860,69.533615
2008-02-13,159.167007,161.667007,156.199997,157.358002,5384604,70.045532
2008-02-14,160,172.067001,160,170.850006,7867956,76.051323
2008-02-15,169.983002,175.824997,158.332993,172.082993,8111538,76.600143
2008-02-18,172.091995,173,167.175003,170.199997,3149484,75.761955
2008-02-19,171.867004,175.832993,167.5,168.557999,3490026,75.031044
2008-02-20,170.033005,170.033005,164.582993,167.292007,4215822,74.467514
2008-02-21,170,170.617004,164.199997,166.925003,7829850,74.304131
2008-02-22,166.632996,167.332993,164,166.442001,3530190,74.089119
2008-02-25,168.233002,170.832993,167.5,168.932999,5315874,75.197983
2008-02-26,169.983002,174.399994,169.667007,171.432999,8922264,76.310822
2008-02-27,173.332993,175.675003,172.042007,173.199997,7035870,77.097397
2008-02-28,172.5,175.167007,162.582993,173.582993,8565696,77.26786
2008-02-29,174.817001,174.817001,163.667007,169.524994,8850000,75.46151
2008-03-03,170.733002,170.733002,161.332993,163.225006,9619908,72.657135
2008-03-04,165,166.5,158.042007,158.942001,6247620,70.750633
2008-03-05,158.832993,166.832993,158.667007,165.225006,4942446,73.547417
2008-03-07,163.5,166.332993,155.167007,159.132996,12049050,70.835655
2008-03-10,156.667007,166.649994,153.591995,161.75,13274916,72.000565
2008-03-11,161.324997,169,160.167007,165.716995,14303514,73.766434
2008-03-12,168.332993,170.067001,166.667007,168.942001,7383672,75.201988
2008-03-13,166.832993,167.332993,160.875,164.417007,8100462,73.187759
2008-03-14,165.100006,168.332993,161.832993,167.050003,7627224,74.359787
2008-03-17,162.832993,165.667007,160,164.091995,6100410,73.043083
2008-03-18,160.033005,170.5,160.033005,164.175003,13956954,73.080009
2008-03-19,166.667007,170.300003,163.332993,165.716995,11423370,73.766434
2008-03-24,170,174,161.667007,166.466995,11887866,74.100281
2008-03-25,170,181.983002,168.332993,179.007996,9880020,79.682709
2008-03-26,179.350006,184.466995,175.207993,177.033005,8777832,78.803589
2008-03-27,175,183.367004,175,178.507996,19127622,79.460144
2008-03-28,177.266998,180.832993,171.167007,174.858002,12130422,77.835403
2008-03-31,177,181.649994,162.507996,163.425003,14573082,72.74617
2008-04-01,166.667007,170.832993,161.167007,168.033005,6352704,74.797363
2008-04-02,172.332993,174.800003,166.667007,168.783005,5245110,75.131195
2008-04-03,168.667007,176.132996,167.875,169.774994,8110980,75.572777
