"Date","PNB.NS.Open","PNB.NS.High","PNB.NS.Low","PNB.NS.Close","PNB.NS.Volume","PNB.NS.Adjusted"
2007-01-02,102.400002,102.559998,100.699997,102.32,907420,31.335365
2007-01-03,101.660004,104.199997,101.660004,103.120003,1602795,31.58036
2007-01-04,103.959999,104.690002,101.599998,102.169998,2054140,31.289419
2007-01-05,101.980003,102.959999,100.849998,102.309998,1224370,31.332304
2007-01-08,102.309998,102.879997,100.419998,102.160004,2439165,31.286366
2007-01-09,102,102.779999,98.669998,99.230003,3240810,30.389053
2007-01-10,102,102,96.809998,97.650002,2784385,29.905178
2007-01-11,97,99.199997,96,97.139999,4135215,29.748993
2007-01-12,98.970001,103.790001,98.400002,103.199997,3807215,31.604856
2007-01-15,105,106.599998,102.900002,103.849998,1685980,31.803917
2007-01-16,104.139999,105.18,102.870003,103.449997,2559445,31.681419
2007-01-17,104.080002,106.099998,103.370003,105.019997,2273795,32.162235
2007-01-18,107,108.959999,104.400002,105.080002,2904015,32.180611
2007-01-19,105.400002,105.739998,103.209999,103.709999,1193675,31.761044
2007-01-22,103.599998,106,103.099998,105.599998,2493060,32.339859
2007-01-23,105.410004,105.919998,100.599998,103.220001,3355020,31.610985
2007-01-24,102.599998,104.18,102.050003,102.419998,1425925,31.365982
2007-01-25,103,103.720001,101.620003,102.610001,2685900,31.42417
2007-01-29,102.610001,103.970001,100.839996,101.029999,1154440,30.940298
2007-01-31,101.029999,104.199997,98.900002,101.43,5348330,31.062796
2007-02-01,99.32,106.580002,99.32,105.650002,4102045,32.355171
2007-02-02,106.419998,106.989998,103.010002,103.480003,3482545,31.690613
2007-02-05,104.400002,105.860001,103.019997,104.370003,1384880,31.963171
2007-02-06,105.199997,105.989998,103.620003,104.110001,2020655,31.883549
2007-02-07,104.110001,105.199997,103,103.68,3197525,31.751858
2007-02-08,103.580002,105.099998,102.400002,103.279999,1712855,31.62936
2007-02-09,103.5,104.379997,100.300003,101.089996,2493575,30.958679
2007-02-12,102,102,97,98.300003,2262715,30.104246
2007-02-13,96,101,96,96.839996,2758895,29.657112
2007-02-14,94.629997,95.739998,86.459999,92.309998,4491465,29.487814
2007-02-15,93.599998,94.800003,92,93.169998,3256720,29.762533
2007-02-19,93.169998,94.800003,93,93.480003,2404675,29.861563
2007-02-20,93.900002,94.400002,92.480003,93.529999,1792670,29.877537
2007-02-21,94.199997,94.199997,92.07,93.300003,1379930,29.804062
2007-02-22,92.400002,94,88.199997,89.379997,5129710,28.551846
2007-02-23,92.800003,92.800003,86.400002,86.949997,2376115,27.775595
2007-02-26,87.400002,92.190002,87.400002,91.489998,1231160,29.22587
2007-02-27,91.970001,93.400002,88.050003,89.800003,2242860,28.686012
2007-02-28,86.800003,88.400002,81,84.800003,2457825,27.088799
2007-03-01,85.599998,89.959999,83,88.650002,2424980,28.318647
2007-03-02,92,92,84.599998,85.449997,2919180,27.296431
2007-03-05,76.07,84,76.07,82.529999,2651455,26.363661
2007-03-06,84,86.800003,83,85.459999,2089665,27.299625
2007-03-07,86.800003,87.599998,83,85.209999,3535090,27.219769
2007-03-08,86,88.379997,83.400002,87.480003,2266785,27.944904
2007-03-09,87.400002,88.379997,85.029999,86.129997,3346420,27.513655
2007-03-12,86.800003,87.379997,84.470001,86.519997,4493125,27.638235
2007-03-13,86.800003,88.059998,85.419998,87.839996,2397295,28.059902
2007-03-14,84,86.440002,84,85.690002,1683325,27.373098
2007-03-15,86,87.540001,83.419998,84.32,2706220,26.935463
