"Date","RBLBANK.NS.Open","RBLBANK.NS.High","RBLBANK.NS.Low","RBLBANK.NS.Close","RBLBANK.NS.Volume","RBLBANK.NS.Adjusted"
2016-08-31,274.200012,305.5,274.200012,299.399994,79264509,298.379883
2016-09-01,302.5,316.5,302,305.149994,14699482,304.110291
2016-09-02,306.5,309,298.549988,301.25,4762383,300.223572
2016-09-06,303,310.25,300.600006,307.75,5777669,306.701447
2016-09-07,308.850006,312.799988,302.399994,304,4147204,302.964203
2016-09-08,306.5,308,303.649994,305.5,1509509,304.459106
2016-09-09,303.649994,303.649994,298.100006,298.799988,1570381,297.781921
2016-09-12,290.899994,299.75,287.600006,296.950012,1779353,295.938263
2016-09-14,299.100006,303.299988,296,296.950012,1148592,295.938263
2016-09-15,298,302.75,295,299.350006,1288230,298.330078
2016-09-16,300.600006,304.5,299.450012,301.799988,1559076,300.771698
2016-09-19,303,303.899994,299.25,301.350006,732837,300.323242
2016-09-20,301.350006,301.5,296.299988,297.149994,493343,296.137543
2016-09-21,298,301.899994,297.350006,300,512999,298.977844
2016-09-22,302.25,304,300.700012,302.149994,1107243,301.120514
2016-09-23,303,307.950012,301.399994,303.299988,1735881,302.266602
2016-09-26,303,303,299,302.200012,573498,301.170349
2016-09-27,303,303.5,298,298.899994,399580,297.881592
2016-09-28,300.5,304.450012,295.549988,297.549988,800367,296.536194
2016-09-29,298.899994,302.5,281.549988,285.899994,1238800,284.925873
2016-09-30,287,293.799988,286.049988,291.200012,678758,290.207855
2016-10-03,298.5,299.899994,295.200012,297.600006,770999,296.586029
2016-10-04,299.100006,299.950012,296.5,297.549988,638685,296.536194
2016-10-05,299.799988,299.899994,295,295.649994,629557,294.64267
2016-10-06,299,307.5,296,304.299988,2018179,303.263184
2016-10-07,305,315.450012,305,309.25,2853699,308.19632
2016-10-10,311.899994,314.899994,308.649994,313.100006,870931,312.033203
2016-10-13,310,311.399994,303.799988,306.25,634699,305.206543
2016-10-14,307,321.299988,306.399994,314.700012,2723451,313.627777
2016-10-17,316,316.450012,306,307.799988,1042365,306.751251
2016-10-18,309.350006,312.399994,303,307.450012,1410353,306.402466
2016-10-19,311.950012,316,311.899994,313.399994,1951746,312.332184
