"Date","RELIANCE.NS.Open","RELIANCE.NS.High","RELIANCE.NS.Low","RELIANCE.NS.Close","RELIANCE.NS.Volume","RELIANCE.NS.Adjusted"
2007-01-02,401.882,405.286,400.4,320.225006,4599608,253.984497
2007-01-03,405.034,406.893,401.991,321.138,5958920,254.708588
2007-01-04,406.61,409.762,402.512,320.125,12089692,253.905136
2007-01-05,401.882,413.544,401.882,322.037994,12188504,255.422379
2007-01-08,407.871,407.871,399.234,319.212006,8765420,253.181015
2007-01-09,408.123,408.123,400.936,319.575012,10244984,253.468887
2007-01-10,401.882,406.894,398.446,318.287994,19252672,252.448105
2007-01-11,401.882,409.762,398.793,324.125,8912976,257.077667
2007-01-12,412.504,423.946,408.186,334.875,17916356,265.604004
2007-01-15,430.187,432.456,424.261,341.237,12869808,270.649933
2007-01-16,430.88,432.456,423.662,336.737,7174036,267.080811
2007-01-17,428.043,429.304,423.994,337.462006,6257024,267.655884
2007-01-18,427.098,436.459,425.207,341.850006,14127052,271.136139
2007-01-19,450.108,450.108,433.165,345.687988,25835268,274.180267
2007-01-22,436.554,439.69,432.158,343.462006,6270092,272.414703
2007-01-23,432.158,435.215,427.934,340.138,4855452,269.77829
2007-01-24,433.213,433.213,428.752,342.375,6731760,271.552521
2007-01-25,434.883,434.883,429.478,342.649994,10119916,271.77063
2007-01-29,431.826,439.359,430.328,345.575012,6765080,274.090607
2007-01-31,436.853,437.815,428.233,341.612,10800184,270.947357
2007-02-01,431.196,436.239,429.951,344.399994,3678316,273.158661
2007-02-02,436.144,439.296,431.212,343.763,6527552,272.653503
2007-02-05,434.978,438.445,432.456,346.837006,3851432,275.091522
2007-02-06,419.218,443.804,419.218,347.299988,7026060,275.458801
2007-02-07,440.652,441.219,435.371,348.725006,6108188,276.58902
2007-02-08,440.32,442.228,435.293,349.263,4008156,277.015717
2007-02-09,441.44,443.425,431.826,347.950012,6152992,275.974304
2007-02-12,437.184,437.184,426.53,339.737,5072716,269.460297
2007-02-13,427.413,436.554,423,341.5,5775008,270.858521
2007-02-14,430.298,437.09,423.079,344.263,5686484,273.049988
2007-02-15,435.766,445.6,435.766,351.737,8177976,278.977966
2007-02-19,444.434,450.738,444.434,355.187988,6251648,281.715088
2007-02-20,450.423,455.277,444.512,353.649994,13120828,280.49527
2007-02-21,438.445,449.162,438.445,351.687988,6109696,278.939117
2007-02-22,446.01,449.461,441.282,353.013,14879344,279.990051
2007-02-23,448.847,455.056,441.944,353.312012,15006460,280.227203
2007-02-26,447.586,450.675,432.614,351.638,28993464,278.899445
