"Date","RELINFRA.NS.Open","RELINFRA.NS.High","RELINFRA.NS.Low","RELINFRA.NS.Close","RELINFRA.NS.Volume","RELINFRA.NS.Adjusted"
2007-01-02,603.283,613.086,598.585,524,248032,451.705261
2007-01-03,611.287,615.986,608.445,525.799988,495247,453.256989
2007-01-04,620.046,645.161,610.185,530.099976,579106,456.963715
2007-01-05,615.406,619.466,603.863,524.450012,269647,452.09317
2007-01-08,609.025,609.025,598.817,522.549988,261597,450.455383
2007-01-09,612.158,612.158,595.685,515.450012,337313,444.334839
2007-01-10,603.225,603.225,582.344,504.600006,385912,434.981842
2007-01-11,585.824,598.005,582.344,512.849976,240329,442.093628
2007-01-12,595.105,612.506,595.105,524.950012,703041,452.524231
2007-01-15,596.671,626.948,596.671,533.549988,743275,459.937714
2007-01-16,622.946,631.646,614.826,532.450012,638401,458.989471
2007-01-17,617.146,628.63,614.884,535.900024,309559,461.96347
2007-01-18,622.946,628.63,609.025,528.549988,436262,455.627472
2007-01-19,620.626,620.626,592.785,514.950012,602838,443.9039
2007-01-22,603.225,604.617,584.664,506.850006,817897,436.921448
2007-01-23,589.305,595.627,581.184,503.5,568124,434.0336
2007-01-24,588.725,592.785,585.825,505.700012,634500,435.930054
2007-01-25,588.145,588.145,578.864,502.450012,1170477,433.128448
2007-01-29,585.825,591.567,582.46,505.649994,418699,435.886902
2007-01-31,591.625,606.357,587.507,513.5,1170418,442.6539
2007-02-01,602.529,612.448,598.875,524.549988,703448,452.179413
2007-02-02,610.185,623.062,609.025,533.650024,1570778,460.023956
2007-02-05,620.626,642.261,620.626,549.450012,1370895,473.644012
2007-02-06,642.667,658.153,631.066,560.5,1281252,483.169495
2007-02-07,651.947,655.427,638.027,559.549988,640460,482.350586
2007-02-08,649.627,676.192,645.161,565.049988,1467441,487.091705
2007-02-09,660.531,672.712,641.507,555.349976,590878,478.730072
2007-02-12,649.627,649.627,607.865,534.849976,447070,461.058319
2007-02-13,620.626,646.147,610.185,536.900024,457401,462.825562
2007-02-14,626.426,635.707,615.406,546.75,413519,471.316498
2007-02-15,639.187,648.467,620.684,542.599976,456662,467.739014
2007-02-19,633.386,634.431,620.336,535.799988,148655,461.877258
2007-02-20,625.266,626.078,600.905,520.700012,139932,448.860626
2007-02-21,604.037,614.826,595.685,521.799988,572961,449.808807
2007-02-22,611.694,613.318,591.625,512.650024,992417,441.921234
2007-02-23,598.585,603.051,581.184,504.200012,456125,434.637054
2007-02-26,584.896,591.625,577.82,505.899994,479378,436.102509
2007-02-27,592.205,592.205,580.256,503.200012,460020,433.775024
2007-02-28,582.344,582.344,549.863,479.649994,1026353,413.474152
2007-03-01,566.104,566.104,537.16,480.899994,579568,414.551605
2007-03-02,546.731,563.783,546.383,475.5,685785,409.896729
2007-03-05,542.381,556.765,519.934,469.899994,859596,405.069305
2007-03-06,556.127,561.927,547.543,475,892003,409.465637
2007-03-07,555.663,559.607,537.102,478.25,752373,412.267273
2007-03-08,554.793,570.106,551.139,489.200012,280400,421.706512
2007-03-09,573.064,573.064,551.023,480.549988,228911,414.249969
2007-03-12,552.183,561.406,545.223,473.25,440706,407.957062
2007-03-13,552.415,553.285,537.624,466.149994,441496,401.83667
2007-03-14,537.102,537.102,516.222,458.850006,502299,395.543854
2007-03-15,545.223,568.308,533.796,462.200012,618377,398.431641
2007-03-16,540.293,541.511,522.022,456.049988,289322,393.130157
2007-03-19,533.622,537.102,527.822,457.600006,145001,394.466248
2007-03-20,538.262,559.491,533.854,477.149994,569742,411.319061
2007-03-21,556.823,575.616,555.431,491.450012,826840,423.646118
2007-03-22,578.632,578.632,569.004,492,457511,424.120239
2007-03-23,574.224,574.224,560.419,485.25,200272,418.301483
2007-03-26,563.32,567.844,533.622,475.850006,345318,410.198395
2007-03-28,527.822,562.507,527.822,482.049988,502303,415.54303
2007-03-29,552.183,569.584,552.183,485.799988,489168,418.775574
2007-03-30,563.784,580.024,563.784,494.200012,312835,426.016663
2007-04-02,561.463,568.192,546.499,475.899994,168995,410.241455
2007-04-03,554.503,563.494,551.023,481.799988,162501,415.327423
2007-04-04,575.384,575.384,560.825,488.549988,105954,421.146179
2007-04-05,567.148,584.374,562.797,500.549988,354695,431.490601
2007-04-09,586.288,602.993,585.824,514.549988,589700,443.559082
2007-04-10,603.689,603.689,588.783,511,700414,440.498871
2007-04-11,592.785,600.905,587.216,511.100006,378685,440.585083
2007-04-12,591.625,596.265,582.808,504,393189,434.4646
2007-04-13,586.869,589.305,578.864,502.850006,412188,433.473267
2007-04-16,585.825,594.989,582.518,504.649994,966228,435.024902
2007-04-17,588.609,599.397,586.056,506.5,463486,436.61969
2007-04-18,587.565,598.585,587.565,510.149994,279523,439.766113
2007-04-19,589.305,591.161,581.184,505.799988,171192,436.016266
2007-04-20,593.945,598.179,589.421,511.350006,275825,440.800537
2007-04-23,596.555,611.926,593.945,524.25,1051861,451.920807
2007-04-24,609.605,619.524,594.235,524.700012,580241,452.308685
2007-04-25,620.626,620.626,603.457,524.549988,1250966,452.179413
2007-04-26,607.865,618.306,593.075,517.25,1230033,445.886505
