"Date","RESTILE.BO.Open","RESTILE.BO.High","RESTILE.BO.Low","RESTILE.BO.Close","RESTILE.BO.Volume","RESTILE.BO.Adjusted"
2007-01-02,10,10.15,9.32,9.9,540,9.9
2007-01-03,10,10,10,10,1500,10
2007-01-04,9.52,10.4,9.52,9.76,1164,9.76
2007-01-05,10.19,10.24,10.19,10.23,991,10.23
2007-01-08,10.49,10.74,10.49,10.74,1065,10.74
2007-01-09,10.22,11.2,10.22,10.83,3200,10.83
2007-01-10,10.31,10.99,10.29,10.89,965,10.89
2007-01-11,10.99,11,10.44,10.44,152,10.44
2007-01-12,10.8,10.96,10.75,10.96,2300,10.96
2007-01-15,10.43,11.35,10.43,11.34,732,11.34
2007-01-16,11,11.35,10.78,10.78,680,10.78
2007-01-17,11.3,11.3,10.35,10.38,1149,10.38
2007-01-18,9.91,10.88,9.91,10.01,1200,10.01
2007-01-19,9.6,9.67,9.6,9.67,280,9.67
2007-01-22,9.99,10.15,9.3,9.98,3680,9.98
2007-01-23,9.81,10,9.8,9.88,540,9.88
2007-01-24,9.95,10.37,9.4,9.55,6590,9.55
2007-01-25,9.4,10.02,9.4,10.01,2216,10.01
2007-01-29,9.85,10.51,9.85,10.11,2900,10.11
2007-01-31,10.61,10.61,10.61,10.61,242,10.61
2007-02-01,11.14,11.14,11.14,11.14,335,11.14
2007-02-02,11.69,11.69,11.69,11.69,1700,11.69
2007-02-05,12.27,12.27,12.27,12.27,3300,12.27
2007-02-06,12.88,12.88,12.88,12.88,1170,12.88
2007-02-07,13.52,13.52,13.52,13.52,1790,13.52
2007-02-08,14.19,14.19,14.19,14.19,1695,14.19
2007-02-09,14.89,14.89,14.89,14.89,12700,14.89
2007-02-12,15.63,15.63,14.15,14.95,10183,14.95
2007-02-13,15.6,15.69,14.81,15.48,8202,15.48
2007-02-14,15,16.25,15,15.35,5500,15.35
2007-02-15,16.110001,16.110001,15.21,16.110001,4600,16.110001
2007-02-19,16.91,16.91,15.6,16.9,9966,16.9
2007-02-20,17.74,17.74,17.74,17.74,1392,17.74
2007-02-21,18.620001,18.620001,18.620001,18.620001,1500,18.620001
2007-02-22,19.549999,19.549999,19.549999,19.549999,9000,19.549999
2007-02-23,20.52,20.52,18.58,18.58,37100,18.58
2007-02-26,17.66,19,17.66,17.73,5527,17.73
2007-02-27,16.9,18.610001,16.9,18.549999,3575,18.549999
2007-02-28,17.65,18.9,17.65,18.629999,8835,18.629999
2007-03-01,18.35,19.450001,17.700001,17.700001,1400,17.700001
2007-03-02,17.1,18.549999,16.85,16.950001,2741,16.950001
2007-03-05,16.9,16.9,16.15,16.15,1000,16.15
2007-03-06,16.5,16.5,15.35,15.35,230,15.35
2007-03-07,15,15,14.6,14.6,1100,14.6
2007-03-08,13.95,14.75,13.9,14.75,1100,14.75
2007-03-09,14.75,14.75,14.75,14.75,320,14.75
2007-03-12,15.45,15.45,14.3,15.3,361,15.3
2007-03-13,15.95,16.049999,14.55,16.049999,4100,16.049999
2007-03-14,16,16,15.25,15.25,1400,15.25
2007-03-15,14.5,14.5,14.5,14.5,1500,14.5
2007-03-16,15.15,15.2,13.8,14,1270,14
2007-03-19,14.7,14.7,14.45,14.45,200,14.45
2007-03-20,14,14,13.75,13.75,700,13.75
2007-03-21,13.2,13.95,13.1,13.1,1500,13.1
2007-03-22,12.65,13.75,12.65,13.75,4900,13.75
2007-03-23,14.4,14.4,13.1,13.25,370,13.25
2007-03-26,12.7,13.9,12.7,13.3,1326,13.3
2007-03-28,12.65,13.95,12.65,12.7,1486,12.7
2007-03-29,12.1,12.65,12.1,12.65,1000,12.65
2007-03-30,12.3,13.2,12.3,13.2,500,13.2
2007-04-02,13.2,13.2,13.2,13.2,400,13.2
2007-04-03,13,13.86,12.55,13.8,7000,13.8
2007-04-04,14.49,14.49,13.9,13.9,400,13.9
2007-04-05,13.25,13.25,13.25,13.25,20,13.25
2007-04-09,12.6,12.6,12.6,12.6,20,12.6
2007-04-10,12.1,13.23,12.1,13.23,690,13.23
2007-04-11,13.5,13.5,13,13.5,380,13.5
2007-04-12,14.17,14.17,12.9,12.9,31,12.9
2007-04-13,12.3,12.35,12.3,12.35,255,12.35
2007-04-16,12.41,12.46,12.4,12.4,1600,12.4
2007-04-17,12.06,12.25,12.05,12.25,140,12.25
2007-04-18,12.11,12.86,12.11,12.86,240,12.86
2007-04-19,12.23,13.5,12.23,13.4,300,13.4
2007-04-20,14,14.07,13.01,14,1484,14
2007-04-23,14.7,14.7,13.32,13.32,300,13.32
2007-04-24,13,13.98,13,13.98,8800,13.98
2007-04-25,14.66,14.67,14.66,14.66,800,14.66
2007-04-26,14.7,15.39,14.7,15.05,890,15.05
2007-04-27,15.75,15.75,14.3,14.83,2395,14.83
2007-04-30,14.11,15.57,14.1,15.08,1480,15.08
2007-05-03,15.1,15.8,14.9,15.45,2436,15.45
2007-05-04,15,16.200001,15,15.1,1600,15.1
2007-05-07,15.1,15.1,15.1,15.1,680,15.1
2007-05-08,15.1,15.1,14.35,14.95,1100,14.95
2007-05-09,14.9,15,14.25,15,2600,15
2007-05-10,15,15,15,15,60,15
2007-05-11,15.75,15.75,14.3,14.45,985,14.45
2007-05-14,15,15.1,15,15,960,15
2007-05-15,15,15.7,15,15.2,1500,15.2
2007-05-16,15.6,15.95,15.6,15.7,700,15.7
2007-05-17,14.95,15.6,14.95,15.6,800,15.6
2007-05-18,15.5,16,15.5,15.75,1400,15.75
2007-05-21,15,15.6,15,15.6,1380,15.6
2007-05-22,16,16.049999,15.5,15.75,1200,15.75
2007-05-23,15.5,16.200001,15.5,16.200001,670,16.200001
2007-05-24,15.8,15.8,15.75,15.75,225,15.75
2007-05-25,15.75,15.75,15.75,15.75,400,15.75
2007-05-28,15.1,15.8,15.1,15.8,2800,15.8
2007-05-29,15.5,16.200001,15.5,15.95,1685,15.95
2007-05-30,15.2,15.8,15.2,15.5,2300,15.5
2007-05-31,14.8,15.95,14.8,15.8,2684,15.8
2007-06-01,15.75,16.35,15.75,16,1037,16
2007-06-04,15.75,15.75,15.75,15.75,300,15.75
2007-06-05,15.75,16.4,15.75,15.75,780,15.75
2007-06-06,15.75,15.75,15.75,15.75,600,15.75
2007-06-07,15.75,15.75,15.75,15.75,1000,15.75
2007-06-08,15,15.05,15,15.05,60,15.05
2007-06-11,15.8,15.8,15.45,15.75,1651,15.75
2007-06-12,15.5,15.5,15.1,15.1,336,15.1
2007-06-13,14.45,14.45,14.45,14.45,25,14.45
2007-06-14,14.9,15.15,14.9,15.15,1300,15.15
2007-06-15,15.9,15.9,15.1,15.85,3158,15.85
2007-06-18,15.1,16.6,15.1,15.6,2400,15.6
2007-06-19,15.05,15.55,14.9,15.5,447,15.5
2007-06-20,14.95,15.4,14.8,14.85,900,14.85
2007-06-21,14.8,15,14.8,14.95,161,14.95
2007-06-22,14.35,14.95,14.35,14.9,454,14.9
2007-06-25,14.75,15.45,14.4,14.95,400,14.95
2007-06-26,15.6,15.6,15.35,15.45,540,15.45
2007-06-27,15.5,15.95,15.1,15.45,1403,15.45
2007-06-28,14.9,16.200001,14.9,15.5,2400,15.5
2007-06-29,15.05,16,15.05,15.5,700,15.5
2007-07-02,15.1,15.5,15.1,15.5,1500,15.5
2007-07-03,15.85,15.9,15.5,15.7,1100,15.7
2007-07-04,15.05,16.35,15,15.1,2616,15.1
2007-07-05,15.25,15.65,14.4,14.45,1692,14.45
2007-07-06,15.2,15.85,14.5,15.6,2876,15.6
2007-07-09,15,15,14.8,14.8,500,14.8
2007-07-10,15.6,15.95,13.9,14.25,4000,14.25
2007-07-11,15,15.6,14.25,15.3,1000,15.3
2007-07-12,15.3,15.75,14.15,14.55,763,14.55
2007-07-13,15,15.45,15,15.05,1189,15.05
