"Date","ASHOKLEY.NS.Open","ASHOKLEY.NS.High","ASHOKLEY.NS.Low","ASHOKLEY.NS.Close","ASHOKLEY.NS.Volume","ASHOKLEY.NS.Adjusted"
2007-01-02,22.775,23.450001,22.775,23.15,11226378,14.264865
2007-01-03,23.25,23.4,22.775,23.15,4827314,14.264865
2007-01-04,23.424999,23.424999,22.674999,23.025,6149322,14.187841
2007-01-05,23.1,23.6,22.325001,22.625,18205598,13.941365
2007-01-08,22.725,22.725,21.575001,22.1,10649946,13.617864
2007-01-09,22.25,22.375,21.799999,22.025,7357560,13.571648
2007-01-10,22,22.275,21.549999,22.1,6194040,13.617864
2007-01-11,22.15,23.200001,21.950001,22.924999,6493108,14.126221
2007-01-12,23.200001,23.625,22.875,23.174999,9130238,14.28027
2007-01-15,23.174999,23.424999,22.775,22.85,3841602,14.080009
2007-01-16,22.5,23.049999,22.5,22.775,3177402,14.033792
2007-01-17,22.875,23.475,22.75,23.299999,6175228,14.357293
2007-01-18,23.5,24.275,23.299999,23.799999,15071486,14.66539
2007-01-19,23.975,24.125,23.25,23.549999,11089974,14.511342
2007-01-22,23.549999,23.975,23.325001,23.875,7736636,14.711603
2007-01-23,23.950001,23.950001,23.5,23.549999,5393802,14.511342
2007-01-24,23.5,23.825001,22.9,23.025,8481616,14.187841
2007-01-25,23.025,24,23.025,23.825001,7660648,14.680796
2007-01-29,23.825001,24.225,23.5,23.875,4160730,14.711603
2007-01-31,23.875,24.375,23.65,24.200001,9681632,14.911868
2007-02-01,24.4,24.9,24.049999,24.549999,11175920,15.127535
2007-02-02,24.85,24.875,24.125,24.225,6450052,14.927273
2007-02-05,24.35,24.674999,24,24.5,4689616,15.096725
2007-02-06,24.5,25.075001,24.1,24.9,10957588,15.343203
2007-02-07,25.125,25.35,24.275,24.6,7310030,15.158343
2007-02-08,24.85,24.85,24.225,24.35,5002542,15.004297
2007-02-09,24.35,24.5,23.475,23.799999,4784798,14.66539
2007-02-12,23.799999,23.799999,22.375,22.525,11596280,13.879744
2007-02-13,22.6,23,21.75,21.950001,9527874,13.525434
2007-02-14,21.75,22.1,21.049999,21.875,8013752,13.479219
2007-02-15,22.1,23.1,22.049999,23,4646736,14.172436
2007-02-19,23,23.299999,22.725,23,6556524,14.172436
2007-02-20,22.975,23,22.225,22.299999,4566906,13.741101
2007-02-21,22.450001,22.450001,21.475,21.549999,18230516,13.278955
2007-02-22,21.575001,22.5,21.125,21.5,15948522,13.248147
2007-02-23,21.549999,21.950001,20.475,20.674999,8805780,12.739787
2007-02-26,21,21.25,20.450001,21.049999,9092910,12.970859
2007-02-27,21.5,21.5,20.825001,21.1,3894270,13.00167
2007-02-28,20.799999,21.299999,19.299999,19.9,18399662,12.262237
2007-03-01,20.125,20.25,19.75,20.174999,8824188,12.431689
2007-03-02,20,20.775,19.775,20.075001,7290710,12.370071
2007-03-05,19.950001,19.950001,18.075001,18.275,8667966,11.260924
2007-03-06,18.65,19.275,18,19.1,22894382,11.769283
2007-03-07,19.5,19.9,18.775,18.975,18660098,11.69226
2007-03-08,19.450001,19.924999,18.6,19.75,9184168,12.169809
2007-03-09,19.75,20.174999,19.424999,20.025,7764476,12.339262
2007-03-12,20.15,20.950001,19.75,20.65,5957110,12.724382
2007-03-13,20.65,20.75,20.35,20.5,6196338,12.631954
2007-03-14,19.549999,20,17.5,19.549999,9899256,12.04657
2007-03-15,19.799999,20.15,19.525,19.6,3434220,12.077381
2007-03-16,19.75,19.799999,19.299999,19.549999,4342692,12.04657
2007-03-19,19.549999,19.85,19.5,19.674999,3030430,12.123595
2007-03-20,19.9,20,19.725,19.85,2191038,12.231429
2007-03-21,19.975,20.5,19.775,20.424999,6309964,12.58574
2007-03-22,20.5,20.950001,20.5,20.725,4225458,12.770598
2007-03-23,20.725,20.75,20.125,20.475,4917864,12.616549
2007-03-26,20.549999,20.674999,20.299999,20.475,3587568,12.616549
2007-03-28,20.475,20.475,19.275,19.4,9808102,12.899133
2007-03-29,19.4,19.549999,18.424999,18.65,20887254,12.400456
2007-03-30,18.9,19.424999,18.575001,19.200001,14954788,12.766152
2007-04-02,17,19,17,18.125,5688826,12.051381
2007-04-03,18.25,18.450001,17.85,18.025,9124758,11.984889
2007-04-04,18.4,18.4,17.575001,17.725,14167670,11.78542
2007-04-05,17.85,18.125,17.575001,17.85,6161676,11.868533
2007-04-09,17.85,18.35,17.85,18.299999,5617716,12.167737
2007-04-10,18.299999,18.625,18.200001,18.525,5076454,12.317344
2007-04-11,18.700001,18.775,18.049999,18.424999,8190362,12.250851
2007-04-12,18.424999,18.725,17.875,18.575001,3829530,12.350589
2007-04-13,18.625,18.924999,18.275,18.875,4855910,12.550058
2007-04-16,19.174999,19.174999,18.9,19,6282006,12.633172
2007-04-17,19.200001,19.225,18.799999,18.875,5740354,12.550058
2007-04-18,19,19.174999,18.674999,18.85,4264910,12.533436
2007-04-19,17.825001,18.85,17.825001,18.674999,5660102,12.417076
2007-04-20,18.6,18.950001,18.6,18.75,4201508,12.466947
2007-04-23,18.9,19,18.5,18.725,12091100,12.450323
2007-04-24,18.799999,19.15,18.450001,18.875,8519656,12.550058
2007-04-25,19.15,19.950001,18.525,19.875,10499866,13.214963
2007-04-26,20.049999,20.25,19.275,19.700001,9406250,13.098604
2007-04-27,19.9,19.9,19.049999,19.275,2563612,12.816019
2007-04-30,19.275,19.6,18.625,19.475,3228502,12.949001
2007-05-03,19.475,20.049999,19.475,19.85,5976456,13.19834
2007-05-04,20.025,20.25,19.549999,19.700001,8004212,13.098604
2007-05-07,20,20.200001,19.325001,19.4,8386280,12.899133
2007-05-08,19.4,19.6,19.025,19.075001,3437568,12.68304
2007-05-09,19.15,19.15,18.5,18.725,10353684,12.450323
2007-05-10,18.9,18.924999,18.549999,18.625,2823008,12.383832
2007-05-11,18.5,18.775,18.049999,18.625,11579902,12.383832
2007-05-14,18.875,19.200001,18.65,18.75,5049856,12.466947
2007-05-15,18.75,19,18.65,18.75,3333350,12.466947
2007-05-16,18.75,18.975,18.700001,18.875,3196604,12.550058
2007-05-17,18.9,19.25,18.549999,18.674999,11912244,12.417076
2007-05-18,18.875,18.875,18.65,18.65,4070940,12.400456
2007-05-21,18.9,19.049999,18.549999,18.575001,11192364,12.350589
2007-05-22,18.275,18.975,18.125,18.85,11367148,12.533436
2007-05-23,18.9,18.950001,18.625,18.65,4886904,12.400456
2007-05-24,18.65,18.825001,18.450001,18.65,7080500,12.400456
2007-05-25,18.6,18.75,17.725,18.700001,2789746,12.433702
2007-05-28,18.799999,18.924999,18.65,18.65,2902456,12.400456
2007-05-29,18.700001,18.775,18.5,18.65,2491052,12.400456
2007-05-30,18.700001,19.049999,18.5,18.700001,5310002,12.433702
2007-05-31,18.975,18.975,18.299999,18.6,8365824,12.36721
2007-06-01,18.775,19.25,18.6,19.174999,6961764,12.749529
2007-06-04,19.275,19.4,18.9,19.025,10669586,12.649793
2007-06-05,19.200001,19.5,18.950001,19.1,8842912,12.699662
2007-06-06,18.625,19.225,18.625,18.775,18534930,12.483567
2007-06-07,18,18.85,18,18.35,13214664,12.200985
2007-06-08,18.25,18.25,17.775,17.85,5300434,11.868533
2007-06-11,18,18.25,17.625,18,5762190,11.968266
2007-06-12,18,18.049999,17.700001,17.875,6073352,11.885155
2007-06-13,18,18,17.75,17.85,3451652,11.868533
2007-06-14,18.049999,18.700001,17.950001,18.5,7737584,12.300721
2007-06-15,18.725,18.725,18.200001,18.275,4256232,12.151116
2007-06-18,18.475,19,18.275,18.575001,8989520,12.350589
2007-06-19,18.700001,18.700001,18.375,18.5,1893510,12.300721
2007-06-20,18.700001,18.700001,18.5,18.525,1570094,12.317344
2007-06-21,18.625,18.85,18.525,18.75,6774616,12.466947
2007-06-22,18.674999,19.299999,18.674999,19.174999,12232598,12.749529
2007-06-25,19.475,19.475,18.775,19.225,3441006,12.782775
2007-06-26,19.275,19.275,18.950001,19.125,2231854,12.716284
2007-06-27,19.1,19.200001,18.775,19.049999,4144196,12.666417
2007-06-28,19,19.1,18.5,18.65,8559956,12.400456
2007-06-29,18.75,19,18.625,18.924999,2381418,12.583303
2007-07-02,19.174999,19.174999,18.799999,18.85,5998108,12.533436
2007-07-03,19,19.25,18.85,18.975,6861100,12.616549
2007-07-04,19.25,19.450001,18.924999,19,3495886,12.633172
2007-07-05,19,19.275,18.674999,19.174999,5915194,12.749529
2007-07-06,18.924999,19.4,18.924999,19.15,4556990,12.732907
2007-07-09,19.35,19.35,18.975,19.15,1890594,12.732907
2007-07-10,19.25,19.625,18.799999,19.25,5819864,12.799397
2007-07-11,18.9,19.6,18.825001,19.4,3953324,12.899133
2007-07-12,19.450001,20.1,19.25,20,6965762,13.298074
2007-07-13,20.049999,20.450001,19.5,19.549999,3329740,12.998868
2007-07-16,19.625,20.200001,19.5,19.775,4485604,13.148472
2007-07-17,19.950001,20.15,19.625,19.674999,2093216,13.081981
2007-07-18,19.5,19.799999,19.475,19.525,3689616,12.982246
2007-07-19,19.5,19.75,19.325001,19.424999,3863974,12.915755
2007-07-20,19.75,20.075001,19.25,19.375,9047688,12.882513
2007-07-23,19.5,19.75,19.075001,19.65,4740856,13.065358
2007-07-24,19.575001,19.725,19.15,19.25,1182012,12.799397
2007-07-25,19.575001,20.200001,18.75,19.4,4159486,12.899133
2007-07-26,19.475,19.875,19,19.625,4949396,13.048736
2007-07-27,19.450001,19.450001,18.5,18.674999,3731886,12.417076
2007-07-30,18.525,18.700001,18.375,18.450001,10307142,12.267474
2007-07-31,18.75,18.75,18.475,18.6,9882260,12.36721
2007-08-01,18.575001,18.575001,17.9,18.025,2918994,11.984889
2007-08-02,18.1,18.225,17.9,17.975,2121382,11.951646
2007-08-03,18.15,18.975,18.075001,18.125,1225640,12.051381
2007-08-06,18,18.049999,17.625,18,3228404,11.968266
2007-08-07,18.1,18.200001,17.825001,17.9,1264766,11.901777
2007-08-08,18.225,18.225,18,18.15,1862918,12.068003
2007-08-09,18.35,18.475,18.049999,18.125,2001314,12.051381
2007-08-10,17.9,18.424999,17.5,18.325001,3298320,12.184361
