"Date","BANKINDIA.NS.Open","BANKINDIA.NS.High","BANKINDIA.NS.Low","BANKINDIA.NS.Close","BANKINDIA.NS.Volume","BANKINDIA.NS.Adjusted"
2007-01-02,208,211.25,205,208.149994,1340476,170.999222
2007-01-03,209.699997,210.399994,206.050003,207.649994,837727,170.58847
2007-01-04,208.149994,214.100006,208.149994,209.899994,1974841,172.436859
2007-01-05,208.949997,211.199997,202.550003,204.199997,1359810,167.754242
2007-01-08,204,205,198.199997,199.699997,992231,164.057404
2007-01-09,201.5,203.800003,190,191.300003,2993774,157.156616
2007-01-10,192,194.399994,182,190.199997,1956735,156.252975
2007-01-11,191,194.399994,188.600006,192.149994,1825681,157.854919
2007-01-12,220,220,194,206.550003,4639939,169.684799
2007-01-15,211.699997,211.699997,203,203.649994,766076,167.302414
2007-01-16,203.600006,206,201,201.899994,1317376,165.864731
2007-01-17,202,205.300003,201,202.550003,891315,166.398712
2007-01-18,203,210,202.550003,205.75,2178416,169.027573
2007-01-19,208,208.899994,201.699997,203.5,1031740,167.179169
2007-01-22,204.699997,209,200.5,204.350006,1864180,167.877472
2007-01-23,205,205.699997,195.550003,196.550003,2313428,161.469589
2007-01-24,198,199.25,193.649994,196.449997,1268073,161.387436
2007-01-25,197,199,194.5,195.399994,2223456,160.524841
2007-01-29,197,197,193.25,194.199997,758616,159.539032
2007-01-31,195.050003,197.600006,186,191.100006,3737705,156.992325
2007-02-01,192,198.649994,190,196.149994,3531103,161.141006
2007-02-02,198,198,192.050003,194.149994,2377297,159.49794
2007-02-05,225,225,191.699997,194.399994,1179367,159.703339
2007-02-06,196,196.5,191.25,192.050003,1359578,157.772766
2007-02-07,191.5,198.5,190.100006,192.399994,2494015,158.060287
2007-02-08,191.25,197,191.25,192.300003,442394,157.978165
2007-02-09,194,194,185.25,187.350006,1054194,153.911636
2007-02-12,186,187.899994,176,178.75,1466240,146.846573
2007-02-13,175,183.75,174,177.25,2068475,145.614288
2007-02-14,172,172,162.199997,169.100006,2841185,138.9189
2007-02-15,174,180,172,178.300003,1624594,146.476883
2007-02-19,180,181,177.800003,178.25,940556,146.435806
2007-02-20,180.5,180.5,175,175.800003,803360,144.42308
2007-02-21,175,175,171.600006,172.600006,580093,141.794235
2007-02-22,172,173.699997,161.300003,163.899994,1907710,134.647003
2007-02-23,165,167.5,155,157.449997,1062821,129.34819
2007-02-26,160,168.300003,155.149994,163.75,941184,134.523804
2007-02-27,165,170,162.100006,167.550003,2407158,137.645569
2007-02-28,160,169,151.25,163.75,1357065,134.523804
2007-03-01,164,166.800003,161.199997,165.050003,1444947,135.591751
2007-03-02,166,168.399994,162.149994,163.050003,1480401,133.948715
2007-03-05,156.100006,164,152.199997,160.149994,1291001,131.566315
2007-03-06,164,168,150.25,153.199997,1265876,125.856743
2007-03-07,156,157.800003,144.300003,146.600006,1734690,120.434731
2007-03-08,149.5,160.199997,142.100006,157.75,2088895,129.59465
2007-03-09,160,166.5,149.199997,152.800003,3454468,125.528137
2007-03-12,154,155.199997,146,148.949997,2071045,122.365288
2007-03-13,150.5,151,145.5,148.449997,1130158,121.954552
2007-03-14,141.5,145.100006,138.699997,140,1177613,115.012688
2007-03-15,140,143.800003,135.100006,137.149994,2878803,112.671364
2007-03-16,138,139.899994,131.75,137.850006,3672003,113.246429
2007-03-19,139,144.899994,139,143,2200510,117.477272
2007-03-20,144.800003,155,144.800003,151.949997,2999422,124.829865
2007-03-21,153.949997,158,152.300003,156.550003,2115724,128.608856
2007-03-22,157.5,181.25,157.5,176.5,7210170,144.998138
2007-03-23,175.800003,178,171.199997,173.800003,5292403,142.780029
2007-03-26,174,177.300003,170,171.199997,1865324,140.644089
2007-03-28,168,175,166.5,171.75,1534484,141.095917
2007-03-29,178,178,165.100006,166.350006,3667419,136.659714
2007-03-30,168.399994,170.600006,166.199997,167.800003,1337259,137.850937
2007-04-02,150.199997,160,145,154.25,1881394,126.719337
2007-04-03,154,165.5,151,162.75,2886887,133.702255
2007-04-04,164,165.899994,155.5,157.899994,2413684,129.717865
2007-04-05,151.050003,164,151.050003,161.699997,2947887,132.839661
2007-04-09,161.149994,169.5,161.149994,164.949997,2190053,135.509583
2007-04-10,165,173.399994,163.850006,172.199997,2962868,141.465622
2007-04-11,172,175,165.100006,168.25,1060807,138.220612
2007-04-12,165,174.600006,165,172.800003,1948519,141.958527
2007-04-13,174,185.800003,172,180.25,4382971,148.078827
2007-04-16,181,188.25,181,185.399994,2091065,152.309662
2007-04-17,184.5,193,181.199997,183.25,4652642,150.543381
