"Date","DML.BO.Open","DML.BO.High","DML.BO.Low","DML.BO.Close","DML.BO.Volume","DML.BO.Adjusted"
2017-12-26,13,13,10.43,12.25,170000,12.25
2017-12-27,13,13,12.11,12.9,250000,12.9
2017-12-28,13,13,12,12.06,4e+05,12.06
2017-12-29,12.98,12.98,12.25,12.25,40000,12.25
2018-01-01,12.85,12.85,12.7,12.7,20000,12.7
2018-01-02,12.75,12.75,12.5,12.5,20000,12.5
2018-01-03,12.75,12.75,12.25,12.25,40000,12.25
2018-01-04,12.75,12.75,12.5,12.5,30000,12.5
2018-01-05,12.5,12.5,12.5,12.5,0,12.5
2018-01-08,12.8,12.8,12.75,12.75,20000,12.75
2018-01-09,12.75,12.75,12.75,12.75,10000,12.75
2018-01-10,12.75,12.75,12.75,12.75,0,12.75
2018-01-11,12.25,12.25,12.25,12.25,10000,12.25
2018-01-12,12.25,12.25,12.25,12.25,0,12.25
2018-01-15,12.25,12.25,12.25,12.25,30000,12.25
2018-01-16,12.25,12.25,12.25,12.25,0,12.25
2018-01-17,12.25,12.25,12.25,12.25,10000,12.25
2018-01-18,12.25,12.25,12.25,12.25,0,12.25
2018-01-19,12.25,12.25,12.25,12.25,10000,12.25
2018-01-22,12.9,12.9,12.9,12.9,10000,12.9
2018-01-23,12.9,12.9,12.9,12.9,0,12.9
2018-01-24,15,15.45,12.5,12.5,50000,12.5
2018-01-25,12.5,12.5,12.5,12.5,0,12.5
2018-01-29,12.5,12.5,12.5,12.5,0,12.5
2018-01-30,12.5,12.5,12.5,12.5,0,12.5
