"Date","IDBI.NS.Open","IDBI.NS.High","IDBI.NS.Low","IDBI.NS.Close","IDBI.NS.Volume","IDBI.NS.Adjusted"
2007-01-02,77.099998,77.099998,76,76.150002,414626,58.979015
2007-01-03,77,78.5,76.300003,77.849998,1324174,60.2957
2007-01-04,78,79.25,77.099998,78.349998,1051592,60.682949
2007-01-05,77,78.349998,76,76.949997,446986,59.598633
2007-01-08,76.25,77.400002,76,76.800003,574507,59.482464
2007-01-09,78,78.199997,75,75.25,552254,58.281971
2007-01-10,76,79.050003,74.25,77.400002,2626159,59.947166
2007-01-11,79,88.699997,77.5,86.5,10405836,66.995201
2007-01-12,87.800003,91,85.5,86.150002,7641135,66.724129
2007-01-15,87,91,86.400002,89.599998,10386707,69.396202
2007-01-16,90,95.699997,87.099998,93.5,14675835,72.416801
2007-01-17,93.25,96.75,93.25,95.199997,8384206,73.733459
2007-01-18,96,101,95.300003,97.650002,15717400,75.63102
2007-01-19,98,99.900002,96.550003,97.800003,8601496,75.747192
2007-01-22,98.949997,99.300003,93.349998,93.900002,6231980,72.726601
2007-01-23,93.5,94.400002,90.050003,90.599998,6007719,70.170715
2007-01-24,91.300003,93.25,90.5,92.400002,4029116,71.564827
2007-01-25,98.900002,98.900002,92.650002,95.099998,11382826,73.656006
2007-01-29,95.099998,103.599998,95.099998,102.849998,14177416,79.65847
2007-01-31,102.849998,105.75,100.599998,101.550003,12413466,78.651604
2007-02-01,101.349998,102.800003,97.550003,101.5,9279468,78.612869
2007-02-02,102,103.599998,100.349998,100.849998,6757069,78.109451
2007-02-05,101.699997,108.349998,100.699997,107.650002,14960976,83.376129
2007-02-06,109,110.150002,106.550003,107.550003,13186809,83.298676
2007-02-07,107.849998,108.599998,104,105.949997,6353054,82.059456
2007-02-08,106.550003,110.25,105.650002,106.800003,13742031,82.717796
2007-02-09,106.800003,107,95.199997,97.75,16837608,75.708481
2007-02-12,97.400002,97.400002,85.150002,86.900002,14461820,67.305031
2007-02-13,85.699997,93.699997,85,88.599998,13437674,68.621689
2007-02-14,85.650002,93.199997,82.150002,91.800003,14353237,71.100136
2007-02-15,93,98.599998,93,98,12931815,75.902084
2007-02-19,98,101.099998,84,95.5,10727893,73.96582
2007-02-20,95.900002,96.25,91.650002,93.75,7458658,72.61042
2007-02-21,96,96.949997,93.199997,94.099998,10960885,72.8815
2007-02-22,94.449997,95.300003,90.400002,91.400002,10141305,70.790306
2007-02-23,92.650002,92.699997,86,86.599998,10102544,67.072662
2007-02-26,87,89,83.150002,86.199997,6854891,66.762871
2007-02-27,87.449997,87.849998,84.75,86.349998,4761246,66.879044
2007-02-28,82.5,85,77,80.699997,8999491,62.50304
2007-03-01,80.5,83.5,77.599998,81.900002,8495145,63.432449
2007-03-02,82,83.900002,78.349998,79.650002,4853943,61.689812
2007-03-05,78,78,70,71,6759367,54.990288
2007-03-06,73,74.849998,68.5,71.800003,8081268,55.609901
2007-03-07,73,73.650002,66.849998,67.699997,7370945,52.434399
2007-03-08,68,73.400002,66.5,72.5,7649070,56.15205
2007-03-09,73.5,77.349998,72.099998,74.800003,11010179,57.933437
2007-03-12,75.900002,77.25,74.699997,75.800003,4339201,58.707947
2007-03-13,76.5,78.300003,75.099998,77.949997,4482242,60.373154
2007-03-14,73,75.5,73,74.599998,4525597,57.778526
2007-03-15,76,78,73.199997,73.949997,2546615,57.275093
2007-03-16,74.5,74.650002,72.849998,73.449997,3468377,56.887836
2007-03-19,74.099998,75.699997,73.599998,75,3889148,58.088341
2007-03-20,75.25,79.400002,75.25,77.400002,8743635,59.947166
2007-03-21,78.400002,79,76.5,78.150002,3930757,60.528057
2007-03-22,78.849998,81.25,78.849998,80.199997,6562671,62.115803
2007-03-23,80.900002,83.449997,79.25,81.400002,9030484,63.0452
2007-03-26,75,82.5,75,80.449997,2689070,62.309422
2007-03-28,80.449997,80.449997,76.599998,77.150002,2874995,59.75354
2007-03-29,78,78,75,75.550003,4627510,58.51432
2007-03-30,76,77.949997,75.599998,77.599998,3172339,60.102066
2007-04-02,70,73.449997,70,71.599998,4916552,55.454994
2007-04-03,72,72.800003,70.099998,72.349998,2686473,56.035881
2007-04-04,73,73.900002,72,72.5,2049253,56.15205
2007-04-05,72.849998,75.300003,72,74.199997,4410418,57.468723
2007-04-09,74.199997,77.650002,74,77,3589748,59.63736
2007-04-10,77.5,79.449997,77.099998,78.949997,5374648,61.147652
2007-04-11,79,80.949997,78.25,78.599998,4154583,60.876568
2007-04-12,78.150002,80.349998,76.150002,78.699997,4772299,60.954018
2007-04-13,79.800003,81.300003,78.699997,80,3979035,61.960896
2007-04-16,80.25,83.199997,80.25,82.599998,5934781,63.974625
2007-04-17,83.449997,85,81.449997,82.599998,6047001,63.974625
2007-04-18,82.599998,84.5,82.599998,83.199997,2840479,64.439339
2007-04-19,82.900002,85.449997,80.400002,83.75,5616187,64.865311
2007-04-20,83.349998,88.099998,83.349998,85.449997,10652155,66.181969
2007-04-23,86,86.900002,82.449997,83.349998,3221460,64.555504
2007-04-24,81.800003,87.599998,81.5,86.650002,9665015,67.111382
2007-04-25,87,89.800003,86.150002,88.400002,5539273,68.466789
2007-04-26,89.300003,90.300003,86.099998,86.900002,4625295,67.305031
2007-04-27,87.699997,88.400002,83.150002,84.25,4286245,65.252571
2007-04-30,83.949997,84.949997,82.599998,84.5,3111786,65.44619
2007-05-03,84.5,91.699997,84.5,90.5,9498293,70.093269
2007-05-04,93.5,93.599998,90,90.550003,10954213,70.131996
2007-05-07,91.400002,93.800003,90.849998,91.449997,8088076,70.829041
2007-05-08,92.800003,92.949997,87.050003,87.949997,11397791,68.118263
2007-05-09,87.75,92.900002,86.599998,92.150002,10800648,71.371201
2007-05-10,93,95.5,91.5,92,12303468,71.255028
2007-05-11,90,95.300003,89.099998,94.449997,10858491,73.15258
2007-05-14,96,100.900002,96,99.349998,17934212,76.947678
2007-05-15,100.800003,100.800003,97.300003,98.400002,7465746,76.211914
2007-05-16,98.400002,101.449997,98,100.050003,8960340,77.489861
2007-05-17,100.900002,104.300003,100.699997,103.349998,15323238,80.045731
2007-05-18,102.800003,104.949997,100.199997,103.75,11482758,80.35553
2007-05-21,104.550003,106.099998,103.5,104.050003,6297762,80.587891
2007-05-22,104.800003,104.800003,101.650002,102.849998,5306553,79.65847
2007-05-23,103.25,103.800003,99.099998,100.199997,4603382,77.606026
2007-05-24,99.599998,100,96.150002,96.849998,6010354,75.011406
2007-05-25,95,98.900002,95,96.949997,7947068,75.088844
2007-05-28,97.5,100.050003,95.300003,96.050003,8962566,74.3918
2007-05-29,96.199997,97.449997,94.550003,96.75,5899386,74.93396
2007-05-30,95.900002,97.300003,92.25,92.550003,5801005,71.681
2007-05-31,93.5,95.800003,92.400002,94.900002,11870779,73.501106
2007-06-01,95.900002,99,95.900002,97.800003,10924525,75.747192
