"Date","IOC.NS.Open","IOC.NS.High","IOC.NS.Low","IOC.NS.Close","IOC.NS.Volume","IOC.NS.Adjusted"
2007-01-02,113.449997,113.449997,111.275002,111.900002,450780,54.989822
2007-01-03,112,112.474998,111.5,112.012001,561092,55.044853
2007-01-04,114,122,114,117.474998,2010280,57.729477
2007-01-05,120.925003,123.400002,118.512001,118.962997,1103340,58.460705
2007-01-08,119.425003,120.75,116.050003,116.862999,280764,57.42873
2007-01-09,118.675003,118.75,116.25,116.775002,376612,57.385471
2007-01-10,117.5,118.25,111.25,111.688004,799612,54.885639
2007-01-11,113.75,116.949997,113.25,114.737999,575520,56.384457
2007-01-12,117.5,122.25,115.875,121.300003,2392788,59.609154
2007-01-15,120,123.75,118.962997,119.612999,474964,58.780121
2007-01-16,120.025002,121.224998,114.5,115.275002,1088728,56.64835
2007-01-17,118,120,117.5,118.824997,536324,58.392883
2007-01-18,119.025002,124,118.474998,123.237999,2080244,60.561527
2007-01-19,124.5,126.625,122.75,123.724998,724240,60.800846
2007-01-22,124.5,124.5,120.75,123.811996,402320,60.843601
2007-01-23,123.5,123.75,120.5,122.974998,2695520,60.432289
2007-01-24,121,121.5,119.061996,120.550003,562240,59.240601
2007-01-25,120.550003,126.574997,119.525002,124.387001,3146268,61.126167
2007-01-29,123.75,128.738007,123.012001,124.561996,1445592,61.212158
2007-01-31,127,127.449997,122.525002,123.900002,710444,60.88686
2007-02-01,123.5,124,122.5,123.762001,240420,60.819023
2007-02-02,122,124.212997,122,123.724998,627572,60.800846
2007-02-05,123.75,123.762001,121.050003,121.949997,1342460,59.928574
2007-02-06,122,123.25,118.025002,119.762001,871568,58.853355
2007-02-07,119.762001,120.75,116.25,117.050003,210884,57.520634
2007-02-08,118.75,119.75,117.025002,117.862999,237752,57.920147
2007-02-09,117.012001,117.474998,115,115.949997,147760,56.980061
2007-02-12,114.75,116.224998,110,111.150002,199192,54.62125
2007-02-13,111.25,112.224998,108.75,109.849998,279556,53.982403
2007-02-14,109.75,109.75,106.875,107.724998,256272,52.938137
2007-02-15,108.474998,111.275002,105,106.787003,704344,52.477192
2007-02-19,106.787003,111.125,105.875,110.275002,308388,54.191254
2007-02-20,109.75,112.487999,109.061996,111.349998,408936,54.719528
2007-02-21,111.75,113.699997,108.300003,108.587997,846208,53.362228
2007-02-22,109.962997,112.5,108,110.949997,1194072,54.522964
2007-02-23,108.162003,109.75,107.5,107.962997,514852,53.055099
2007-02-26,107.525002,109,103.25,104.125,818256,51.169025
2007-02-27,106,106,103,104.512001,304412,51.359211
2007-02-28,103.699997,107.474998,101.25,103.324997,466348,50.775898
2007-03-01,104.375,106,102.099998,102.637001,264836,50.437798
2007-03-02,102.5,104.25,102,102.162003,205316,50.204372
2007-03-05,100,101.75,98.775002,100.599998,400588,49.436771
2007-03-06,101.75,103.199997,99.775002,101.137001,329668,49.700661
2007-03-07,103.5,103.5,100.75,101.175003,550736,49.719341
2007-03-08,100.5,102.5,100.5,101.375,477856,49.817631
2007-03-09,101.25,103.75,99.262497,99.862503,262044,49.074352
2007-03-12,101.25,103,100.5,102.537003,265812,50.388657
2007-03-13,103.474998,103.949997,101.5,103.561996,146292,50.892357
2007-03-14,101.625,102.987999,99.025002,99.4375,349216,48.865501
2007-03-15,102.375,102.375,100.625,101.474998,216724,49.866764
2007-03-16,102,102.75,99.5,99.925003,787776,49.105064
2007-03-19,101.375,102.287003,100.375,101.561996,612024,49.909519
2007-03-20,102.25,106.237999,101.849998,105.25,629600,51.721882
2007-03-21,104.987999,106.25,104.5,104.949997,274688,51.57444
2007-03-22,105.25,106.224998,104.550003,105.175003,120084,51.685028
2007-03-23,104.75,104.75,101.625,102.688004,570544,50.46286
2007-03-26,102.775002,106,102,104.688004,335884,51.445698
2007-03-28,102.650002,103.724998,100.025002,100.775002,814272,49.522774
2007-03-29,101.5,102.375,100,101.087997,1347232,49.676582
2007-03-30,100.561996,101.5,99.550003,99.912498,612748,49.098927
2007-04-02,98.775002,98.775002,96.5,96.875,433812,47.606243
2007-04-03,98.224998,98.75,96.262497,96.599998,482296,47.471107
2007-04-04,99.25,99.25,96.800003,97.262497,310316,47.796661
2007-04-05,98.25,98.25,97.037498,97.574997,146508,47.950226
2007-04-09,99.5,100,98.137497,99.087502,303120,48.693501
2007-04-10,100.561996,102.561996,100.362999,101.699997,746700,49.977337
2007-04-11,105,105,100.737999,100.887001,246824,49.577824
2007-04-12,102.175003,102.175003,98.5,98.75,254512,48.527645
2007-04-13,98.5,100,98.037498,98.487503,329624,48.398651
2007-04-16,98.5,101.175003,98.5,100.650002,607188,49.461346
2007-04-17,101.224998,105.375,100.75,103.724998,1196924,50.972466
2007-04-18,105,105.5,103.074997,103.375,395892,50.800468
2007-04-19,102.512001,103.137001,101.162003,101.537003,268112,49.897236
2007-04-20,103,103.724998,101.800003,102.675003,216680,50.45647
2007-04-23,103.400002,103.974998,90.25,101.925003,645460,50.087902
2007-04-24,101.162003,102.974998,100.75,102.387001,421512,50.314945
2007-04-25,102.5,104.724998,102.5,103.337997,933672,50.78228
2007-04-26,103.75,108.188004,102.587997,106.862999,2846228,52.514538
2007-04-27,106.5,110,106.5,108.974998,1101676,53.55241
2007-04-30,108,111,106.75,110.262001,680420,54.184868
2007-05-03,110.525002,115,109.137001,112.237999,720744,55.155914
2007-05-04,111.5,113.75,110.262001,110.637001,486468,54.369148
2007-05-07,111.512001,116.162003,111.5,115.175003,837508,56.599224
2007-05-08,116,117.125,112.75,113.775002,574504,55.911228
2007-05-09,116.25,117.125,114.349998,116.438004,1176068,57.219872
2007-05-10,116.25,117.224998,113.837997,114.925003,488968,56.47636
2007-05-11,112.75,114.974998,111.537003,114.012001,316568,56.027687
2007-05-14,114.5,117.224998,114.262001,116.537003,1732064,57.268524
2007-05-15,117.5,120.487999,112.75,119.837997,828376,58.890705
2007-05-16,120,123.449997,113.75,121.824997,707020,59.867142
2007-05-17,124.5,129.5,123,128.725006,2204316,63.257961
2007-05-18,127.75,127.75,124.012001,126,767472,61.918827
2007-05-21,127.5,128.25,124.525002,125.925003,924236,61.881969
2007-05-22,127.25,127.987999,125,125.462997,728876,61.654926
2007-05-23,126.25,131.100006,125.125,125.637001,2210752,61.740444
