"Date","JPASSOCIAT.NS.Open","JPASSOCIAT.NS.High","JPASSOCIAT.NS.Low","JPASSOCIAT.NS.Close","JPASSOCIAT.NS.Volume","JPASSOCIAT.NS.Adjusted"
2007-01-02,94.800003,98.513298,94.800003,98.026703,6385058,88.289238
2007-01-03,98.133301,99.693298,97.333298,97.9533,7421595,88.223114
2007-01-04,98.133301,98.533302,94.9533,95.660004,5403818,86.157639
2007-01-05,96,97.066704,92.353302,93.646698,7261725,84.34433
2007-01-08,94.033302,94.266701,90.18,91.339996,7376820,82.266754
2007-01-09,95.333298,95.333298,91.080002,92.120003,8141625,82.969276
2007-01-10,93.040001,93.993301,90.400002,92.239998,13080052,83.077362
2007-01-11,93.173302,94.666702,92.266701,94.2733,5959905,84.908676
2007-01-12,96,98.9067,95.353302,96.766701,13694768,87.154388
2007-01-15,87.466698,98.706703,87.466698,96.18,7995660,86.625977
2007-01-16,96.666702,100.532997,96.333298,99.739998,10731998,89.832336
2007-01-17,100.532997,100.532997,97.066704,97.433296,5415540,87.754768
2007-01-18,97.599998,98.666702,96,97.213303,4963140,87.556641
2007-01-19,98.379997,99.18,97.333298,98.446701,7257908,88.667519
2007-01-22,98.666702,99.173302,96.666702,97.82,4839308,88.103073
2007-01-23,98.133301,98.266701,94.013298,95.213303,9110108,85.755302
2007-01-24,95.466698,96.506699,93.733299,94.553299,4956668,86.988091
2007-01-25,95.573303,95.573303,94,94.386703,5189595,86.834831
2007-01-29,18.8773,95.426697,18.8773,94,1687785,86.479065
2007-01-31,18.799999,94.653297,18.799999,93.186699,5429085,85.730835
2007-02-01,99.333298,99.333298,92,93.373299,4080158,85.902489
2007-02-02,94,95.5467,93.0933,93.400002,8319908,85.927071
2007-02-05,94,94.506699,93.333298,93.973297,2004758,86.454491
2007-02-06,93.733299,94.533302,92.653297,93.339996,3901612,85.871872
2007-02-07,93.599998,93.733299,91.220001,91.919998,5607135,84.56546
2007-02-08,92.266701,92.266701,89.9067,90.473297,5849528,83.234528
2007-02-09,90.699997,91.720001,87.599998,87.933296,7955925,80.897758
2007-02-12,87.933296,89.919998,86,87.4533,9135578,80.456161
2007-02-13,87.866699,88,84.393303,86.073303,6024488,79.186562
2007-02-14,85.333298,86.239998,83.066704,83.339996,15533355,76.671967
2007-02-15,85.066704,86.260002,84.199997,85.326698,3651668,78.499702
2007-02-19,17.0653,87.760002,17.0653,86.860001,4505528,79.910332
2007-02-20,86.400002,87.973297,83.933296,84.026703,2728425,77.303726
2007-02-21,83.333298,85.459999,82.706703,84.006699,3912742,77.285332
2007-02-22,84.133301,85.293297,82.720001,83.766701,4853618,77.064522
2007-02-23,83.333298,84.266701,74.933296,76.9133,6971768,70.75946
2007-02-26,77.306702,78.400002,74.006699,77.133301,2525400,70.961868
2007-02-27,78.266701,81.193298,77.199997,79.193298,2437882,72.85704
2007-02-28,75.386703,79.040001,70.666702,72.766701,9358312,66.944641
2007-03-01,72.666702,74.400002,68.153297,71.326698,5787870,65.619858
2007-03-02,71.973297,75.199997,71.466698,73.720001,3630150,67.821663
2007-03-05,72,72,65.599998,69.9133,4823842,64.319527
2007-03-06,70.666702,73.066704,68.006699,72.246696,1947322,66.466225
2007-03-07,72.853302,73.599998,61.733299,67.986702,7655932,62.547085
2007-03-08,68.893303,78.5867,65.599998,76.846703,7056840,70.698204
2007-03-09,77.333298,78.266701,69.706703,73.540001,9087428,67.656059
2007-03-12,74.466698,75.333298,71.133301,72.68,3998708,66.864876
2007-03-13,72,76.639999,71.066704,75.573303,4552162,69.526695
2007-03-14,75.199997,75.866699,68.7733,74.419998,5550315,68.46566
2007-03-15,75.786697,76.720001,72.800003,73.4067,2845778,67.533424
2007-03-16,72.006699,74.266701,70.9067,71.466698,2273288,65.74865
2007-03-19,70.666702,73.333298,70.666702,72.5867,1513995,66.779045
2007-03-20,73.333298,75.173302,71.760002,72.360001,3133448,66.57048
2007-03-21,73.066704,73.199997,71.733299,72.173302,2120752,66.398712
