"Date","RAJRAYON.NS.Open","RAJRAYON.NS.High","RAJRAYON.NS.Low","RAJRAYON.NS.Close","RAJRAYON.NS.Volume","RAJRAYON.NS.Adjusted"
2007-01-04,5.1,5.57,4.91,5.065,11219400,2.223754
2007-01-05,5.18,5.5,4.92,4.96,1701000,2.177655
2007-01-08,4.96,5.05,4.825,4.87,547000,2.138141
2007-01-09,4.86,4.95,4.65,4.69,1216000,2.059113
2007-01-10,4.74,5,4.6,4.695,1672000,2.061308
2007-01-11,4.65,4.87,4.61,4.84,620000,2.12497
2007-01-12,4.935,5.34,4.935,5.045,9790000,2.214973
2007-01-15,5.1,5.78,4.91,5,13158000,2.195217
2007-01-16,5.085,5.9,4.875,4.91,9510000,2.155703
2007-01-17,5.045,5.265,4.92,4.955,6930000,2.17546
2007-01-18,5,5.265,4.775,4.815,3889000,2.113993
2007-01-19,4.9,4.9,4.575,4.62,816000,2.02838
2007-01-22,4.65,4.7,4.55,4.575,365000,2.008623
2007-01-23,4.585,4.585,4.33,4.36,619000,1.914229
2007-01-24,4.48,4.55,4.38,4.435,2281000,1.947157
2007-01-25,4.52,4.65,4.22,4.55,450000,1.997647
2007-01-29,4.58,4.79,4.58,4.615,452000,2.026185
2007-01-31,4.695,5.44,4.25,4.315,7952000,1.894472
2007-02-01,4.4,4.435,4.215,4.265,649000,1.87252
2007-02-02,4.35,4.39,4.185,4.21,387670,1.848372
2007-02-05,4.22,4.45,4.22,4.36,728000,1.914229
2007-02-06,4.56,4.595,4.235,4.27,332000,1.874715
2007-02-07,4.39,4.39,4.16,4.185,384000,1.837396
2007-02-08,4.06,4.245,4,4.03,332990,1.769345
2007-02-09,4.175,4.175,3.75,3.805,514000,1.67056
2007-02-12,3.8,3.8,3.205,3.375,912000,1.481771
2007-02-13,3.005,3.57,3.005,3.375,445000,1.481771
2007-02-14,3.265,3.465,3.265,3.3,1187000,1.448843
2007-02-15,3.45,3.64,3.43,3.595,341000,1.578361
2007-02-19,3.79,3.79,3.595,3.6,235210,1.580556
2007-02-20,3.515,3.58,3.385,3.41,163000,1.497138
2007-02-21,3.4,3.45,3.33,3.37,128000,1.479576
2007-02-22,3.445,3.445,3.315,3.34,121000,1.466405
2007-02-23,3.33,3.33,2.95,2.99,899000,1.312739
2007-02-26,3.015,3.075,2.87,2.91,304000,1.277616
2007-02-27,2.95,2.995,2.9,2.96,202000,1.299568
2007-02-28,2.55,3,2.55,2.75,628000,1.207369
2007-03-01,2.88,2.95,2.76,2.81,365000,1.233712
2007-03-02,2.655,2.89,2.655,2.765,604000,1.213955
2007-03-05,2.6,2.69,2.455,2.5,258000,1.097608
2007-03-06,2.5,2.665,2.35,2.42,312000,1.062485
2007-03-07,2.49,2.5,2.27,2.295,514000,1.007604
2007-03-08,2.325,2.67,2.215,2.53,443000,1.11078
2007-03-09,2.695,2.85,2.5,2.68,373000,1.176636
2007-03-12,2.77,2.9,2.655,2.69,339000,1.181026
2007-03-13,2.8,2.8,2.64,2.705,219000,1.187612
2007-03-14,2.6,2.65,2.56,2.6,110000,1.141513
2007-03-15,2.65,2.84,2.605,2.62,203000,1.150293
2007-03-16,2.6,2.675,2.5,2.54,168000,1.11517
2007-03-19,2.6,2.6,2.505,2.535,444000,1.112975
2007-03-20,2.515,2.595,2.51,2.56,67470,1.123951
2007-03-21,2.595,2.6,2.475,2.49,155000,1.093218
2007-03-22,2.55,2.585,2.47,2.49,125070,1.093218
2007-03-23,2.5,2.5,2.375,2.39,275000,1.049314
2007-03-26,2.49,2.49,2.36,2.385,224830,1.047118
2007-03-28,2.38,2.4,2.23,2.26,565000,0.992238
2007-03-29,2.245,2.39,2.245,2.345,196000,1.029557
2007-03-30,2.415,2.815,2.35,2.435,138000,1.06907
2007-04-02,2.45,2.45,2.25,2.34,94000,1.027361
2007-04-03,2.35,2.36,2.32,2.335,102000,1.025166
2007-04-04,2.36,2.6,2.355,2.495,264080,1.095413
2007-04-05,2.45,2.8,2.425,2.68,496000,1.176636
2007-04-09,2.8,3.22,2.725,3.015,3752000,1.323716
2007-04-10,3,3.04,2.78,2.815,754000,1.235907
2007-04-11,2.85,3,2.815,2.85,639000,1.251273
2007-04-12,2.7,2.85,2.7,2.77,251000,1.21615
2007-04-13,2.75,2.9,2.735,2.79,236790,1.224931
2007-04-16,2.8,2.94,2.8,2.855,304000,1.253469
2007-04-17,2.895,2.91,2.75,2.755,202000,1.209564
2007-04-18,2.8,2.845,2.735,2.75,193000,1.207369
2007-04-19,2.7,2.8,2.625,2.705,87000,1.187612
2007-04-20,2.8,2.85,2.72,2.725,153000,1.196393
2007-04-23,2.8,2.8,2.705,2.745,75000,1.205174
2007-04-24,2.79,2.79,2.665,2.725,175000,1.196393
2007-04-25,2.7,2.77,2.665,2.69,368000,1.181026
2007-04-26,2.705,2.84,2.66,2.695,181000,1.183222
2007-04-27,2.7,2.73,2.62,2.645,73000,1.16127
2007-04-30,2.6,2.68,2.6,2.655,23000,1.16566
2007-05-03,2.665,2.77,2.655,2.665,107000,1.17005
2007-05-04,2.7,2.7,2.61,2.64,129000,1.159074
2007-05-07,2.645,2.75,2.61,2.63,85000,1.154684
2007-05-08,2.64,2.68,2.535,2.55,133000,1.11956
2007-05-09,2.45,2.565,2.45,2.5,99000,1.097608
2007-05-10,2.6,2.64,2.45,2.46,1e+05,1.080047
2007-05-11,2.44,2.55,2.315,2.445,204000,1.073461
2007-05-14,2.5,2.56,2.455,2.49,380000,1.093218
2007-05-15,2.69,2.695,2.465,2.5,256000,1.097608
2007-05-16,2.515,2.795,2.515,2.66,552000,1.167855
2007-05-17,2.73,2.73,2.615,2.63,131000,1.154684
2007-05-18,2.565,2.635,2.51,2.535,101000,1.112975
2007-05-21,2.535,2.625,2.5,2.52,140000,1.106389
2007-05-22,2.475,2.56,2.475,2.505,108000,1.099803
2007-05-23,2.55,2.59,2.455,2.48,164000,1.088827
2007-05-24,2.5,2.5,2.375,2.485,149000,1.091023
2007-05-25,2.525,2.525,2.425,2.49,66000,1.093218
2007-05-28,2.7,2.7,2.47,2.48,126000,1.088827
2007-05-29,2.5,2.53,2.47,2.475,110000,1.086632
2007-05-30,2.455,2.515,2.45,2.45,57000,1.075656
2007-05-31,2.45,2.465,2.425,2.43,61000,1.066875
2007-06-01,2.44,2.45,2.405,2.415,101610,1.06029
2007-06-04,2.405,2.425,2.375,2.39,137000,1.049314
2007-06-05,2.375,2.415,2.355,2.36,53000,1.036142
2007-06-06,2.37,2.42,2.32,2.345,85000,1.029557
2007-06-07,2.36,2.425,2.29,2.37,215000,1.040533
2007-06-08,2.395,2.4,2.33,2.355,91000,1.033947
2007-06-11,2.32,2.41,2.32,2.34,58000,1.027361
2007-06-12,2.355,2.355,2.285,2.3,153000,1.0098
2007-06-13,2.255,2.7,2.22,2.32,414000,1.01858
2007-06-14,2.36,2.395,2.285,2.3,191000,1.0098
2007-06-15,2.34,2.34,2.29,2.29,59000,1.005409
2007-06-18,2.275,2.36,2.26,2.28,80000,1.001019
2007-06-19,2.26,2.335,2.26,2.305,113000,1.011995
2007-06-20,2.31,2.35,2.2,2.235,164000,0.981262
2007-06-21,2.255,2.6,2.2,2.53,1022000,1.11078
2007-06-22,2.56,2.7,2.51,2.53,1342000,1.11078
2007-06-25,2.59,2.74,2.51,2.64,1058000,1.159074
2007-06-26,2.65,2.7,2.615,2.63,3e+05,1.154684
2007-06-27,2.59,2.675,2.53,2.565,101000,1.126146
2007-06-28,2.43,2.67,2.43,2.595,188000,1.139318
2007-06-29,2.55,2.6,2.475,2.515,205000,1.104194
2007-07-02,2.51,2.525,2.45,2.455,138000,1.077851
2007-07-03,2.405,2.475,2.405,2.425,99000,1.06468
2007-07-04,2.49,2.795,2.355,2.38,249000,1.044923
2007-07-05,2.415,2.425,2.36,2.39,82000,1.049314
2007-07-06,2.44,2.44,2.36,2.38,151000,1.044923
2007-07-09,2.375,2.45,2.375,2.405,51000,1.055899
2007-07-10,2.475,2.475,2.37,2.375,74000,1.042728
2007-07-11,2.355,2.42,2.34,2.365,121000,1.038337
2007-07-12,2.365,2.6,2.36,2.49,419000,1.093218
2007-07-13,2.55,2.58,2.435,2.455,277000,1.077851
2007-07-16,2.5,2.5,2.365,2.385,132000,1.047118
2007-07-17,2.4,2.45,2.36,2.38,110000,1.044923
2007-07-18,2.36,2.48,2.32,2.35,284000,1.031752
2007-07-19,2.36,2.41,2.35,2.365,95000,1.038337
2007-07-20,2.35,2.395,2.28,2.305,137000,1.011995
2007-07-23,2.34,2.37,2.3,2.32,57000,1.01858
2007-07-24,2.365,2.365,2.26,2.27,109000,0.996628
2007-07-25,2.275,2.315,2.23,2.25,84130,0.987847
2007-07-26,2.295,2.295,2.235,2.25,75000,0.987847
2007-07-27,2.27,2.275,2.205,2.26,148000,0.992238
2007-07-30,2.215,2.295,2.2,2.225,104000,0.976871
2007-07-31,2.225,2.27,2.19,2.215,128000,0.972481
2007-08-01,2.21,2.345,2.2,2.285,249920,1.003214
2007-08-02,2.28,2.34,2.23,2.3,92000,1.0098
2007-08-03,2.31,2.32,2.26,2.275,48520,0.998824
2007-08-06,2.3,2.33,2.2,2.285,140000,1.003214
2007-08-07,2.28,2.34,2.24,2.325,43000,1.020776
2007-08-08,2.345,2.55,2.315,2.4,247000,1.053704
2007-08-09,2.39,2.43,2.3,2.31,105000,1.01419
2007-08-10,2.24,2.3,2.24,2.265,79000,0.994433
2007-08-13,2.275,2.37,2.27,2.3,123670,1.0098
2007-08-14,2.275,2.32,2.23,2.25,308090,0.987847
2007-08-16,2.295,2.3,2.215,2.23,126130,0.979067
2007-08-17,2.295,2.68,2.175,2.195,154000,0.9637
2007-08-20,2.21,2.3,2.2,2.26,118580,0.992238
2007-08-21,2.29,2.33,2.15,2.165,133820,0.950529
2007-08-22,2.17,2.345,2.15,2.215,287690,0.972481
2007-08-23,2.345,2.5,2.15,2.175,162570,0.954919
2007-08-24,2.245,2.27,2.14,2.19,521000,0.961505
2007-08-27,2.175,2.215,2.155,2.185,65880,0.95931
2007-08-28,2.2,2.28,2.18,2.19,67050,0.961505
2007-08-29,2.11,2.25,2.11,2.19,395790,0.961505
