"Date","SUZLON.NS.Open","SUZLON.NS.High","SUZLON.NS.Low","SUZLON.NS.Close","SUZLON.NS.Volume","SUZLON.NS.Adjusted"
2007-01-02,262.399994,262.399994,257.619995,260.170013,533495,252.423935
2007-01-03,261.600006,261.799988,257.059998,258.820007,1539770,251.11412
2007-01-04,259,261.600006,255,259.75,1208970,252.016418
2007-01-05,259.799988,262,257.070007,258.660004,2243980,250.958878
2007-01-08,258,258.779999,253.399994,257.609985,1810235,249.940125
2007-01-09,257,259.799988,249.199997,250.070007,1199625,242.624634
2007-01-10,250,250,238.050003,239.990005,3541420,232.844757
2007-01-11,241.199997,249.600006,237.600006,247.660004,2165555,240.286392
2007-01-12,250,252,245.300003,248.720001,3713545,241.314835
2007-01-15,251.199997,254.800003,251,254.089996,2274110,246.524948
2007-01-16,255,265.200012,252,264.089996,2815535,256.227203
2007-01-17,265,267.600006,256.799988,257.75,2141050,250.075974
2007-01-18,256,263.160004,255,256.799988,1807835,249.154251
2007-01-19,259.089996,260,251.600006,252.300003,1006415,244.788239
2007-01-22,254.800003,259.959991,252.800003,258.570007,2526945,250.871582
2007-01-23,258.399994,259.600006,254.229996,255.960007,2065655,248.339279
2007-01-24,257.200012,257.200012,254,255.199997,577390,247.601883
2007-01-25,257,259,254.809998,257.040009,1861690,249.387115
2007-01-29,259.799988,261.600006,239.259995,241.119995,5181840,233.941086
2007-01-31,243,245.600006,225.050003,228.529999,5162865,221.725952
2007-02-01,233.199997,236.399994,228.199997,235.029999,2925705,228.032425
2007-02-02,237.979996,244.940002,236,243.869995,4656395,236.609222
2007-02-05,246,252.800003,244,251.710007,3627730,244.21582
2007-02-06,251.199997,259.799988,251,256.820007,4726030,249.17366
2007-02-07,257.160004,257.399994,251.029999,253.039993,1610905,245.506195
2007-02-08,253,253.600006,244.800003,250.419998,2166560,242.964218
2007-02-09,249.740005,251.979996,246.199997,249.009995,1263190,241.596191
2007-02-12,249,249,210,216.020004,9978810,209.588425
2007-02-13,218,229.559998,208.800003,219.770004,6920495,213.226761
2007-02-14,218,218,210,214.199997,4844160,207.822586
2007-02-15,219.800003,224,204.199997,208.300003,6998290,202.098267
2007-02-19,210.199997,213.309998,205.169998,206.149994,4415850,200.012268
2007-02-20,207.369995,207.679993,196.020004,197.089996,5320275,191.222015
2007-02-21,199.110001,206,196.020004,204.550003,6898405,198.459915
2007-02-22,206.800003,210.360001,205,208.050003,7107125,201.855698
2007-02-23,208.050003,211.979996,207,209.630005,4700020,203.388672
2007-02-26,210.399994,213.179993,208,209.710007,3087035,203.466293
