"Date","SINTEX.NS.Open","SINTEX.NS.High","SINTEX.NS.Low","SINTEX.NS.Close","SINTEX.NS.Volume","SINTEX.NS.Adjusted"
2007-01-02,110.376999,110.549004,107.110001,109.738998,48865,98.208427
2007-01-03,110.352997,110.525002,109.074997,109.247002,61171,97.76812
2007-01-04,110.525002,116.837997,108.830002,113.915001,231812,101.945648
2007-01-05,114.480003,115.954002,111.041,113.374001,223697,101.461494
2007-01-08,116.445,116.837997,112.931999,115.192001,242399,103.088478
2007-01-09,115.954002,116.936996,111.286003,112.391998,205353,100.582664
2007-01-10,111.041,114.480003,99.838203,103.204002,721369,92.360077
2007-01-11,107.847,109.074997,105.144997,106.692001,1210997,95.481583
2007-01-12,108.681999,110.549004,106.938004,108.779999,154188,97.350204
2007-01-15,109.542,109.984001,105.734001,106.200996,227483,95.04216
2007-01-16,108.093002,108.093002,105.218002,105.782997,105546,94.668076
2007-01-17,107.208,107.233002,102.834999,103.646004,211389,92.755623
2007-01-18,105.561996,105.636002,102.933998,103.252998,81153,92.403923
2007-01-19,105.611,105.611,101.411003,102.246002,83646,91.502739
2007-01-22,102.712997,106.028999,101.705002,105.439003,141654,94.360252
2007-01-23,103.278,107.110001,102.688004,103.695,71602,92.799492
2007-01-24,104.186996,104.874001,102.196999,102.541,92689,91.766731
2007-01-25,104.653,104.653,101.213997,101.632004,64498,90.953255
2007-01-29,101.632004,105.636002,101.213997,104.751999,161067,93.74543
2007-01-31,104.751999,106.323997,104.162003,104.874001,285437,93.854614
2007-02-01,104.874001,105.389999,100.133003,100.894997,289765,90.293686
2007-02-02,105.022003,105.022003,101.705002,102.417999,186036,91.656662
2007-02-05,104.407997,110.549004,101.288002,107.896004,318651,96.559082
2007-02-06,110.057999,110.057999,107.110001,108.657997,985189,97.241005
2007-02-07,109.051003,109.051003,107.920998,108.731003,579842,97.306335
2007-02-08,109.418999,112.858002,106.225998,109.149002,943922,97.68042
2007-02-09,111.925003,111.925003,105.661003,106.323997,467678,95.152252
2007-02-12,108.018997,108.018997,99.297798,101.238998,44471,90.601555
2007-02-13,101.213997,105.144997,100.747002,101.434998,35294,90.776947
2007-02-14,101.213997,104.014999,98.757301,101.213997,53406,90.579178
2007-02-15,103.129997,108.486,101.705002,104.358002,95795,93.392822
2007-02-19,104.358002,107.552002,103.744003,106.594002,55527,95.393875
2007-02-20,105.389999,106.594002,103.204002,104.801003,20263,93.789276
2007-02-21,106.544998,114.332001,102.269997,110.525002,639196,98.911842
2007-02-22,113.988998,120.375999,105.292,105.759003,825808,94.646622
2007-02-23,106.446999,110.549004,99.445198,105.095001,537983,94.052383
2007-02-26,106.126999,109.074997,103.179001,104.726997,79728,93.723053
2007-02-27,103.916,108.093002,103.916,106.619003,178847,95.416267
2007-02-28,96.374397,105.636002,90.257301,104.849998,192573,93.833122
2007-03-01,103.670998,105.022003,99.789101,100.697998,107498,90.117386
2007-03-02,104.162003,104.162003,98.265999,99.396103,145222,88.952293
2007-03-05,99.248703,99.739998,93.352699,96.669197,202652,86.511902
2007-03-06,97.037697,100.697998,93.844002,96.325203,47850,86.204056
2007-03-07,98.265999,98.265999,93.352699,93.770302,28856,83.917595
2007-03-08,95.809303,97.774696,93.352699,96.251503,90481,86.1381
2007-03-09,97.0131,97.283302,94.458199,97.209602,119048,86.995522
2007-03-12,98.241402,99.248703,95.858498,98.020302,79124,87.721046
