"Date","SOUTHBANK.NS.Open","SOUTHBANK.NS.High","SOUTHBANK.NS.Low","SOUTHBANK.NS.Close","SOUTHBANK.NS.Volume","SOUTHBANK.NS.Adjusted"
2007-01-02,31.807,32.432,31.035,6.31113,2541963,1.242917
2007-01-03,32.432,33.645,32.009,6.58993,5788292,1.297825
2007-01-04,33.645,33.995,32.561,6.46683,4078967,1.273581
2007-01-05,33.057,34.013,32.91,6.65873,3745812,1.311374
2007-01-08,33.829,34.749,33.204,6.77098,4115602,1.33348
2007-01-09,34.877,35.19,34.013,6.82891,8064696,1.344889
2007-01-10,34.822,34.914,33.829,6.66597,2164302,1.3128
2007-01-11,34.013,37.102,33.829,7.19824,5500348,1.417625
2007-01-12,37.102,38.242,36.238,7.21634,7537208,1.42119
2007-01-15,37.488,38.793,35.484,7.01357,13216023,1.381256
2007-01-16,36.624,36.624,35.484,7.03168,3423180,1.384823
2007-01-17,36.219,37.102,35.705,7.13306,4278437,1.404789
2007-01-18,36.532,37.58,36.403,7.23807,5330181,1.42547
2007-01-19,36.881,37.267,36.035,7.11858,1510201,1.401937
2007-01-22,36.569,36.955,35.944,7.11134,2405185,1.400511
2007-01-23,36.771,36.918,35.668,7.04254,3606784,1.386962
2007-01-24,35.925,36.293,35.484,7.02444,2867329,1.383397
2007-01-25,36.201,37.304,35.723,7.25255,1834752,1.428321
2007-01-29,36.771,37.837,36.036,7.15117,2319763,1.408355
2007-01-31,36.771,36.771,35.76,7.09685,2920356,1.397658
2007-02-01,36.127,36.587,35.778,7.10772,1207716,1.399798
2007-02-02,36.55,36.9,36.054,7.12582,2309075,1.403363
2007-02-05,36.679,37.506,35.705,7.34669,3227397,1.446861
2007-02-06,37.359,38.131,36.219,7.19824,2685134,1.417625
2007-02-07,36.9,37.083,36.256,7.2091,1734955,1.419764
2007-02-08,36.844,37.506,36.403,7.19099,1939893,1.416198
2007-02-09,36.936,37.653,35.888,7.10047,5302756,1.398371
2007-02-12,36.33,36.992,35.447,7.04616,2918837,1.387675
2007-02-13,35.668,36.55,35.668,7.08599,1520405,1.395519
2007-02-14,35.668,36.219,34.271,7.10772,3444584,1.399798
2007-02-15,36.035,37.175,35.668,7.0353,1157299,1.385536
2007-02-19,35.723,36.403,35.723,7.08237,2232850,1.394806
2007-02-20,36.403,37.727,36.385,7.29238,5749489,1.436165
2007-02-21,36.844,37.488,36.219,7.26341,1767116,1.43046
