"Date","TARAJEWELS.NS.Open","TARAJEWELS.NS.High","TARAJEWELS.NS.Low","TARAJEWELS.NS.Close","TARAJEWELS.NS.Volume","TARAJEWELS.NS.Adjusted"
2012-12-06,242,242,229.899994,229.899994,479249,227.337006
2012-12-07,218.449997,227,218.449997,219.100006,800130,216.657425
2012-12-10,208.149994,224.899994,208.149994,217.600006,72155,215.174149
2012-12-11,217,223.399994,217,217.449997,225284,215.025803
2012-12-12,212,218.899994,211,217.449997,10616,215.025803
2012-12-13,217,218.449997,207.100006,217,62977,214.580826
2012-12-14,214,222,214,221.75,26727,219.277878
2012-12-17,218.600006,232.75,218.600006,230.25,68305,227.683105
2012-12-18,231.899994,231.899994,222.5,225.75,26258,223.233276
2012-12-19,227.949997,228,222.100006,227.300003,16090,224.766006
2012-12-20,230,232.5,223,226.399994,82026,223.876022
2012-12-21,225,226.600006,220,220.600006,26076,218.140701
2012-12-24,220,231.350006,219.050003,220.399994,83025,217.942917
2012-12-26,220.399994,226.399994,220,223.75,104361,221.255569
2012-12-27,223,227,221.5,223.949997,112047,221.453339
2012-12-28,225,230.949997,222,229.050003,115361,226.49649
2012-12-31,227,234,227,232.050003,123787,229.463043
2013-01-01,232.550003,243.800003,229.649994,237.199997,258329,234.555634
2013-01-02,238.949997,245.949997,235.100006,237.199997,336195,234.555634
2013-01-03,238.550003,241.199997,226.5,228.649994,110481,226.100937
2013-01-04,227,239.399994,226,235.300003,195840,232.676819
2013-01-07,236,239.5,232.5,234,58545,231.391296
2013-01-08,233.050003,235.800003,228,230.199997,34834,227.633667
2013-01-09,230,233,223,224.75,28451,222.244431
2013-01-10,221,227,218.5,222.199997,26709,219.722855
2013-01-11,222.100006,227.899994,222.100006,224.350006,33638,221.848892
2013-01-14,221,228.5,220,225.449997,28018,222.936615
2013-01-15,224,232,222.600006,224.149994,38327,221.651108
2013-01-16,224,225.25,220,224.449997,28566,221.947769
2013-01-17,224,226,222.100006,225,17235,222.491638
2013-01-18,224,228,224,227.100006,14182,224.568237
2013-01-21,227,227,220.25,220.75,3808,218.289017
2013-01-22,221.149994,224,220.649994,222.149994,14429,219.673401
2013-01-23,221,227,220,225.100006,15794,222.59053
2013-01-24,224,226.75,218.5,220.550003,45374,218.091248
2013-01-25,223.649994,223.800003,219,220.649994,29555,218.190125
2013-01-28,222.949997,226.5,221.399994,225.850006,24872,223.332169
2013-01-29,226,227,221.050003,223.850006,26070,221.354462
2013-01-30,221.449997,226,221.449997,224.800003,21715,222.293869
2013-01-31,226,226,221.25,223.649994,51358,221.156677
2013-02-01,224,224,215.399994,218.25,7167,215.816895
2013-02-04,218.399994,219,210.699997,212,28828,209.636566
2013-02-05,213.5,213.5,207,208.300003,20560,205.977814
2013-02-06,208.199997,214,208.199997,212.199997,9507,209.834335
2013-02-07,214.449997,215,208,208.149994,5827,205.829483
2013-02-08,209.949997,211.100006,207,208.25,3689,205.928375
2013-02-11,208,209.949997,206.5,208.149994,6068,205.829483
2013-02-12,211.850006,211.850006,208,208.899994,8088,206.571121
2013-02-13,209.850006,209.949997,207,207.949997,4663,205.631714
2013-02-14,206.100006,208.050003,198,198.800003,9581,196.583725
2013-02-15,200,200.050003,189.5,192.75,11955,190.601166
2013-02-18,193,208,191,204.550003,13914,202.269623
2013-02-19,199,210.949997,199,209.949997,9907,207.609421
2013-02-20,207,210.899994,206,210.050003,10049,207.708313
2013-02-21,206,210.5,203,209.800003,42502,207.46109
2013-02-22,206.050003,206.050003,195.100006,197.850006,1802,195.644318
2013-02-25,197.899994,200,180,185.300003,11046,183.234222
2013-02-26,185.550003,185.550003,175,181.100006,19287,179.081055
2013-02-27,189.75,196,174,193.100006,13844,190.947281
2013-02-28,185.25,197,181.050003,192.949997,11229,190.798935
2013-03-01,182,195.949997,182,183.350006,1957,181.305969
2013-03-04,183,184,175,183,3929,180.959869
2013-03-05,193.350006,193.350006,176,177.550003,6792,175.570633
2013-03-06,179,185,177.649994,180.850006,2474,178.833847
2013-03-07,160.25,182.5,160.25,178.449997,79707,176.460587
2013-03-08,182,189,177,182.300003,136326,180.26767
2013-03-11,179,185,175.050003,179.600006,123663,177.597778
2013-03-12,177.75,180,175.5,177.649994,2281,175.66951
2013-03-13,177.5,178.850006,175,177.800003,13653,175.817841
2013-03-14,175.25,189.899994,175,183.350006,12203,181.305969
2013-03-15,180.550003,197.949997,179,184.399994,116269,182.344254
2013-03-18,182,187.25,180,184.199997,111483,182.146484
2013-03-19,184,187,179,182.949997,97453,180.910416
2013-03-20,180,180.699997,165,171.649994,7036,169.736389
2013-03-21,168.800003,181,165,165.199997,1677,163.358307
2013-03-22,168,172,164.699997,167.75,71731,165.879883
2013-03-25,170.449997,184,169.949997,176.350006,58673,174.384003
2013-03-26,175,188.399994,174.5,184.100006,67167,182.047607
2013-03-28,184.100006,199.699997,177.25,184.850006,94340,182.789246
2013-04-01,184.850006,189.699997,180.350006,183.399994,6559,181.355408
2013-04-02,180,186.949997,180,180.550003,1388,178.537186
2013-04-03,178,184.850006,176.149994,179.699997,2321,177.696655
2013-04-04,176,181.850006,175.350006,177.949997,1581,175.966156
2013-04-05,178.5,183.949997,173,175.899994,1545,173.939011
2013-04-08,179.5,180,174,179.050003,232,177.053909
2013-04-09,179.949997,180.25,174,176.75,673,174.779541
2013-04-10,175,175,170,172.949997,453,171.021896
2013-04-11,172,172,170.350006,170.600006,83,168.698105
2013-04-12,170.649994,175,166.100006,170,363,168.104797
2013-04-15,166.100006,169.699997,164.800003,165.199997,611,163.358307
2013-04-16,162,167,160,163.449997,5826,161.627808
2013-04-17,166,169,164.100006,165.149994,206,163.308853
2013-04-18,168,171.5,164.5,165.550003,3648,163.704407
2013-04-22,165.550003,166,161.600006,163.75,1268,161.924469
2013-04-23,161,167,161,162,1526,160.193985
2013-04-25,162,174,161.899994,166.149994,5435,164.297714
2013-04-26,169,169.5,164,164.300003,1267,162.468338
2013-04-29,165,172.199997,163.149994,165.350006,659,163.506638
2013-04-30,165,171,162.699997,163.149994,502,161.331146
2013-05-02,163.149994,169.449997,163,163.75,1156,161.924469
2013-05-03,165.75,165.75,161.100006,162.649994,309,160.836731
2013-05-06,162.199997,166.100006,159,160.699997,1996,158.908463
2013-05-07,162,185,160,160.699997,1058,158.908463
2013-05-08,162.050003,166,162.050003,164.25,1359,162.4189
2013-05-09,161.149994,164.850006,161,161.100006,1222,159.304016
2013-05-10,162.850006,163.5,160,160.649994,1420,158.859024
2013-05-13,150,162.5,150,161.449997,1523,159.650101
2013-05-14,162.399994,162.399994,159,160.649994,341,158.859024
2013-05-15,160.100006,162,159.5,159.699997,2196,157.919617
2013-05-16,158.25,162,155,161.550003,2578,159.748993
2013-05-17,163.949997,165,160.050003,160.899994,2234,159.106232
2013-05-20,160.199997,162.449997,159.25,159.850006,2283,158.067947
2013-05-21,160,161,159,160.800003,1372,159.007355
2013-05-22,159,159.449997,155,155.100006,799,153.370911
2013-05-23,153.800003,155,148,150.5,4816,148.822189
2013-05-24,155,155,147.300003,148.949997,2385,147.289459
2013-05-27,148.199997,150.399994,144,145,1868,143.383499
2013-05-28,144.399994,145,140.25,141.350006,3013,139.7742
2013-05-29,143,143,126.050003,128.800003,9935,127.364105
2013-05-30,125,131,125,127.099998,5260,125.683052
2013-05-31,125,132,125,130.399994,18085,128.946259
2013-06-03,140,140,124.199997,126.550003,4735,125.139191
2013-06-04,125,127.199997,123.5,126,1462,124.595314
2013-06-05,124,134.949997,121,132.649994,5157,131.171173
2013-06-06,130,134.100006,125.150002,131.050003,3617,129.58902
2013-06-07,131.149994,150,131.100006,148.149994,12606,146.498383
2013-06-10,140.649994,150.949997,135.25,138.649994,624,137.104279
2013-06-11,136,139,125.650002,130.100006,1154,128.649612
2013-06-12,128,149,125,137.850006,1764,136.313217
2013-06-13,135,135,129,130.649994,408,129.193466
2013-06-14,125.550003,135,125.550003,129.100006,834,127.660767
2013-06-17,131,134,125,129.050003,15521,127.61132
2013-06-18,129,129,127.25,128.050003,100,126.622467
