"Date","TATAELXSI.NS.Open","TATAELXSI.NS.High","TATAELXSI.NS.Low","TATAELXSI.NS.Close","TATAELXSI.NS.Volume","TATAELXSI.NS.Adjusted"
2007-01-02,133.475006,136.199997,132.350006,133.949997,121036,76.063339
2007-01-03,134.5,139.949997,133.550003,138.5,265624,78.647064
2007-01-04,140,141.5,137.274994,137.824997,126718,78.263763
2007-01-05,138,139.5,133.350006,134,139666,76.091736
2007-01-08,135,135.75,131.850006,133.649994,61890,75.89299
2007-01-09,135.75,135.75,133.25,133.774994,66256,75.963966
2007-01-10,132.5,133.5,130,130.524994,48292,74.118462
2007-01-11,132.5,137.050003,132.300003,136.524994,96320,77.525558
2007-01-12,137.5,142.399994,135,137.024994,182950,77.809464
2007-01-15,138.949997,145.949997,138.850006,141.524994,205434,80.364815
2007-01-16,142.550003,144.5,140.149994,141.199997,67980,80.180244
2007-01-17,141.5,151.5,141.050003,145.024994,438166,82.352272
2007-01-18,152.5,159.899994,146.5,150.850006,1037490,85.659996
2007-01-19,152.5,153.5,145.800003,147.024994,184068,83.487968
2007-01-22,148.925003,150.800003,146.524994,148.425003,101736,84.282959
2007-01-23,145.5,156.925003,145,152.574997,391394,86.639526
2007-01-24,153.5,158.949997,152.5,153.899994,185558,87.391914
2007-01-25,155.25,156,149.274994,149.899994,113692,85.120529
2007-01-29,152.5,152.5,148,149.475006,81078,84.879204
2007-01-31,151.449997,158.5,151.449997,154.5,310260,87.732635
2007-02-01,155,156.5,151.050003,152,150122,86.313019
2007-02-02,153.5,154.25,149.550003,149.850006,103086,85.09214
2007-02-05,151.949997,152,150,150.324997,68582,85.361862
2007-02-06,151.25,152.050003,147.25,147.975006,144988,84.027435
2007-02-07,149.5,153.5,148,150.800003,174274,85.631592
2007-02-08,154.449997,154.449997,147.5,148.449997,117814,84.297165
2007-02-09,150,150,140.550003,141.574997,141660,80.393188
2007-02-12,145,145,130.5,134.425003,171566,76.333076
2007-02-13,134.5,138.449997,132,132.824997,221926,75.424522
2007-02-14,131.824997,134,131.125,132.25,64408,75.098
2007-02-15,137.975006,140.5,137.5,139.75,195936,79.35688
2007-02-19,143,150.5,140.5,147.274994,285112,83.629936
2007-02-20,147,148.5,140,141.524994,119504,80.364815
2007-02-21,143,146.850006,141.125,144.274994,63270,81.926376
2007-02-22,142.550003,152.399994,142.5,146,231616,82.90593
2007-02-23,147,149.925003,136.5,138.5,164484,78.647064
2007-02-26,140.75,144.975006,136.800003,143.725006,128218,81.614075
2007-02-27,144,149.25,133.850006,147.375,174306,83.686722
2007-02-28,144,144,130,137.100006,282978,77.852058
2007-03-01,137,147.350006,133,145.149994,264656,82.423241
2007-03-02,146.5,152.5,137.5,138,653864,78.363152
2007-03-05,136.5,136.5,128.5,130.625,188456,74.175247
2007-03-06,137.5,137.625,129.050003,132.350006,118794,75.154778
2007-03-07,136.5,136.5,130,134.100006,171844,76.148521
2007-03-08,135,139,130.649994,137.925003,80854,78.320549
2007-03-09,138,139.5,133.524994,137.875,121950,78.292152
2007-03-12,137.875,142.225006,133.824997,141.774994,115716,80.50676
2007-03-13,141,145.449997,141,142.449997,156842,80.89006
2007-03-14,140,141,129.649994,139.949997,50204,79.470436
2007-03-15,144.475006,144.475006,139,139.899994,86722,79.442039
2007-03-16,140,141.25,135.875,136.274994,41306,77.383583
2007-03-19,138,139.699997,137,139.199997,37714,79.044556
2007-03-20,139.5,144.125,138,139.975006,91142,79.484642
2007-03-21,140.5,142.399994,139.524994,140.800003,73748,79.953117
2007-03-22,142.375,145.449997,142.024994,142.824997,113870,81.102997
2007-03-23,144,149.475006,140.199997,147.824997,338004,83.942245
2007-03-26,148,151,142.699997,144.399994,81388,81.997368
2007-03-28,143.475006,149.5,137.75,139.475006,154142,79.200714
2007-03-29,141.5,144.5,139.5,142.449997,115412,80.89006
2007-03-30,146.5,146.5,141.550003,145.074997,125236,82.380661
2007-04-02,141.5,142.475006,137,137.425003,101200,78.036629
2007-04-03,139,141.399994,138.175003,140.675003,46890,79.882141
2007-04-04,147.425003,147.425003,141.550003,143.100006,49392,81.259171
2007-04-05,141.100006,144.5,141.100006,143.074997,40314,81.244965
2007-04-09,141.5,148.5,141.5,147.649994,85436,83.842873
2007-04-10,148,148,145.524994,146.625,57148,83.260834
2007-04-11,145.5,156.399994,145.5,151.699997,455090,86.142647
2007-04-12,152,152,147.649994,148.375,76192,84.254562
2007-04-13,149.125,160,149.125,157.475006,377550,89.421989
2007-04-16,160.699997,175,160,169.225006,918006,96.094215
2007-04-17,170,172,162,163,305048,92.559349
2007-04-18,165,170,163.550003,165.149994,213738,93.780235
2007-04-19,163.625,169.449997,153.800003,164.850006,169316,93.609879
2007-04-20,164,171.699997,164,165.699997,576028,94.092529
2007-04-23,166.5,166.5,157.5,159.675003,205180,90.671257
2007-04-24,160.875,163.5,158.475006,160.899994,127722,91.366867
2007-04-25,161.524994,163.5,155.199997,157.074997,223256,89.194847
2007-04-26,159.475006,160.175003,154.25,154.875,186062,87.945572
2007-04-27,155.25,157.25,153,154.425003,100766,87.690048
2007-04-30,155.75,160.5,152.25,158.350006,160176,89.918854
2007-05-03,155.350006,160.5,155.350006,157.824997,99820,89.620728
2007-05-04,159.75,166,155.524994,162.350006,255988,92.190239
2007-05-07,164.5,167.5,159.024994,160.524994,231422,91.153923
2007-05-08,161.5,163.449997,157.5,158.425003,140566,89.961433
2007-05-09,157.5,160.5,156.5,158.675003,105080,90.103409
2007-05-10,160.5,167.199997,157.524994,158.125,457490,89.791084
2007-05-11,154.5,161.25,154.5,159.375,88728,90.500908
2007-05-14,161,161.75,158.5,159.725006,62756,90.699661
2007-05-15,157.550003,165.149994,157.550003,158.800003,165294,90.174385
2007-05-16,158.5,164.899994,158.5,160.100006,180046,90.91259
2007-05-17,164.449997,165.899994,160.100006,161.699997,198202,91.821159
2007-05-18,162.5,164.949997,161.5,162.875,115362,92.488365
2007-05-21,165.875,165.875,160,160.324997,57466,91.040352
2007-05-22,161.324997,161.5,158,158.699997,60094,90.117599
2007-05-23,159.5,161.449997,158.375,158.600006,43364,90.060829
2007-05-24,158.050003,159.75,156.25,158.649994,63502,90.089195
2007-05-25,157.774994,164,157.75,162.625,137598,92.346413
2007-05-28,165.5,168.850006,160.75,164.574997,194862,93.45372
2007-05-29,164.125,182.399994,163.5,180.425003,1106514,102.454102
2007-05-30,180,180,168.050003,170.75,384348,96.960175
2007-05-31,173.300003,175.699997,170.75,172.875,150512,98.166862
2007-06-01,175.449997,175.449997,170.074997,172.625,72714,98.024887
2007-06-04,171.5,173.925003,171.5,172.800003,177546,98.124283
2007-06-05,172.5,174.899994,170.550003,173.524994,84928,98.53595
2007-06-06,172.550003,175,164.5,165.375,72072,93.907982
2007-06-07,158.600006,172.324997,158.600006,171.024994,132786,97.116333
2007-06-08,170,172.199997,167.625,170.024994,57778,96.548492
2007-06-11,170,172,168.5,170,97970,96.534286
2007-06-12,168.100006,171,160.25,165.375,117214,93.907982
2007-06-13,162.550003,170,162.550003,167.75,51752,95.256653
2007-06-14,170,172.5,168,169.949997,42158,96.505898
2007-06-15,172.425003,172.425003,166.050003,167.399994,18830,95.057899
2007-06-18,171.949997,171.949997,167.25,168.199997,15744,95.512177
2007-06-19,166.625,169.75,164,166.074997,33026,94.305489
2007-06-20,168,168.449997,164.5,165.199997,25638,93.808624
2007-06-21,166.449997,166.899994,163.050003,164,55434,93.127213
2007-06-22,164.824997,171.199997,163.574997,166.949997,86396,94.802361
2007-06-25,167.5,170,162.550003,165.899994,44850,94.206108
2007-06-26,169.449997,169.449997,165,168.774994,63714,95.838669
2007-06-27,166,172.399994,166,169.725006,35718,96.378151
2007-06-28,171.5,172.5,167.524994,167.975006,41898,95.384399
2007-06-29,165.050003,170.449997,165,168.300003,59392,95.568954
2007-07-02,168.949997,176.5,166.875,172.850006,134554,98.152664
2007-07-03,173,176.5,171,171.5,153430,97.386055
2007-07-04,171.5,173,168.5,170.149994,73634,96.619476
2007-07-05,169,171.25,164.550003,165.425003,87506,93.936378
2007-07-06,166.550003,169.449997,163.5,164.449997,72446,93.382729
2007-07-09,165.5,170.199997,164.5,168.074997,126252,95.441193
2007-07-10,169.449997,171,167.100006,170.550003,74322,96.846603
2007-07-11,169,171.5,167.5,170.399994,142986,96.761444
2007-07-12,169.75,172.5,167.824997,171.5,59398,97.386055
2007-07-13,169.449997,170.875,164.574997,166.324997,145064,98.466484
2007-07-16,167.300003,167.300003,163.125,164.199997,41078,97.208466
2007-07-17,167.375,167.375,163,163.350006,28850,96.705254
2007-07-18,163.25,166.699997,162.5,165.824997,55788,98.170494
2007-07-19,166.899994,166.899994,163,163.5,19372,96.794052
2007-07-20,167.5,167.5,160,162.800003,25836,96.379646
2007-07-23,161.5,163.475006,160.5,162.649994,63720,96.290848
2007-07-24,163,163,154.5,156.5,97112,92.649963
2007-07-25,156,156.5,150,152.149994,35498,90.074715
2007-07-26,154,156.425003,152.5,154.175003,30700,91.273537
2007-07-27,141.199997,154.225006,141.199997,147.074997,254750,87.070229
2007-07-30,143.125,147.25,142.5,144.024994,31040,85.26461
2007-07-31,149.25,149.25,144,148.074997,62966,87.662262
2007-08-01,148.25,152.5,144,147.824997,111896,87.514252
2007-08-02,152,153.25,145.5,150.800003,70184,89.27549
2007-08-03,155,155,150.5,151.425003,27124,89.6455
2007-08-06,147.5,152.5,143,150.024994,311756,88.816681
2007-08-07,152.149994,155,144.524994,145.800003,328598,86.315422
2007-08-08,148,152.75,148,151.324997,82658,89.586304
2007-08-09,154.399994,156.5,148.5,152.824997,118334,90.474327
2007-08-10,148,156.625,146.074997,153.475006,203592,90.859123
2007-08-13,154.5,155,149.5,153.675003,36030,90.977524
2007-08-14,154,160,154,156.649994,71756,92.738762
2007-08-16,149.5,156,143.25,154.25,49046,91.317932
2007-08-17,153.5,154.5,151.625,152.699997,63802,90.400314
2007-08-20,157.350006,158.925003,147.5,148.524994,52800,87.928665
2007-08-21,152,152,144.199997,145.074997,107264,85.88623
2007-08-22,144.5,147.475006,141.274994,145.25,27346,85.989815
2007-08-23,148.949997,148.949997,144,145,43620,85.841812
2007-08-24,145,145,142.100006,143.475006,11296,84.939011
2007-08-27,148.324997,149.449997,144.75,148.475006,32038,87.899063
2007-08-28,147.5,148.5,145.125,148.100006,14796,87.677071
2007-08-29,144,147.975006,143.024994,146.625,20556,86.803841
2007-08-30,148,149,145.649994,147.225006,26206,87.159058
2007-08-31,148.5,160.800003,148,156.699997,219888,92.768372
2007-09-03,157.800003,158.475006,154.350006,156.774994,57776,92.812767
2007-09-04,153.5,158.5,146,158.074997,36192,93.582382
2007-09-05,159.449997,159.5,153,154.074997,21944,91.214333
2007-09-06,155,158,153.050003,157.675003,23138,93.345596
2007-09-07,155.5,158.5,154.625,158.199997,72864,93.656387
2007-09-10,153.5,160.5,153.5,157.975006,47294,93.523186
2007-09-11,159.225006,159.949997,156,159.324997,30288,94.322403
2007-09-12,135,162.5,135,159.600006,40050,94.485214
2007-09-13,158.25,160,157,157.824997,14336,93.434387
2007-09-14,157,159.625,155.524994,156.550003,20970,92.679558
2007-09-17,157,157.5,153.149994,153.625,27142,90.947929
2007-09-18,152.574997,156,149.5,151.899994,41372,89.926704
2007-09-19,155,156,151,152.024994,28548,90.000702
2007-09-20,152.024994,153.5,148.050003,149.375,61120,88.431885
2007-09-21,149,152.5,147.125,149,86838,88.209869
2007-09-24,150,150,146,146,52988,86.433838
2007-09-25,145.649994,148,145.125,147.074997,34842,87.070229
2007-09-26,147.449997,150.875,146,146.850006,64762,86.937035
2007-09-27,148.949997,148.949997,145.600006,146.774994,66412,86.892639
2007-09-28,153.5,155.5,149,150.625,87634,89.171898
2007-10-01,152.399994,152.399994,149,150,28724,88.801872
2007-10-03,141.725006,159.449997,120.025002,157.225006,188562,93.07917
2007-10-04,155.949997,157.5,153.125,154.899994,50688,91.702751
2007-10-05,156,156.975006,152.5,153.574997,34278,90.918312
2007-10-08,154.949997,154.949997,147,147.800003,20588,87.499466
2007-10-09,146.100006,152.5,146,149.024994,32318,88.224678
2007-10-10,151.5,152.5,148,149.050003,32782,88.239471
2007-10-11,154,167.5,147.5,147.975006,38856,87.603065
2007-10-12,146,150,141,146.75,32946,86.877831
2007-10-15,143.350006,150.949997,143.350006,147.274994,43566,87.188644
2007-10-16,150.5,150.5,141.399994,142.074997,81742,84.110191
2007-10-17,134.5,147.5,122.5,142.675003,31818,84.465408
2007-10-18,145,147,140.024994,140.975006,42978,83.458977
2007-10-19,137.774994,141.824997,137.5,139.600006,19272,82.644958
2007-10-22,137.600006,140.949997,135,137.100006,26350,81.164917
2007-10-23,140,141,137.5,139,27458,82.289734
2007-10-24,147.5,147.5,140,143.725006,44926,85.087006
2007-10-25,143.274994,145,140.149994,142.899994,15794,84.598595
2007-10-26,143,149.949997,140.524994,144.875,60262,85.767815
2007-10-29,146,149.324997,142.5,144.899994,54356,85.782631
2007-10-30,144.949997,144.949997,137.024994,137.475006,231296,81.386925
2007-10-31,137,137,126.349998,128.524994,259466,76.088409
2007-11-01,131.100006,132.5,127.5,127.75,61616,75.629608
2007-11-02,124.974998,127,124.550003,125.824997,40050,74.489983
2007-11-05,124.75,125.5,118.324997,123.224998,48270,72.950752
2007-11-06,122.099998,126,122,123.474998,72634,73.09874
2007-11-07,125.449997,125.449997,120,124.650002,64648,73.794373
2007-11-08,122.5,124,119.75,120.275002,36904,71.20433
2007-11-12,122.099998,122.099998,117.25,118.5,74796,70.153496
2007-11-13,120,120.949997,118.675003,119.150002,33878,70.5383
2007-11-14,122.5,123.5,116,117.449997,56950,69.531876
2007-11-15,120.5,121.5,116,118,59176,69.857483
2007-11-16,116,121,115.625,118.550003,34860,70.18309
2007-11-19,120.75,120.75,118.550003,119.5,33328,70.745499
2007-11-20,119.5,124.699997,119.5,122.5,69094,72.521538
2007-11-21,122.5,124,117.5,118.849998,32524,70.360672
2007-11-22,121,121,117.550003,119.5,24126,70.745499
2007-11-23,121.050003,122.5,119,121.425003,37694,71.885124
2007-11-26,123.474998,123.849998,118,118.875,38446,70.375488
2007-11-27,122,122,118.349998,119,13960,70.449501
2007-11-28,122.5,125.574997,118.574997,123.074997,66912,72.861938
2007-11-29,124.974998,125.474998,123,124,40006,73.409561
2007-11-30,123,131.5,123,131,604540,77.553642
2007-12-03,130,139.975006,130,132.600006,144804,78.500862
2007-12-04,133.5,136.225006,125.800003,129.475006,80252,76.650833
2007-12-05,129.475006,151.975006,128.050003,141.899994,495058,84.006577
2007-12-06,142.824997,145,130.574997,134.824997,190008,79.818092
2007-12-07,134.375,139.949997,133.5,137.100006,218814,81.164917
2007-12-10,132.524994,141.675003,132.524994,135.25,77608,80.069695
2007-12-11,137,137,133.300003,134.199997,52112,79.448082
2007-12-12,134,136,127.5,131.975006,82022,78.130852
2007-12-13,134.949997,136.649994,130.5,132.225006,61010,78.27887
2007-12-14,135.899994,135.899994,130.5,131.725006,42220,77.982857
2007-12-17,131.5,132.75,126,127.349998,67966,75.392799
2007-12-18,130.475006,130.475006,122.550003,124,71506,73.409561
2007-12-19,126.650002,127.449997,119.5,120.550003,78032,71.367111
2007-12-20,123,127,120,122.650002,104270,72.610344
2007-12-24,128,128,123.775002,124.974998,65858,73.986771
2007-12-26,128,132.199997,126.175003,130.550003,116954,77.287231
2007-12-27,131.25,139.5,131,137.925003,139848,81.653336
2007-12-28,136.949997,139.75,130,135.925003,51142,80.469307
2007-12-31,140,141,136.449997,138.824997,78252,82.186134
2008-01-01,139,143.850006,135.5,141.024994,163760,83.488564
2008-01-02,144,144.5,135.524994,141.175003,298946,83.577377
2008-01-03,142,150,140,147.125,301574,87.099846
2008-01-04,152,155.5,147,149.475006,380480,88.491089
2008-01-07,149,150.050003,140.399994,144.324997,59120,85.442215
2008-01-08,145,147,135,136.675003,96962,80.913315
2008-01-09,135.5,138.899994,134.574997,135.925003,67554,80.469307
2008-01-10,137.949997,140,132.5,133.725006,42780,79.166878
2008-01-11,135.175003,135.175003,127.050003,128.199997,76796,75.896004
2008-01-14,130.050003,132.75,128.5,130.475006,30996,77.242836
2008-01-15,131.550003,132,128.5,129.75,22602,76.813644
2008-01-16,130,131,125,127.474998,26592,75.466789
2008-01-17,132.475006,132.475006,127.550003,130.300003,31178,77.139236
2008-01-18,127.525002,129.975006,125.125,126,20462,74.593582
2008-01-21,123.050003,126.5,105.199997,112.275002,51596,66.468208
2008-01-22,102.949997,102.949997,87.5,96.525002,46382,57.144005
2008-01-23,103,113.474998,97.574997,99.925003,60794,59.156853
2008-01-24,108.849998,112.5,102.5,103.300003,53638,61.1549
2008-01-25,109.974998,109.974998,99,103.400002,71880,61.2141
2008-01-28,104.5,106.550003,100,104.775002,22958,62.028122
2008-01-29,107,107.550003,100.5,106.199997,29048,62.871731
2008-01-30,105.25,106.5,100.625,101.574997,21058,60.133675
2008-01-31,106.974998,106.974998,98,99.800003,60464,59.082851
2008-02-01,98.525002,104.449997,98.25,102.5,74636,60.681286
2008-02-04,111.5,111.5,103.550003,107.449997,31486,63.611744
2008-02-05,104,109,104,107.025002,18486,63.360146
2008-02-06,101,105.5,101,104.324997,24888,61.761711
