"Date","TATAGLOBAL.NS.Open","TATAGLOBAL.NS.High","TATAGLOBAL.NS.Low","TATAGLOBAL.NS.Close","TATAGLOBAL.NS.Volume","TATAGLOBAL.NS.Adjusted"
2007-01-02,72.5,72.800003,71.610001,71.739998,535880,21.676455
2007-01-03,72.400002,72.690002,71.400002,71.639999,1625510,21.646235
2007-01-04,72,72.190002,71.099998,71.620003,480360,21.640196
2007-01-05,71.010002,72.5,71.010002,72.285004,832920,21.841127
2007-01-08,73,73,71.199997,71.705002,840380,21.665876
2007-01-09,71.040001,73.209999,71.040001,72.595001,1587290,21.934795
2007-01-10,72.75,73.279999,72,72.379997,1359200,21.869827
2007-01-11,72.5,72.695,71.400002,72.404999,480140,21.877386
2007-01-12,72.985001,73.699997,72.32,72.690002,683470,21.963499
2007-01-15,73.400002,73.400002,72.709999,72.894997,206330,22.025438
2007-01-16,72.900002,73.599998,72.169998,72.904999,239700,22.028463
2007-01-17,72.029999,73.105003,72.029999,72.794998,608390,21.995224
2007-01-18,72.900002,73.184998,72.510002,72.989998,293710,22.054144
2007-01-19,72.07,73.300003,72.07,72.474998,224510,21.898535
2007-01-22,72.474998,73.599998,71.75,72.915001,535640,22.031485
2007-01-23,71.029999,73.599998,71.029999,72.529999,238600,21.915152
2007-01-24,71.805,73,71.805,72.875,185970,22.019398
2007-01-25,72.199997,73.195,71.105003,71.675003,2229400,21.656811
2007-01-29,72,73,71.449997,71.57,835670,21.625086
2007-01-31,71.5,72.900002,71.029999,71.355003,330430,21.560123
2007-02-01,71.535004,73.040001,71.5,72.559998,1085030,21.924217
2007-02-02,73.199997,73.400002,71.614998,72.224998,885260,21.822998
2007-02-05,71.504997,72.589996,71.504997,72.120003,272190,21.791273
2007-02-06,71.400002,72.839996,71.199997,71.540001,424290,21.616024
2007-02-07,71.5,71.5,70.224998,70.510002,1869580,21.304806
2007-02-08,70.010002,70.5,69.099998,69.510002,1294170,21.002651
2007-02-09,69.800003,69.800003,68.099998,68.294998,507760,20.635536
2007-02-12,68.974998,68.974998,66.150002,66.730003,476540,20.162666
2007-02-13,66.099998,68.400002,65.209999,67.830002,1026810,20.495035
2007-02-14,67,67.830002,65.510002,67.059998,334130,20.262375
2007-02-15,68.400002,68.400002,65.720001,67.605003,730980,20.42705
2007-02-19,68.300003,68.900002,67.209999,67.385002,258400,20.360575
2007-02-20,67.290001,68.195,66.199997,66.495003,751360,20.091661
2007-02-21,67,69.400002,65.165001,67.525002,1471610,20.402882
2007-02-22,67.75,69.400002,65.025002,65.824997,1091710,19.889217
2007-02-23,65.5,66.885002,64.699997,65,384480,19.639942
2007-02-26,65,66.279999,63.5,65.684998,413780,19.846918
2007-02-27,68,68,63.41,63.665001,694160,19.236568
2007-02-28,61.599998,63.900002,60.599998,61.799999,911240,18.673048
2007-03-01,60.630001,61.799999,59.950001,60.994999,691100,18.429821
2007-03-02,60.5,61.98,59,59.709999,959570,18.041555
2007-03-05,59,60,56,56.869999,1096890,17.183441
2007-03-06,57.5,59,57.110001,57.549999,1873960,17.388901
2007-03-07,57.224998,58.900002,56.5,57.200001,739900,17.283152
2007-03-08,56.700001,59.5,56.060001,58.735001,959700,17.746956
2007-03-09,59,59.5,56.060001,58.970001,525300,17.817957
2007-03-12,59.5,60.764999,58,59.935001,554240,18.109537
2007-03-13,59.935001,61.705002,59.035,61.455002,299680,18.56881
2007-03-14,58.099998,61.490002,55.529999,61.105,523590,18.463055
2007-03-15,61.5,62.395,58.099998,61.759998,581490,18.660967
2007-03-16,61.5,61.849998,59.985001,60.59,623450,18.307446
2007-03-19,60.700001,63.299999,60.700001,62.709999,1039050,18.948013
2007-03-20,63.200001,67.239998,63,63.209999,762440,19.099089
2007-03-21,63.325001,63.584999,62.299999,62.98,368140,19.029594
2007-03-22,63.005001,63.77,61.514999,62.695,344290,18.943478
2007-03-23,64.599998,64.599998,61.099998,62.595001,307580,18.913263
2007-03-26,62.134998,62.695,61.525002,62.275002,193340,18.816578
2007-03-28,59.785,62.705002,59.785,61.5,737020,18.582409
2007-03-29,61,61.419998,59.525002,60.075001,1204830,18.15184
2007-03-30,60.200001,61.189999,58.619999,60.735001,705590,18.351259
2007-04-02,60,60.400002,58.134998,59.360001,169020,17.935801
2007-04-03,59.5,61,57.299999,59.91,223470,18.101982
2007-04-04,60.169998,60.799999,59.5,60.595001,239090,18.30896
2007-04-05,60.110001,61.900002,59.099998,61.474998,447830,18.57485
2007-04-09,61.400002,63.080002,60.709999,62.240002,795350,18.806002
2007-04-10,61.700001,62.5,61.099998,62,261130,18.733482
2007-04-11,61.305,63.849998,57.740002,63.384998,817660,19.151966
2007-04-12,63.389999,64.489998,61.599998,63.235001,1009740,19.106642
2007-04-13,62.599998,64.599998,62.099998,64.055,653450,19.354406
2007-04-16,64.800003,66.775002,64.800003,66.370003,1061080,20.05389
2007-04-17,66.5,69.400002,65.699997,67.555,1126820,20.411942
2007-04-18,68,68.989998,66.199997,67.805,698830,20.487482
2007-04-19,66.709999,69,66.099998,68.540001,576790,20.709564
2007-04-20,68.900002,69.400002,67.239998,67.620003,997140,20.431585
2007-04-23,66.714996,68.995003,66.599998,67.864998,594740,20.505611
2007-04-24,67.214996,68.5,65.135002,67.434998,503840,20.375685
2007-04-25,66.629997,78.245003,66.514999,77.285004,9683070,23.351892
2007-04-26,82.5,82.5,77.699997,79.135002,12479050,23.910877
2007-04-27,79.5,79.5,76.629997,77.035004,1899840,23.276354
2007-04-30,76.099998,81.400002,75.599998,77.610001,3932650,23.450092
2007-05-03,78,80.099998,77,77.644997,3792230,23.460665
2007-05-04,78.449997,78.650002,75.665001,75.970001,1067190,22.954561
2007-05-07,76.400002,77.099998,74.400002,76.230003,1765480,23.033121
2007-05-08,76.300003,77.5,74.739998,76.160004,959250,23.011971
2007-05-09,76.099998,78.589996,75.709999,77.445,1375590,23.400236
2007-05-10,77.510002,79.150002,76.730003,77.669998,1239470,23.468224
2007-05-11,74.995003,78.964996,70.529999,77.980003,1060890,23.56189
2007-05-14,87.199997,87.199997,77.714996,79.610001,2136850,24.054396
2007-05-15,78.730003,82.5,78.5,82.315002,5210720,24.871723
2007-05-16,82.5,83.089996,81.209999,81.495003,3517000,24.623957
2007-05-17,81.5,83.989998,80.110001,83.595001,3496130,25.258472
2007-05-18,83.010002,85.480003,82.800003,84.190002,2630990,25.438261
2007-05-21,84.410004,85.5,82.410004,84.139999,2269940,25.423147
2007-05-22,83.730003,88.599998,83.199997,87.885002,5070360,26.554712
2007-05-23,94.970001,94.970001,86.614998,87.485001,6727940,26.433851
2007-05-24,87.5,89.099998,86.699997,88.25,3578890,26.664999
2007-05-25,88,94.099998,86.010002,91.514999,12537480,27.651529
2007-05-28,102.150002,102.150002,93.105003,93.5,13239380,28.251299
2007-05-29,94,94,90.900002,91.120003,3360360,27.532177
2007-05-30,90.800003,90.900002,87.025002,87.68,4119060,26.492773
2007-05-31,89.5,92.900002,89,92.029999,9470980,27.807135
2007-06-01,94,97.489998,93.724998,95.245003,10602430,28.778555
2007-06-04,95.199997,95.964996,90.699997,91.235001,4027350,27.566923
2007-06-05,90.025002,91.5,88.709999,89.364998,3021440,27.001898
2007-06-06,91.599998,91.599998,84.010002,85.154999,6107040,25.729837
2007-06-07,84.099998,86.5,82.099998,84.224998,3148520,25.448835
2007-06-08,84.099998,85.5,82.099998,83.035004,1887340,25.089273
2007-06-11,85.5,85.5,80.709999,81.230003,1425050,24.543884
2007-06-12,82,83.480003,80.900002,83.07,2545270,25.099846
2007-06-13,83.099998,83.190002,80.605003,81.025002,815160,24.481945
2007-06-14,82.050003,82.949997,81.199997,81.675003,1379230,24.678345
2007-06-15,82.75,82.915001,81.099998,81.595001,1334600,24.654171
2007-06-18,82.5,82.5,80,80.370003,1012720,24.284039
2007-06-19,80.5,81.800003,79.82,81.345001,1091020,24.57863
2007-06-20,82.599998,83.235001,81.029999,82.529999,1660030,24.936682
2007-06-21,82.529999,84.599998,82.300003,84.105003,1621390,25.412575
2007-06-22,84.400002,84.970001,82.900002,83.110001,1878920,25.111929
2007-06-25,83.110001,84.099998,81.110001,82.139999,728130,24.818844
2007-06-26,81.800003,82.300003,80.635002,81.834999,2519630,24.726686
2007-06-27,81.300003,83.345001,80.364998,82.410004,1368240,24.900425
2007-06-28,83.599998,84.5,82.5,83.555,2265810,25.246389
2007-06-29,84.059998,86.099998,83.800003,85.714996,2792630,25.899046
2007-07-02,85.910004,87,84,85.455002,1945150,25.820484
2007-07-03,86,87.5,85.5,86.5,1067380,26.136232
2007-07-04,86.669998,87,85,86.004997,1053500,25.986662
2007-07-05,85.330002,86.400002,83.099998,84.474998,1028060,25.524366
2007-07-06,83.065002,86.5,83.065002,84.410004,2767670,25.504732
2007-07-09,84,85.980003,83.360001,85.214996,814250,25.747965
2007-07-10,84.610001,85.595001,84.125,85.014999,1067750,25.687532
2007-07-11,83.900002,85.900002,83.154999,84.745003,1214130,25.605953
2007-07-12,84.900002,86.894997,84.105003,85.75,1697970,25.909613
2007-07-13,87,88.199997,86.025002,86.455002,2264590,26.122633
2007-07-16,86.800003,87.489998,84.974998,85.425003,2179710,25.811417
2007-07-17,86.199997,86.800003,82,82.269997,1781870,24.858122
2007-07-18,82,82.099998,78,78.415001,3350290,23.693325
2007-07-19,78.5,79.5,77.230003,77.940002,2544590,23.549803
2007-07-20,78.199997,79.400002,76.800003,77.425003,2375060,23.394194
2007-07-23,76.419998,76.875,75.449997,75.800003,1940980,28.406565
2007-07-24,76,77.900002,75.029999,77.025002,2351950,28.865641
