"Date","TATAMTRDVR.NS.Open","TATAMTRDVR.NS.High","TATAMTRDVR.NS.Low","TATAMTRDVR.NS.Close","TATAMTRDVR.NS.Volume","TATAMTRDVR.NS.Adjusted"
2008-11-05,43.47,77.826,43.47,47.619999,35770,32.919155
2008-11-06,60.756,69.392,60.756,43.860001,220,30.31991
2008-11-07,66.253,75.714,52.091,48.200001,1250,33.320099
2008-11-10,79.562,82.744,60.901,47.68,2505,32.960632
2008-11-11,77.247,81.008,65.255,51.720001,450,35.753433
2008-11-12,63.649,80.719,63.649,55.68,365,38.490936
2008-11-17,77.826,78.086,65.443,45.240002,130,31.273891
2008-11-18,55.086,57.892,53.017,36.650002,365,25.335722
2008-11-19,46.927,48.894,46.29,32.48,160,22.453047
2008-11-21,44.554,46.29,44.554,31.51,180,21.782497
2008-11-26,46.29,47.448,41.083,32.799999,230,22.674257
2008-11-28,43.397,43.397,43.397,30,5,20.738651
2008-12-01,47.448,47.448,47.448,32.799999,20,22.674257
2008-12-02,47.448,47.448,47.448,32.799999,5,22.674257
2008-12-04,52.077,52.077,42.819,29.6,55,20.462137
2008-12-12,40.793,47.086,40.793,32.549999,20,22.501438
2008-12-16,49.184,49.184,42.674,29.5,100,20.393007
2008-12-17,38.508,40.649,38.508,28.1,80,19.425203
2008-12-18,40.649,40.649,40.649,28.1,5,19.425203
2008-12-26,42.833,42.833,42.833,29.610001,15,20.469049
2008-12-31,38.869,38.869,38.869,26.870001,10,18.574921
2009-01-06,38.725,38.725,38.725,26.77,5,18.505793
2009-01-12,35.571,35.571,35.571,24.59,15,16.998779
2009-01-15,35.89,35.89,35.89,24.809999,5,17.150866
2009-01-16,32.794,32.794,32.794,22.67,25,15.671509
2009-01-19,31.246,36.078,31.246,24.940001,120,17.24073
2009-01-20,39.694,39.694,39.694,27.440001,5,18.968954
2009-01-21,43.672,43.672,43.672,30.190001,5,20.869995
2009-01-22,48.026,48.026,48.026,33.200001,225,22.950773
2009-01-23,46.001,50.428,45.712,34.860001,120,24.098312
2009-01-27,48.026,52.945,47.911,36.400002,325,25.162899
2009-02-03,55.288,55.288,50.023,34.580002,55,23.904755
2009-02-19,50.023,50.023,50.023,34.580002,25,23.904755
2009-02-24,47.737,47.737,47.737,33,45,22.812515
2009-02-25,45.712,45.712,45.712,31.6,15,21.844713
2009-02-27,45.712,45.712,45.712,31.6,10,21.844713
2009-03-02,45.712,45.712,45.712,31.6,80,21.844713
2009-03-16,47.997,47.997,47.997,33.18,20,22.936947
2009-03-18,47.997,49.184,47.997,34,115,23.503807
2009-03-19,46.869,46.869,46.869,32.400002,20,22.397745
2009-03-20,49.184,49.184,49.184,34,15,23.503807
2009-03-23,50.63,50.63,50.63,35,25,24.195095
2009-03-24,50.702,50.702,50.702,35.049999,50,24.229658
2009-03-25,48.316,48.316,48.316,33.400002,5,23.089035
2009-03-26,48.316,48.316,48.316,33.400002,10,23.089035
2009-03-27,48.316,48.316,48.316,33.400002,10,23.089035
2009-04-09,50.731,50.731,50.731,35.07,95,24.243483
2009-04-13,53.277,53.277,53.277,36.830002,500,25.460154
2009-04-15,55.953,55.953,55.953,38.68,65,26.739035
2009-04-16,58.76,58.76,58.76,40.619999,85,28.080135
2009-04-20,61.711,61.711,61.711,42.66,20,29.490366
2009-04-22,64.807,64.807,62.203,43,2085,29.725403
2009-04-27,59.758,59.758,59.758,41.310001,20,28.557123
2009-04-28,57.892,58.659,57.892,40.549999,60,28.031744
2009-04-29,57.863,57.906,57.863,40.029999,90,27.672272
2009-05-04,57.863,60.814,57.863,42.040001,405,29.061764
2009-05-05,62.232,63.707,62.232,44.040001,50,30.444342
2009-05-06,66.542,66.542,66.542,46,70,31.799265
2009-05-07,65.096,69.87,63.722,46.200001,225,31.937525
2009-05-08,66.542,69.421,66.542,47.990002,55,33.174931
2009-05-11,67.121,67.121,67.121,46.400002,5,32.075783
2009-05-19,67.121,70.477,67.121,48.720001,20,33.679569
2009-05-20,74.007,74.007,74.007,51.16,5,35.366314
2009-05-21,77.696,77.696,77.696,53.709999,10,37.129097
2009-05-22,81.587,81.587,81.587,56.400002,25,38.988667
2009-05-25,85.666,85.666,85.666,59.220001,35,40.938099
2009-05-29,81.384,85.637,81.384,59.200001,95,40.924274
2009-06-01,85.348,89.919,82.455,61,12315,42.168591
2009-06-02,84.191,92.002,84.191,58.43,240,40.391979
2009-06-03,88.733,88.733,87.952,61,2635,42.168591
2009-06-04,92.581,92.581,88.241,62,125,42.859882
2009-06-05,92.581,92.581,92.581,64,275,44.242458
2009-06-08,88.241,92.581,88.241,61.360001,505,42.417458
2009-06-09,86.505,86.505,86.505,59.799999,80,41.339046
2009-06-10,82.802,82.802,82.802,57.240002,10,39.569351
2009-06-11,78.983,78.983,78.983,54.599998,5,37.744347
2009-06-12,81.601,82.136,81.601,56.779999,90,39.251358
2009-06-16,80.878,80.878,80.14,55.790001,270,38.566978
2009-06-17,78.115,81.008,78.115,56,45,38.712151
2009-06-18,78.115,78.115,78.115,54,25,37.329575
2009-06-19,78.115,81.008,78.115,56,155,38.712151
2009-06-22,78.173,78.173,78.173,54.040001,5,37.357227
2009-06-23,79.851,79.851,79.851,55.200001,115,38.159122
2009-06-24,81.442,81.442,81.442,56.299999,5,38.919533
2009-06-25,83.901,85.521,83.033,59.09,365,40.848232
2009-06-26,83.901,83.901,81.5,58,60,40.094727
2009-06-29,80.198,80.198,80.198,55.439999,55,38.325027
2009-06-30,80.43,83.974,77.247,53.400002,565,36.914799
2009-07-01,81.008,81.008,73.775,53,300,36.638283
2009-07-02,73.775,73.775,73.775,51,5,35.255711
2009-07-03,74.383,77.247,74.383,53.400002,10,36.914799
2009-07-07,73.79,73.79,73.79,51.009998,50,35.262615
2009-07-08,72.054,77.392,72.054,53.5,555,36.983929
2009-07-09,77.392,77.392,77.392,53.5,5,36.983929
2009-07-10,73.79,73.79,73.775,51,95,35.255711
2009-07-13,72.329,72.329,70.593,48.799999,240,33.734871
2009-07-14,68.061,68.061,68.061,47.049999,250,32.52512
2009-07-15,71.475,71.475,71.475,49.41,60,34.156563
2009-07-16,75.048,75.048,75.048,51.880001,45,35.864044
2009-07-21,80.444,82.455,80.444,57,180,39.403439
2009-07-22,82.513,82.787,82.513,57.040001,105,39.431091
2009-07-23,86.563,86.577,82.773,57.220001,55,39.555523
2009-07-24,82.469,86.925,82.469,60.060001,65,41.518784
2009-07-27,86.52,86.52,86.52,59.810001,50,41.345963
2009-07-28,88.82,90.845,88.82,62.599998,145,43.274651
2009-07-29,92.581,92.581,91.163,64,360,44.242458
2009-07-30,97.21,97.21,89.774,67.199997,11525,46.454578
2009-08-03,101.26,102.692,97.239,70,46800,48.39019
2009-08-04,101.26,102.967,97.21,70,132215,48.39019
2009-08-05,103.256,103.256,98.078,67.800003,45665,46.869358
2009-08-06,101.231,101.231,94.027,65,44435,44.933746
2009-08-07,91.8,92.595,89.355,63.779999,53770,44.090374
2009-08-10,88.516,88.516,87.677,60.610001,100,41.898994
2009-08-11,89.254,91.12,87.807,62.990002,225,43.544262
2009-08-12,87.373,92.87,87.373,63,880,43.55117
2009-08-13,89.977,95.691,89.977,65.099998,1990,45.002876
2009-08-14,90.281,95.329,90.281,63.07,1170,43.59956
2009-08-17,87.388,87.662,87.388,60.599998,55,41.892078
2009-08-18,87.662,90.845,84.48,60.009998,140,41.484215
2009-08-20,88.241,91.149,86.823,62.889999,2795,43.475128
2009-08-21,87.084,92.002,87.084,61.84,210,42.749279
2009-08-24,93.449,93.941,91.134,64.82,1995,44.809315
2009-08-25,92.595,98.382,92.595,67.379997,13860,46.579006
2009-08-26,98.353,99.814,97.297,67.989998,36700,47.000702
2009-08-27,93.81,101.839,93.81,69,1037460,47.698898
2009-08-28,102.692,102.692,97.514,70.330002,69660,48.618313
2009-08-31,104.139,106.757,102.128,73.019997,5882080,50.477875
2009-09-01,105.889,110.923,105.6,76.610001,1660700,52.959599
2009-09-02,112.833,115.726,111.676,79.629997,586480,55.047295
2009-09-03,118.619,120.051,116.377,80.809998,601335,55.86301
2009-09-04,116.594,118.59,116.015,81,36915,55.994362
2009-09-07,116.912,123.031,116.912,84.519997,905085,58.4277
2009-09-08,125.852,126.98,122.38,85.57,107735,59.153553
2009-09-09,127.27,127.27,120.384,83.769997,43325,57.909229
2009-09-10,125.244,125.244,121.556,85.589996,409440,59.167374
2009-09-11,127.588,127.588,120.124,84.809998,41975,58.628166
2009-09-14,122.973,123.523,120.355,85.029999,14705,58.780254
2009-09-15,123.234,124.405,120.934,85.830002,8760,59.333286
2009-09-16,127.877,127.877,122.959,87.010002,811390,60.149002
2009-09-17,128.731,128.745,125.273,87.040001,650095,60.169743
2009-09-18,125.866,127.299,124.724,86.730003,237880,59.955444
2009-09-22,125.852,128.456,124.405,86.879997,288680,60.059132
2009-09-23,125.852,127.299,125.852,87.459999,4989595,60.460079
2009-09-24,126.691,127.212,125.36,87.300003,46430,60.349476
2009-09-25,126.141,128.731,124.405,86.32,14605,59.672012
2009-09-29,128.456,128.456,125.852,87.589996,9670,60.54995
2009-09-30,124.984,127.009,124.984,86.989998,54205,60.135178
2009-10-01,125.852,127.863,125.273,87.019997,2462105,60.155914
2009-10-05,125.273,125.519,122.988,86.169998,426635,59.568317
2009-10-06,125.823,125.823,122.959,85.75,3007270,59.277981
2009-10-07,124.55,125.852,123.248,86.260002,2176325,59.630539
2009-10-08,125.013,131.031,125.013,89.620003,1409960,61.953266
2009-10-09,131.638,131.638,123.653,85.480003,38375,59.091331
2009-10-12,123.537,125.187,120.934,85.339996,37335,58.99456
2009-10-14,123.87,127.877,123.87,87.900002,404860,60.764259
2009-10-15,127.299,127.299,124.405,87.260002,1130125,60.321831
2009-10-16,131.595,131.595,124.116,87.220001,21070,60.294178
2009-10-20,124.405,128.745,124.405,88.300003,38860,61.040771
2009-10-21,131.306,131.306,122.424,85.540001,16810,59.132816
2009-10-22,126.691,126.691,117.563,82.919998,73435,57.321632
2009-10-23,124.666,124.666,118.677,82.75,5130,57.204121
2009-10-26,123.783,124.42,118.908,84.639999,62345,58.510647
2009-10-27,124.405,128.166,122.959,86.389999,51705,59.720402
2009-10-28,122.988,128.528,119.299,87.720001,38055,60.63982
2009-10-29,123.248,125.852,121.295,86.199997,344535,59.589058
2009-10-30,127.183,129.613,123.075,87.610001,14900,60.563782
2009-11-03,120.644,129.83,120.644,86.529999,111025,59.817188
2009-11-04,123.697,127.255,123.176,87.699997,40425,60.625984
2009-11-05,122.959,128.673,122.959,88.330002,59135,61.061504
2009-11-06,129.034,130.192,123.306,86.300003,1667665,59.658192
2009-11-09,127.718,127.877,125.302,88,15595,60.833374
2009-11-10,128.007,130.192,124.405,86.769997,218470,59.983089
2009-11-11,128.745,135.11,127.877,89.290001,17357275,61.725136
2009-11-12,131.638,139.103,128.21,93.57,23892945,64.683853
