"Date","TCS.NS.Open","TCS.NS.High","TCS.NS.Low","TCS.NS.Close","TCS.NS.Volume","TCS.NS.Adjusted"
2007-01-02,614.700012,629,608,624.25,772530,504.236115
2007-01-03,626.5,644,619.575012,640.075012,2192486,517.018555
2007-01-04,642.5,642.5,625.049988,629.525024,1985350,508.497162
2007-01-05,632.5,634.299988,626.549988,631.5,1359370,510.092194
2007-01-08,629.5,629.5,607.5,621.900024,2475946,502.337891
2007-01-09,623.950012,630.924988,612.625,628.200012,2010284,507.426758
2007-01-10,622.275024,627.5,615,617.700012,1465714,498.945343
2007-01-11,599.450012,649,599.450012,638.825012,3700332,516.008911
2007-01-12,645.075012,664.5,645.075012,661.974976,3087874,534.708374
2007-01-15,675,684,650.025024,663.174988,6127916,535.67749
2007-01-16,694.474976,694.474976,659.5,662.049988,3812982,534.76886
2007-01-17,664.950012,667.5,650,652.325012,1316914,526.913757
2007-01-18,652.5,662.974976,652.5,657.724976,1359908,531.275452
2007-01-19,657.724976,663.25,646.075012,649.075012,1441028,524.288452
2007-01-22,650.049988,661.200012,645.025024,656.724976,1590478,532.930969
2007-01-23,656.549988,656.974976,650,651.349976,1562076,528.569092
2007-01-24,655.75,657,649.075012,653.575012,1177574,530.374512
2007-01-25,662.5,684.5,651.450012,657.724976,2776988,533.742432
2007-01-29,657.5,657.5,645.5,648.875,1491162,526.560547
2007-01-31,648.549988,656.950012,636,638.950012,2432964,518.506287
2007-02-01,644.974976,647.5,637.5,646.025024,929952,524.247803
2007-02-02,649.5,653.5,647.525024,650.25,2137308,527.676453
2007-02-05,652.5,656.950012,647,652.900024,1505368,529.826904
2007-02-06,656.5,656.950012,645.025024,649.200012,1705982,526.824219
2007-02-07,650,656.200012,647.599976,653.150024,1299992,530.029785
2007-02-08,655.700012,657.450012,648.674988,652.25,1325012,529.299377
2007-02-09,654.700012,658.724976,641.575012,643.700012,996680,522.360962
2007-02-12,625,649.349976,625,627.900024,893194,509.539398
2007-02-13,628,642.450012,617.5,626.450012,2065176,508.362732
2007-02-14,626.5,633.5,620,630.375,1568938,511.547913
2007-02-15,632.5,650,612.549988,646.125,1836778,524.329102
2007-02-19,650.700012,659.349976,647.599976,654.900024,2369348,531.44989
2007-02-20,656.950012,661.900024,647.5,649.775024,2700074,527.290833
2007-02-21,650,655.875,640,641.924988,1969094,520.920593
2007-02-22,650,656.200012,643,647.150024,3469556,525.160767
2007-02-23,647.5,649.75,636.5,638.674988,1583844,518.283264
2007-02-26,636,646.924988,616.25,643.049988,2338842,521.833618
2007-02-27,627,647.099976,627,632.075012,2354984,512.927429
2007-02-28,616.5,622.474976,586,596.700012,4673978,484.220825
2007-03-01,600,634,595.200012,627.325012,3929282,509.072937
2007-03-02,627.400024,630,600.5,604.275024,2655876,490.367798
2007-03-05,595,599.5,575,577.775024,2560440,468.86322
2007-03-06,605,667.5,580.549988,598.625,1811960,485.78299
2007-03-07,601,612.349976,578.700012,595.900024,2220316,483.571442
2007-03-08,595,614.849976,595,609.200012,1137494,494.364319
2007-03-09,614.150024,616.5,599,606.075012,1616074,491.828644
2007-03-12,612.349976,626.849976,605.5,617.5,1818468,501.099884
2007-03-13,612.75,634.450012,600.049988,632.700012,1016044,513.434692
2007-03-14,612.5,620.950012,602.5,606.775024,1912474,492.396606
2007-03-15,615,625.5,614,617.150024,1911644,500.815857
2007-03-16,620.700012,628.924988,607.575012,618.825012,2112142,502.17514
2007-03-19,608.150024,632.375,600.900024,630.450012,606848,511.608673
2007-03-20,630,638.25,624,626.5,1387796,508.403198
2007-03-21,630.5,634.700012,620,633.5,985018,514.083984
2007-03-22,638.5,653.5,638.5,651.525024,2062796,528.711121
2007-03-23,656,660,640,644.099976,2632648,522.68573
2007-03-26,642.5,649.349976,627.625,630.674988,3049368,511.79129
2007-03-28,634.950012,634.950012,597.025024,600.5,4409024,487.304291
2007-03-29,594.474976,628.400024,594.474976,624.174988,5133312,506.516571
2007-03-30,624.174988,627.400024,610.125,616.924988,1403528,500.633331
2007-04-02,605,610,592.5,594.599976,1937948,482.51651
2007-04-03,597.5,608.400024,594,601.325012,1628426,487.973938
2007-04-04,609,612.349976,595.200012,599.200012,1201248,486.249695
2007-04-05,599.724976,603,593.049988,597.099976,1266996,484.545166
2007-04-09,600.25,613.375,600.25,608.599976,1142262,493.877502
2007-04-10,608.599976,612.5,597.674988,598.674988,1740120,485.823334
2007-04-11,602.700012,604.724976,593.5,595.275024,1913168,483.064331
2007-04-12,594,604.5,586,600.474976,1847478,487.28418
2007-04-13,605,634.200012,597,631,4889424,512.054932
2007-04-16,642,652.950012,635.125,640.125,4993110,519.460083
2007-04-17,642.849976,657.5,619,625.125,5232482,507.287476
2007-04-18,627,632.5,620.5,623.75,1426792,506.171844
2007-04-19,615,624,602.549988,621.450012,1582326,504.305237
2007-04-20,626,633.974976,625.049988,628.825012,1435376,510.290009
2007-04-23,627.5,634.900024,622.5,623.900024,1132612,506.29364
2007-04-24,622,631,609.5,612.424988,3461258,496.981537
2007-04-25,612.5,613.450012,604,610.674988,10876202,495.561218
2007-04-26,613.5,624.799988,610,620.200012,2970878,503.291046
2007-04-27,617.5,618.25,608.625,617.25,2402642,500.896851
2007-04-30,620.525024,634.950012,602.5,633,1944026,513.67804
2007-05-03,637.400024,647.400024,636.275024,645.099976,3321514,523.497192
2007-05-04,649.5,664.950012,634.5,636.525024,3550600,516.538818
