"Date","UVSL.NS.Open","UVSL.NS.High","UVSL.NS.Low","UVSL.NS.Close","UVSL.NS.Volume","UVSL.NS.Adjusted"
2007-01-04,1.59,1.62,1.56,1.59,1090075,1.59
2007-02-20,2.26,2.26,2.08,2.11,3044950,2.11
2007-03-07,1.72,1.76,1.69,1.69,1038585,1.69
2007-03-20,1.78,1.78,1.7,1.7,127870,1.7
2007-03-21,1.67,1.73,1.65,1.68,469940,1.68
2007-03-30,1.61,1.68,1.6,1.64,449935,1.64
2007-04-02,1.61,1.64,1.58,1.62,209160,1.62
2007-04-09,1.8,1.83,1.75,1.83,486210,1.83
2007-04-10,1.93,1.93,1.84,1.86,757105,1.86
2007-04-24,1.94,1.94,1.86,1.9,451865,1.9
2007-05-11,1.94,2.07,1.94,2.01,469700,2.01
2007-05-14,2.1,2.11,2.05,2.05,1471835,2.05
2007-05-17,2.29,2.32,2.14,2.15,1631180,2.15
2007-06-04,2.11,2.11,1.99,2.02,417220,2.02
2007-06-13,1.89,1.96,1.86,1.92,591150,1.92
2007-06-15,1.92,1.93,1.83,1.83,1022125,1.83
2007-06-19,1.88,1.93,1.82,1.84,462790,1.84
2007-06-26,1.89,1.89,1.84,1.85,243205,1.85
2007-07-06,1.84,2.05,1.84,2.05,5038885,2.05
2007-07-17,2.04,2.1,1.98,1.99,1346550,1.99
2007-07-25,1.84,1.91,1.84,1.86,1148010,1.86
2007-07-27,1.89,1.89,1.82,1.85,956645,1.85
2007-08-01,1.93,1.93,1.8,1.81,576880,1.81
2007-08-02,1.91,1.91,1.81,1.83,393695,1.83
2007-08-03,1.83,2.01,1.83,1.85,515000,1.85
2007-08-07,1.88,1.93,1.84,1.9,963945,1.9
2007-08-09,1.9,1.95,1.83,1.86,757570,1.86
2007-08-22,1.83,1.87,1.81,1.83,856020,1.83
2007-08-27,1.84,1.86,1.82,1.84,278400,1.84
2007-08-29,1.84,2.05,1.84,2.05,9658855,2.05
2007-09-06,2.57,2.69,2.55,2.69,5480035,2.69
2007-09-10,2.8,2.95,2.76,2.91,9463785,2.91
2007-09-13,2.85,2.91,2.76,2.82,3227790,2.82
2007-09-18,2.84,2.88,2.73,2.75,5255605,2.75
2007-09-26,2.85,3.02,2.85,2.95,7471925,2.95
2007-09-27,3.03,3.05,2.84,2.89,4420855,2.89
2007-09-28,2.91,3.01,2.82,2.91,5219715,2.91
2007-10-05,3.32,3.32,3.1,3.14,6244160,3.14
2007-10-08,3.2,3.2,2.97,2.97,4134705,2.97
2007-10-09,2.83,2.94,2.83,2.87,4717290,2.87
2007-10-12,2.78,2.88,2.7,2.75,2477700,2.75
2007-10-18,2.85,2.87,2.61,2.61,1657095,2.61
2007-10-25,2.65,2.65,2.55,2.58,2110955,2.58
2007-10-29,2.74,2.78,2.6,2.64,3055905,2.64
2007-11-02,2.6,2.64,2.5,2.56,1289700,2.56
2007-11-05,2.6,2.68,2.51,2.53,1754670,2.53
2007-11-19,3.94,3.94,3.8,3.94,15760090,3.94
2007-12-03,5.06,5.07,4.98,5.07,2976780,5.07
2007-12-06,5.88,5.88,5.88,5.88,835915,5.88
2007-12-07,6.18,6.18,5.59,6.18,39008620,6.18
2007-12-10,6.43,6.47,5.86,6.47,30967370,6.47
2007-12-20,6.42,6.42,6.42,6.42,496540,6.42
2007-12-24,6.1,6.75,6.1,6.45,11829770,6.45
2007-12-31,7.11,7.11,6.84,7.11,2128420,7.11
2008-01-14,4.98,5.51,4.98,5.51,2413245,5.51
2008-01-15,5.79,5.79,5.62,5.78,1806755,5.78
2008-02-12,3.23,3.23,3.23,3.23,207305,3.23
2008-02-13,3.07,3.1,3.07,3.07,940280,3.07
2008-02-22,3.27,3.38,3.2,3.21,502860,3.21
2008-02-25,3.16,3.35,3.1,3.26,444950,3.26
2008-03-03,3.19,3.2,3.05,3.05,745950,3.05
2008-03-10,2.4,2.6,2.38,2.58,1642205,2.58
2008-03-12,3.06,3.06,2.84,2.98,1947665,2.98
2008-03-25,2.2,2.23,2.05,2.23,1103480,2.23
2008-03-27,2.45,2.47,2.37,2.47,672330,2.47
2008-04-01,2.84,2.84,2.61,2.75,1459145,2.75
2008-04-03,2.68,2.7,2.58,2.58,594660,2.58
2008-04-09,2.6,2.65,2.53,2.62,408980,2.62
2008-04-15,2.59,2.64,2.46,2.61,777625,2.61
2008-04-16,2.7,2.71,2.56,2.56,906405,2.56
2008-04-22,2.93,3.02,2.78,3.02,2074490,3.02
2008-04-29,2.8,2.86,2.7,2.83,1134255,2.83
2008-04-30,2.83,2.9,2.74,2.8,980515,2.8
2008-05-09,2.63,2.65,2.52,2.59,634470,2.59
2008-05-27,2.52,2.54,2.4,2.41,916675,2.41
2008-06-04,2.3,2.33,2.2,2.2,956515,2.2
2008-06-16,2.2,2.27,2.17,2.19,595290,2.19
2008-06-17,2.23,2.23,2.16,2.21,557150,2.21
2008-06-25,1.89,2.07,1.89,1.98,1034495,1.98
2008-07-14,2.03,2.1,1.95,2.02,667765,2.02
2008-07-15,1.95,1.99,1.86,1.88,755635,1.88
2008-07-16,1.82,1.92,1.79,1.84,826105,1.84
2008-07-17,2.09,2.09,1.84,1.85,408700,1.85
2008-07-21,1.9,1.91,1.83,1.85,277465,1.85
2008-07-24,2.14,2.18,2.03,2.04,699550,2.04
2008-07-28,2.04,2.13,1.97,2.09,1108910,2.09
2008-08-29,2.06,2.06,1.98,2,911080,2
2008-09-09,2,2.06,1.95,2,248195,2
2008-09-17,1.82,1.83,1.76,1.81,365560,1.81
2008-09-24,1.76,1.79,1.75,1.78,158190,1.78
2008-09-25,1.74,1.79,1.68,1.7,344330,1.7
2008-10-06,1.5,1.52,1.47,1.47,166750,1.47
2008-10-07,1.4,1.53,1.4,1.4,430165,1.4
2008-10-08,1.4,1.4,1.33,1.34,796210,1.34
2008-10-10,1.3,1.3,1.27,1.27,518715,1.27
2008-10-21,1.15,1.18,1.11,1.18,243330,1.18
2008-10-24,1.07,1.1,1.05,1.05,291630,1.05
2008-10-27,1,1,1,1,308630,1
2008-10-31,1.02,1.08,0.99,1.06,424060,1.06
2008-11-03,1.09,1.13,1.08,1.13,583515,1.13
2008-11-18,1.03,1.03,0.98,1.03,189745,1.03
2008-11-21,0.92,0.95,0.9,0.92,207115,0.92
2008-11-26,0.94,0.94,0.87,0.91,161960,0.91
2008-11-28,0.91,0.91,0.86,0.86,238200,0.86
2008-12-04,0.9,0.9,0.85,0.88,370130,0.88
2008-12-11,0.93,0.94,0.88,0.89,936585,0.89
2008-12-22,1.14,1.14,1.04,1.08,418265,1.08
2008-12-24,1.05,1.05,0.97,1.01,273665,1.01
2009-01-09,1.19,1.2,1.19,1.19,75740,1.19
2009-01-12,1.13,1.13,1.13,1.13,156315,1.13
2009-01-23,0.92,0.96,0.89,0.92,303300,0.92
2009-01-27,0.95,0.96,0.87,0.87,8104760,0.87
2009-02-04,0.78,0.83,0.78,0.8,1095900,0.8
2009-02-10,0.87,0.89,0.85,0.89,393285,0.89
2009-02-16,0.98,0.98,0.89,0.89,638035,0.89
2009-02-18,0.84,0.9,0.84,0.86,216105,0.86
2009-02-19,0.86,0.88,0.84,0.85,367475,0.85
2009-02-26,0.84,0.86,0.84,0.85,173860,0.85
2009-03-03,0.81,0.83,0.78,0.79,332370,0.79
2009-03-13,0.77,0.8,0.75,0.8,329725,0.8
2009-03-17,0.8,0.83,0.8,0.8,181110,0.8
2009-03-19,0.82,0.83,0.8,0.81,148400,0.81
2009-03-24,0.8,0.87,0.8,0.8,509595,0.8
2009-03-26,0.8,0.83,0.73,0.81,781305,0.81
2009-04-02,0.87,0.91,0.86,0.9,1430645,0.9
2009-04-06,0.94,0.98,0.92,0.98,1216485,0.98
2009-04-08,0.98,0.98,0.98,0.98,0,0.98
2009-04-20,1.14,1.17,1.1,1.12,537950,1.12
2009-05-12,1.2,1.24,1.14,1.14,595250,1.14
2009-05-26,1.52,1.52,1.52,1.52,817360,1.52
2009-06-01,1.86,1.86,1.86,1.86,446755,1.86
2009-06-08,2.4,2.4,2.17,2.17,1254570,2.17
2009-06-09,2.08,2.08,2.07,2.07,351455,2.07
2009-06-22,1.53,1.59,1.5,1.5,803855,1.5
2009-07-01,1.57,1.57,1.46,1.46,288450,1.46
2009-07-07,1.41,1.42,1.34,1.34,305180,1.34
2009-07-20,1.5,1.53,1.5,1.53,722305,1.53
2009-08-05,1.52,1.56,1.49,1.49,638130,1.49
2009-08-17,1.62,1.64,1.58,1.58,1576865,1.58
2009-08-18,1.58,1.58,1.58,1.58,0,1.58
2009-08-19,1.58,1.58,1.58,1.58,0,1.58
2009-08-24,1.68,1.68,1.59,1.6,708050,1.6
2009-09-10,1.8,1.88,1.76,1.76,1086115,1.76
2009-09-18,2.05,2.07,1.94,1.97,2682185,1.97
2009-09-29,2.08,2.08,2,2.02,787060,2.02
2009-10-05,2.05,2.05,2.05,2.05,0,2.05
2009-10-09,1.81,1.83,1.78,1.79,774485,1.79
2009-10-12,1.79,1.82,1.77,1.79,525575,1.79
2009-10-20,1.8,1.8,1.8,1.8,0,1.8
2009-10-29,1.5,1.6,1.47,1.5,618475,1.5
2009-11-05,1.5,1.54,1.46,1.54,306555,1.54
2009-11-09,1.63,1.78,1.63,1.78,1485410,1.78
2009-11-10,1.86,1.88,1.71,1.76,882745,1.76
2009-11-17,1.68,1.72,1.64,1.67,349080,1.67
2009-11-18,1.74,1.83,1.64,1.76,2765575,1.76
2009-11-20,1.82,1.84,1.75,1.75,838090,1.75
2009-11-30,1.7,1.76,1.69,1.72,830515,1.72
2009-12-08,1.73,1.85,1.73,1.82,1011130,1.82
2009-12-10,1.81,1.84,1.77,1.83,715205,1.83
2009-12-11,1.83,1.85,1.79,1.8,585485,1.8
2009-12-16,1.77,1.79,1.76,1.78,266755,1.78
2009-12-21,1.79,1.83,1.79,1.79,520870,1.79
2009-12-22,1.82,1.87,1.81,1.82,971410,1.82
2009-12-24,1.88,2.04,1.83,2.04,8097925,2.04
2010-01-04,2.62,2.62,2.5,2.62,6529815,2.62
2010-01-18,2.4,2.45,2.34,2.34,820215,2.34
2010-01-19,2.38,2.43,2.35,2.41,1050315,2.41
2010-01-28,2.41,2.41,2.41,2.41,0,2.41
2010-01-29,2.41,2.41,2.41,2.41,0,2.41
2010-02-11,2.15,2.24,2.14,2.22,558425,2.22
2010-02-16,2.14,2.25,2.11,2.23,417725,2.23
2010-03-11,2.8,2.85,2.68,2.74,1826070,2.74
2010-03-30,2.76,2.91,2.76,2.91,1039085,2.91
2010-04-06,3.49,3.56,3.34,3.53,16917025,3.53
2010-04-09,3.35,3.4,3.3,3.34,1737785,3.34
2010-04-23,3.53,3.75,3.53,3.6,2887290,3.6
2010-05-04,3.64,3.65,3.4,3.4,2207555,3.4
2010-05-24,3.02,3.25,2.95,2.99,4388595,2.99
2010-06-01,2.75,2.9,2.75,2.8,1305655,2.8
2010-06-18,3.1,3.12,2.91,2.94,1208655,2.94
2010-06-23,3,3.05,2.98,3.01,1053515,3.01
2010-06-24,3.02,3.06,2.96,2.98,651860,2.98
2010-07-16,2.98,2.98,2.9,2.91,649325,2.91
2010-07-20,2.91,2.95,2.8,2.81,1699345,2.81
2010-07-27,2.76,2.8,2.73,2.74,762685,2.74
2010-07-29,2.78,2.81,2.7,2.73,1395625,2.73
2010-07-30,2.73,2.73,2.62,2.63,1529515,2.63
2010-08-10,2.64,2.7,2.62,2.63,511675,2.63
2010-09-14,2.59,2.64,2.51,2.55,1107055,2.55
2010-09-23,2.43,2.48,2.43,2.45,1371405,2.45
2010-10-07,2.65,2.76,2.55,2.57,1940630,2.57
2010-10-13,2.55,2.65,2.5,2.61,2578465,2.61
2010-10-15,2.55,2.63,2.55,2.58,908845,2.58
2010-10-27,2.88,2.96,2.84,2.93,5004795,2.93
2010-10-28,2.94,2.94,2.8,2.82,1609580,2.82
2010-11-04,2.8,2.82,2.7,2.8,2220985,2.8
2010-11-15,2.9,2.95,2.79,2.86,3066735,2.86
2010-11-18,2.8,2.92,2.73,2.76,2032825,2.76
2010-12-01,2.6,2.69,2.6,2.62,939720,2.62
2010-12-02,2.78,2.78,2.61,2.62,324730,2.62
2010-12-06,2.6,2.64,2.53,2.55,1276860,2.55
2010-12-07,2.59,2.59,2.53,2.55,326885,2.55
2010-12-13,2.45,2.56,2.45,2.52,630290,2.52
2010-12-16,2.52,2.65,2.49,2.61,1866940,2.61
2010-12-24,2.85,2.85,2.74,2.82,9157405,2.82
2011-01-06,3.43,3.58,3.43,3.47,11001820,3.47
2011-01-10,3.33,3.4,3.24,3.28,4231495,3.28
2011-01-12,3.29,3.37,3.23,3.27,2199730,3.27
2011-01-17,3.58,3.82,3.58,3.75,10519405,3.75
2011-01-20,3.75,4.45,3.68,4.34,47165070,4.34
2011-01-24,4.4,4.54,4.13,4.19,11882130,4.19
2011-02-02,3.8,4.06,3.7,3.92,10136545,3.92
2011-02-03,3.95,4.07,3.89,3.96,5532665,3.96
2011-02-07,3.78,3.83,3.64,3.66,1995760,3.66
2011-02-10,3.02,3.48,2.87,3.39,9659900,3.39
2011-02-22,3.39,3.54,3.31,3.37,1544790,3.37
2011-03-16,3.3,3.44,3.28,3.4,3209095,3.4
2011-03-30,3.2,3.88,3.2,3.88,36271565,3.88
2011-04-05,4.46,4.74,4.06,4.21,19292335,4.21
2011-05-02,3.83,3.97,3.73,3.8,5872155,3.8
2011-05-16,3.5,3.6,3.48,3.55,1784470,3.55
2011-05-17,3.59,3.6,3.42,3.44,1629185,3.44
2011-06-01,3.2,3.28,3.16,3.19,6529010,3.19
2011-06-10,3.9,4.02,3.83,3.87,10009205,3.87
2011-06-16,3.68,3.71,3.58,3.6,3293720,3.6
2011-06-23,3.38,3.46,3.3,3.32,3302055,3.32
2011-06-30,3.23,3.41,3.23,3.26,2861520,3.26
2011-07-05,3.52,3.92,3.5,3.69,22954070,3.69
2011-07-06,3.75,3.75,3.52,3.56,5974840,3.56
2011-07-18,3.45,3.5,3.38,3.39,1664110,3.39
2011-07-19,3.44,3.52,3.39,3.41,3599570,3.41
2011-08-01,3.25,3.28,3.21,3.24,1324095,3.24
2011-08-05,2.98,3.09,2.91,3.07,2846895,3.07
2011-08-22,2.75,2.88,2.75,2.81,959575,2.81
2011-09-14,2.9,3,2.87,2.9,1240475,2.9
2011-09-27,2.78,2.8,2.67,2.69,653720,2.69
2011-09-29,2.61,2.66,2.58,2.6,560750,2.6
2011-10-05,2.47,2.47,2.33,2.35,407395,2.35
2011-10-11,2.58,2.64,2.49,2.5,316325,2.5
2011-10-17,2.59,2.62,2.54,2.55,312085,2.55
2011-10-20,2.44,2.46,2.41,2.43,559725,2.43
2011-10-28,2.34,2.42,2.34,2.39,454770,2.39
2011-10-31,2.45,2.45,2.36,2.37,594215,2.37
2011-11-03,2.55,2.55,2.45,2.51,654480,2.51
2011-11-09,2.54,2.54,2.37,2.38,773115,2.38
2011-11-16,2.1,2.1,1.83,1.87,1212805,1.87
2011-11-28,1.8,2.02,1.76,1.85,2003560,1.85
2011-11-29,1.9,1.9,1.77,1.79,1059620,1.79
2011-11-30,1.8,1.81,1.76,1.77,263105,1.77
2011-12-01,1.84,1.85,1.76,1.78,371475,1.78
2011-12-02,1.78,1.85,1.73,1.82,373060,1.82
2011-12-12,1.7,1.72,1.64,1.66,363670,1.66
2011-12-13,1.66,1.66,1.6,1.63,457205,1.63
2011-12-26,1.79,1.92,1.61,1.82,1849585,1.82
2011-12-28,1.76,1.8,1.66,1.68,559330,1.68
2012-01-04,1.48,1.58,1.47,1.51,1079405,1.51
