"Date","VIPIND.NS.Open","VIPIND.NS.High","VIPIND.NS.Low","VIPIND.NS.Close","VIPIND.NS.Volume","VIPIND.NS.Adjusted"
2007-01-02,38.734,39.467,37.605,20.33,42405,10.812251
2007-01-03,38.358,38.734,37.605,20.200001,22525,10.743113
2007-01-04,38.508,39.486,37.982,20.389999,30365,10.844159
2007-01-05,37.662,39.674,37.662,20.26,33900,10.775023
2007-01-08,38.414,38.734,37.605,20.450001,24750,10.876073
2007-01-09,38.339,40.388,38.339,20.75,101430,11.035625
2007-01-10,39.11,40.031,38.752,20.940001,36435,11.136673
2007-01-11,39.862,40.464,39.862,21.26,26755,11.306859
2007-01-12,40.05,40.652,39.523,21.209999,47140,11.280267
2007-01-15,40.896,40.896,39.523,21.379999,38315,11.370682
2007-01-16,40.464,42.212,40.464,21.870001,100020,11.631283
2007-01-17,42.118,43.19,41.761,22.969999,123370,12.2163
2007-01-18,44.713,45.127,43.246,23.120001,123840,12.296077
2007-01-19,44.751,44.751,41.742,22.290001,49905,11.854652
2007-01-22,40.652,44.017,40.652,23.280001,64820,12.381172
2007-01-23,44.694,45.503,41.742,23.120001,150010,12.296077
2007-01-24,44.356,44.356,42.306,22.629999,34195,12.035476
2007-01-25,42.532,44.168,42.532,22.93,21180,12.195028
2007-01-29,42.87,44.713,41.798,22.98,58385,12.221621
2007-01-31,44.374,44.769,42.137,22.73,50315,12.088661
2007-02-01,43.246,43.246,41.197,22.23,33440,11.822741
2007-02-02,42.494,43.209,40.727,21.82,25805,11.604688
2007-02-05,41.554,42.682,40.238,21.559999,23570,11.46641
2007-02-06,38.922,41.366,38.922,21.75,20315,11.567464
2007-02-07,41.366,42.87,40.482,21.780001,48465,11.583413
2007-02-08,41.028,42.363,40.238,21.58,38585,11.477047
2007-02-09,41.404,42.438,40.746,21.959999,49930,11.679144
2007-02-12,39.486,40.971,38.546,20.889999,29990,11.110079
2007-02-13,38.809,40.558,38.734,21,24090,11.168584
2007-02-14,39.11,39.467,37.982,20.450001,63465,10.876073
2007-02-15,39.11,40.952,38.734,21,83665,11.168584
2007-02-19,40.614,40.614,39.523,21.200001,20230,11.27495
2007-02-20,40.144,40.595,38.922,20.84,19155,11.083487
2007-02-21,39.11,39.486,38.922,20.99,19925,11.163265
