"Date","YESBANK.NS.Open","YESBANK.NS.High","YESBANK.NS.Low","YESBANK.NS.Close","YESBANK.NS.Volume","YESBANK.NS.Adjusted"
2007-01-02,40.772,43.54,40.712,28.26,2176980,18.783575
2007-01-03,42.427,42.909,41.554,27.92,1069665,18.557589
2007-01-04,42.427,42.487,40.998,27.65,999885,18.378126
2007-01-05,41.524,43.029,41.239,27.690001,1391235,18.404713
2007-01-08,41.825,41.976,41.374,27.65,812980,18.378126
2007-01-09,41.87,42.412,41.254,27.530001,825735,18.298367
2007-01-10,41.615,41.615,40.471,27.129999,469605,18.032499
2007-01-11,40.923,41.524,40.682,27.51,450240,18.285074
2007-01-12,41.524,43.029,41.524,28.370001,1541995,18.856691
2007-01-15,43.119,46.956,42.743,31,4793790,20.604774
2007-01-16,47.241,51.304,47.241,32.43,7944155,21.555254
2007-01-17,48.896,49.408,47.843,32.02,2040140,21.282738
2007-01-18,48.144,48.716,46.64,31.360001,1532305,20.844057
2007-01-19,47.693,49.649,46.715,32,3214185,21.269444
2007-01-22,48.746,49.273,46.85,31.35,3269555,20.837408
2007-01-23,47.542,48.28,46.64,31.190001,1723375,20.73106
2007-01-24,47.031,47.753,46.038,30.92,1500305,20.551598
2007-01-25,46.986,48.987,46.67,31.190001,2396750,20.73106
2007-01-29,47.241,48.37,46.489,31.01,1848690,20.611422
2007-01-31,46.79,47.693,45.135,30.17,1786950,20.053095
2007-02-01,45.436,46.775,45.406,30.35,1409495,20.172737
2007-02-02,46.158,46.339,45.436,30.280001,1170790,20.126211
2007-02-05,46.038,46.625,45.286,30.35,1768095,20.172737
2007-02-06,45.737,46.64,44.172,30.6,4100610,20.338905
2007-02-07,46.339,49.017,46.339,32.139999,5805870,21.362499
2007-02-08,48.806,48.866,46.339,30.940001,2721240,20.564894
2007-02-09,46.85,47.843,45.165,30.33,2180470,20.159443
2007-02-12,45.722,45.722,43.044,29.42,1591690,19.554594
2007-02-13,44.052,45.571,42.397,28.52,1710315,18.956394
2007-02-14,41.524,44.955,39.418,29.719999,2776330,19.753994
2007-02-15,44.985,46.038,44.834,30.17,1622045,20.053095
2007-02-19,45.737,47.964,44.548,30.450001,2717150,20.239204
2007-02-20,46.188,46.264,44.533,30.040001,1084935,19.966692
2007-02-21,45.361,49.047,44.594,31.68,7422140,21.056749
2007-02-22,48.144,48.866,45.767,30.719999,3522185,20.418665
2007-02-23,46.279,46.489,44.533,30.059999,2085080,19.979982
2007-02-26,45.827,46.279,44.293,30.09,1213820,19.999924
2007-02-27,45.647,46.61,44.985,30.07,1144885,19.986629
2007-02-28,44.594,44.594,40.968,28.43,1924180,18.89657
2007-03-01,43.42,45.105,41.9,28.52,2007045,18.956394
2007-03-02,43.029,44.127,42.427,28.370001,1134450,18.856691
2007-03-05,39.162,41.916,38.245,25.99,2168320,17.274775
2007-03-06,39.96,40.622,36.409,24.58,2744940,16.337591
2007-03-07,37.613,38.816,35.055,24.190001,2047465,16.078371
2007-03-08,36.559,37.733,35.205,24.75,2249360,16.450583
2007-03-09,37.823,39.268,36.108,24.25,4561335,16.11825
2007-03-12,36.544,40.441,36.409,25.940001,5282835,17.241541
2007-03-13,40.02,40.396,38.214,25.73,1819800,17.101961
2007-03-14,37.613,39.268,36.259,24.530001,5023515,16.304359
2007-03-15,37.011,38.666,37.011,25,1487000,16.616755
2007-03-16,37.462,38.064,37.041,25.09,990010,16.676573
2007-03-19,37.959,38.214,36.981,24.77,1188960,16.463879
2007-03-20,37.703,38.666,37.703,25.34,1229310,16.842741
2007-03-21,38.079,42.126,38.079,27.639999,7729850,18.371481
2007-03-22,42.728,43.856,41.916,28.120001,3830575,18.690525
2007-03-23,42.216,46.79,40.682,30.549999,52320510,20.30567
2007-03-26,46.339,47.512,43.691,29.51,31364400,19.614412
2007-03-28,43.932,44.368,42.247,28.4,3884840,18.876631
2007-03-29,42.547,43.751,42.397,28.639999,1346840,19.036152
2007-03-30,43.27,44.458,41.84,28,41299945,18.610764
2007-04-02,40.622,42.728,39.433,27.540001,6064055,18.305016
2007-04-03,41.675,43.164,41.223,27.99,2505365,18.604116
2007-04-04,42.728,43.239,42.141,28.139999,1051645,18.703815
2007-04-05,42.487,43.57,41.539,28.469999,1998450,18.923159
2007-04-09,43.33,44.488,43.044,29.17,2174135,19.388426
2007-04-10,43.932,44.518,43.48,29.43,1507640,19.561241
2007-04-11,44.533,45.948,44.082,30.09,4146550,19.999924
2007-04-12,44.022,45.135,43.992,29.870001,1130415,19.853697
2007-04-13,44.834,45.857,44.563,29.950001,2108540,19.90687
2007-04-16,45.436,46.64,45.286,30.790001,27424270,20.465195
2007-04-17,46.595,47.392,45.316,30.26,2857205,20.112917
2007-04-18,45.737,46.926,45.451,30.33,990610,20.159443
2007-04-19,45.737,46.64,44.232,30.26,1125705,20.112917
2007-04-20,46.038,46.459,44.639,30.1,1068720,20.006569
2007-04-23,45.993,46.008,43.962,29.49,1160130,19.601122
2007-04-24,44.368,47.392,44.353,30.77,7995255,20.451899
2007-04-25,47.181,47.181,45.737,30.59,1897565,20.332258
2007-04-26,46.579,48.114,45.963,31.16,6999875,20.711121
2007-04-27,46.926,47.091,45.436,30.43,1200045,20.225912
2007-04-30,45.782,46.76,45.015,30.139999,2226840,20.033155
2007-05-03,46.158,46.459,45.587,30.370001,1089630,20.186029
2007-05-04,46.279,46.279,45.511,30.469999,697815,20.252497
2007-05-07,46.264,46.339,44.985,30.02,735930,19.953396
2007-05-08,45.195,45.436,44.232,29.41,1085700,19.547945
2007-05-09,44.232,46.369,43.661,30.690001,2298495,20.398724
2007-05-10,46.339,47.633,46.188,31.110001,4236375,20.677887
2007-05-11,43.48,46.64,43.48,30.870001,2061145,20.518368
2007-05-14,46.64,48.746,46.429,31.309999,4363410,20.81082
2007-05-15,47.241,48.28,46.79,31.860001,2261575,21.17639
2007-05-16,48.265,49.95,48.265,32.91,8264445,21.874292
2007-05-17,51.153,52.959,49.619,34.73,11814495,23.083994
2007-05-18,52.507,54.373,51.785,34.959999,7913270,23.236866
2007-05-21,53.26,53.515,51.003,33.970001,2878570,22.57884
2007-05-22,51.454,51.725,49.649,33.650002,1746865,22.36615
2007-05-23,50.717,53.049,50.25,33.779999,5288815,22.452555
2007-05-24,50.988,51.905,50.401,33.759998,2101550,22.43926
2007-05-25,49.95,51.665,49.604,34.23,1389805,22.751657
2007-05-28,52.131,52.507,50.672,33.810001,1300090,22.472494
2007-05-29,51.108,51.59,50.882,34.009998,770690,22.605429
2007-05-30,51.153,51.153,49.649,33.169998,883615,22.047106
2007-05-31,50.506,50.973,49.95,33.59,743430,22.326267
2007-06-01,50.852,51.424,50.311,33.91,969795,22.53896
2007-06-04,51.454,52.808,50.792,33.84,2743175,22.492435
2007-06-05,51.153,51.86,40.923,34,2369250,22.598782
2007-06-06,51.168,51.454,49.98,33.740002,1050870,22.425968
2007-06-07,48.174,50.943,48.174,33.360001,1058150,22.173395
2007-06-08,50.25,50.25,48.52,32.68,3138090,21.721418
2007-06-11,49.378,50.13,48.596,32.369999,770465,21.515371
2007-06-12,48.114,48.896,46.941,31.700001,820600,21.070042
2007-06-13,47.512,48.144,46.038,30.93,1367180,20.558247
2007-06-14,46.76,47.467,46.038,30.84,1682800,20.498426
2007-06-15,47.016,47.663,45.737,30.6,2200155,20.338905
2007-06-18,46.835,48.445,46.068,30.790001,4216235,20.465195
2007-06-19,46.64,48.746,46.489,31.83,3840025,21.156446
2007-06-20,48.716,48.896,47.121,31.74,2184055,21.09663
2007-06-21,48.114,48.114,47.362,31.75,2045705,21.103277
2007-06-22,47.618,47.813,47.061,31.51,1604880,20.943754
2007-06-25,46.579,52.026,46.579,34.18,10629745,22.718426
2007-06-26,51.304,53.109,51.153,34.139999,9292025,22.691837
2007-06-27,51.755,51.755,49.95,33.82,2692365,22.479141
2007-06-28,51.454,52.206,50.912,34.509998,3096730,22.937763
2007-06-29,52.176,54.945,51.755,36.029999,6373375,23.948063
2007-07-02,54.884,55.968,53.56,36.860001,5611280,24.499737
2007-07-03,55.817,56.494,55.396,36.959999,3435300,24.566208
2007-07-04,55.742,61.655,55.576,38.790001,11903350,25.782553
2007-07-05,58.631,58.631,56.569,38.529999,7123305,25.609737
2007-07-06,57.773,60.18,56.87,39.299999,7598170,26.121536
2007-07-09,59.609,59.714,58.149,38.880001,3110950,25.842373
2007-07-10,59.518,59.518,55.215,37.040001,3458355,24.619381
2007-07-11,55.983,56.72,54.764,37.029999,2219905,24.612732
2007-07-12,56.269,56.87,54.764,36.880001,2022845,24.513035
2007-07-13,57.171,57.171,54.839,36.639999,2415720,24.353512
2007-07-16,55.772,56.223,54.328,36.779999,2626840,24.446564
2007-07-17,55.366,56.058,53.846,36.169998,2879265,24.041115
2007-07-18,54.418,54.418,53.26,35.75,1696240,23.761959
2007-07-19,53.982,55.366,53.982,36.720001,2077070,24.406687
2007-07-20,55.667,55.667,54.463,36.369999,1060385,24.174053
2007-07-23,54.463,55.14,53.861,36.389999,903505,24.187346
2007-07-24,55.065,55.336,54.388,36.279999,1451625,24.114231
2007-07-25,54.794,55.938,53.861,36.279999,4289795,24.114231
2007-07-26,54.899,56.163,54.478,36.540001,2604260,24.287046
2007-07-27,52.582,54.704,52.582,36.009998,2016015,23.934765
2007-07-30,55.441,55.667,53.275,36.75,1995090,24.426626
2007-07-31,55.817,57.472,54.945,37.919998,3302760,25.204288
2007-08-01,58.676,58.676,54.177,36.25,1577030,24.09429
2007-08-02,55.637,56.87,54.809,37.330002,1821360,24.812134
2007-08-03,57.021,58.345,56.284,37.889999,11041470,25.184349
2007-08-06,56.269,56.87,54.764,37.630001,1549045,25.011534
2007-08-07,57.457,57.773,54.914,37.209999,2697740,24.73237
2007-08-08,56.269,56.991,54.99,36.82,9569680,24.473148
2007-08-09,55.968,56.569,54.644,36.650002,3530700,24.360159
2007-08-10,53.109,55.366,51.183,36.470001,1561125,24.240517
2007-08-13,55.968,55.968,54.538,36.34,1062580,24.154112
2007-08-14,55.516,55.516,53.801,35.939999,1225755,23.888245
2007-08-16,49.829,53.846,49.829,35.029999,1194860,23.283392
2007-08-17,52.733,53.26,49.95,33.970001,1916090,22.57884
2007-08-20,52.357,53.545,51.078,34.279999,1211340,22.784889
2007-08-21,52.312,52.312,47.557,32.650002,3265900,21.701479
2007-08-22,49.197,49.498,46.941,31.74,1963360,21.09663
2007-08-23,49.047,49.799,46.64,31.16,10942720,20.711121
2007-08-24,45.301,49.573,45.301,32.669998,1538980,21.714771
2007-08-27,50.01,52.387,49.799,34.419998,1487735,22.877945
2007-08-28,52.056,52.206,50.581,33.959999,1300275,22.572195
2007-08-29,49.724,51.048,49.724,33.34,830185,22.160099
2007-08-30,51.183,51.605,50.296,33.599998,1850570,22.332914
2007-08-31,51.454,58.375,51.454,36.970001,20630475,24.572853
2007-09-03,56.389,58.646,55.998,38.150002,12688410,25.357166
2007-09-04,57.923,57.954,55.877,37.349998,4540775,24.825426
2007-09-05,56.645,56.84,54.824,36.709999,4433440,24.400038
2007-09-06,54.764,58.209,54.764,37.869999,17722335,25.171053
2007-09-07,57.201,58.916,56.073,37.59,11958840,24.984947
2007-09-10,55.968,56.419,55.02,37.130001,3940290,24.679197
2007-09-11,56.69,56.69,55.065,36.790001,2663455,24.453211
2007-09-12,55.922,56.539,55.065,36.91,3438325,24.532972
2007-09-13,55.667,56.359,54.794,36.689999,4509060,24.386744
2007-09-14,55.727,56.103,53.515,35.810001,3814005,23.801836
2007-09-17,54.854,54.884,53.606,35.860001,2868680,23.83507
2007-09-18,54.162,56.404,53.575,36.869999,7318660,24.506386
2007-09-19,57.171,57.502,56.118,37.490002,6196060,24.918484
2007-09-20,56.84,56.87,54.914,37.080002,2092355,24.645967
2007-09-21,54.764,57.743,54.764,37.18,6628845,24.712435
2007-09-24,56.615,56.87,55.727,37.380001,2786340,24.845366
2007-09-25,56.269,58.916,56.269,38.139999,9822020,25.350515
2007-09-26,57.878,60.782,57.773,39.349998,15835050,26.154766
2007-09-27,59.879,60.782,57.954,38.959999,9154710,25.895546
2007-09-28,58.977,62.888,58.856,41.389999,16671975,27.510695
2007-10-01,63.189,64.694,62.287,42.299999,7803270,28.115541
2007-10-03,64.152,64.679,59.127,41.029999,6512830,27.271412
2007-10-04,61.685,63.009,58.736,40.860001,3769375,27.158419
2007-10-05,61.685,62.241,59.308,39.790001,2908715,26.447226
2007-10-08,60.18,60.692,54.764,37.169998,5199010,24.705782
2007-10-09,55.667,58.525,54.162,38.57,3155030,25.636326
2007-10-10,59.759,59.819,58.074,39.049999,3512460,25.955368
2007-10-11,58.977,59.428,57.863,38.91,1478390,25.862314
2007-10-12,58.646,60.481,57.171,38.919998,2746930,25.868959
2007-10-15,58.616,63.28,58.616,41.23,4452685,27.404346
2007-10-16,63.189,64.679,63.039,42.220001,10728135,28.062372
2007-10-17,60.331,62.888,54.764,40.759998,8201110,27.091953
2007-10-18,61.685,64.694,54.192,38.25,8444745,25.423635
2007-10-19,57.773,59.247,51.605,35.049999,12562160,23.296688
2007-10-22,52.312,57.021,49.333,37.279999,10544665,24.778898
2007-10-23,56.765,62.557,56.765,41.150002,13901990,27.351177
2007-10-24,61.986,64.694,61.715,42.110001,10303195,27.989254
2007-10-25,63.791,64.288,60.18,41.639999,8993280,27.676863
2007-10-26,63.009,67.176,61.685,42.720001,13662410,28.394707
2007-10-29,64.694,67.673,64.694,44.669998,9577070,29.690809
2007-10-30,67.703,71.013,65.025,45.84,11402100,30.468481
2007-10-31,69.207,69.207,64.724,43.459999,7873215,28.886564
2007-11-01,66.8,67.913,65.657,44.310001,5770805,29.45153
2007-11-02,65.296,69.207,64.408,45.259998,4778435,30.082968
2007-11-05,68.575,69.869,67.282,44.950001,6288790,29.876919
2007-11-06,70.712,70.712,66.77,44.650002,2174355,29.677517
2007-11-07,67.703,68.004,64.393,44.110001,4868590,29.318598
2007-11-08,65.747,66.499,64.694,43.830002,1233550,29.13249
2007-11-12,66.499,66.935,63.746,44.189999,1310945,29.371771
2007-11-13,67.071,67.703,64.694,43.84,8725675,29.139133
2007-11-14,66.8,69.809,66.8,45.009998,5662185,29.9168
2007-11-15,67.718,72.186,67.703,47.32,8087325,31.452188
2007-11-16,71.013,74.323,70.561,47.709999,7667490,31.711407
2007-11-19,72.818,73.57,71.028,48.290001,3327855,32.096924
2007-11-20,72.216,76.579,69.854,47.299999,8684225,31.438894
2007-11-21,71.614,73.405,68.636,46.099998,3457145,30.641291
2007-11-22,68.425,71.013,66.198,46.049999,7660135,30.608057
2007-11-23,73.721,73.721,68.004,45.849998,7325945,30.475124
2007-11-26,70.712,71.013,66.951,45.98,2912625,30.561531
2007-11-27,69.207,71.584,68.666,46.119999,3588845,30.654583
2007-11-28,69.508,70.682,68.034,45.580002,2127890,30.295662
2007-11-29,69.237,70.11,66.198,44.459999,3938175,29.551233
2007-11-30,68.154,70.411,67.552,46.18,5096655,30.694466
2007-12-03,70.245,71.013,69.809,46.639999,2250900,31.000216
2007-12-04,70.411,76.73,69.508,49.84,5595085,33.127155
2007-12-05,75.225,76.549,73.736,49.939999,4323975,33.193623
2007-12-06,75.225,76.549,72.517,49.27,2815625,32.748295
2007-12-07,74.924,75.812,72.502,49.009998,3885175,32.575478
2007-12-10,74.323,78.234,74.323,51.549999,6245960,34.263741
2007-12-11,78.264,81.243,78.264,52.450001,5020430,34.86195
2007-12-12,78.911,79.889,76.203,51.720001,4639345,34.376743
2007-12-13,78.836,79.137,76.474,51.110001,2924870,33.971291
2007-12-14,77.497,78.234,74.639,50.080002,3377670,33.286678
2007-12-17,62.181,76.113,62.181,47.75,1998420,31.737991
2007-12-18,71.915,74.172,69.508,48.720001,1888045,32.382729
2007-12-19,73.721,75.075,69.824,47.200001,3004660,31.372431
2007-12-20,71.78,72.367,70.14,46.98,1462160,31.226202
2007-12-24,71.314,72.683,69.237,46.59,5249655,30.966982
2007-12-26,70.411,72.036,70.411,47.349998,2235085,31.472126
2007-12-27,71.614,75.376,71.614,49.689999,3904050,33.027451
2007-12-28,74.623,76.429,73.42,49.970001,1901800,33.213562
2007-12-31,75.616,76.128,74.654,49.860001,1797170,33.14045
2008-01-01,75.225,78.445,74.623,51.669998,2891775,34.343506
2008-01-02,78.61,81.153,77.362,53.150002,6768090,35.327217
2008-01-03,79.709,80.28,77.723,52.139999,1949220,34.655895
2008-01-04,78.445,79.423,77.933,52.009998,1542030,34.569492
2008-01-07,78.234,80.28,77.241,52.68,3112960,35.014816
2008-01-08,79.739,80.942,76.068,52.040001,4113200,34.589432
2008-01-09,78.234,79.047,76.594,52.02,4905290,34.576138
2008-01-10,79.739,83.485,77.091,51.880001,6194350,34.483082
2008-01-11,78.956,79.724,74.789,51.689999,4882295,34.356796
2008-01-14,77.768,79.739,76.745,51.540001,3431675,34.257095
2008-01-15,77.933,80.792,77.347,51.650002,8087995,34.330215
2008-01-16,76.73,77.903,74.142,50.150002,2880515,33.333206
2008-01-17,75.526,77.181,75.526,50.459999,853635,33.539249
2008-01-18,75.677,75.797,73.721,49.599998,4240975,32.967632
2008-01-21,71.614,73.721,58.676,45.459999,4226185,30.215899
2008-01-22,59.278,66.198,45.767,41.990002,6111870,27.909496
2008-01-23,66.123,72.216,64.724,44.630001,3392180,29.664227
2008-01-24,70.11,70.11,64.694,44.130001,4451020,29.331892
2008-01-25,68.59,74.022,66.198,46.52,2993270,30.920456
2008-01-28,68.605,74.323,67.101,48.740002,4843760,32.396027
2008-01-29,75.225,75.526,71.314,48.889999,3462815,32.495716
2008-01-30,74.022,74.924,71.915,48.889999,4482110,32.495716
2008-01-31,74.022,80.642,70.411,50.290001,5791925,33.426258
2008-02-01,76.429,78.174,74.022,50.720001,2276580,33.71207
2008-02-04,77.633,81.243,76.73,51.540001,5628965,34.257095
2008-02-05,77.783,79.528,74.037,51.540001,2431645,34.257095
2008-02-06,71.614,77.452,64.694,50.860001,1816260,33.805119
2008-02-07,76.459,77.783,74.022,49.720001,6371035,33.047394
2008-02-08,75.075,75.677,65.04,47.5,5986685,31.571833
2008-02-11,72.818,73.721,67.402,45.919998,2650565,30.52165
2008-02-12,69.207,71.614,66.8,45.279999,2197075,30.096262
2008-02-13,68.906,71.163,67.402,45.040001,2981245,29.936743
2008-02-14,69.207,72.818,69.207,47.91,1404510,31.844349
2008-02-15,69.207,75.496,69.207,49.939999,1898170,33.193623
2008-02-18,76.609,76.73,71.013,48.290001,3845015,32.096924
2008-02-19,73.6,74.022,72.216,48.400002,3269825,32.170033
2008-02-20,71.645,72.216,71.043,47.709999,1108875,31.711407
2008-02-21,73.721,75.225,71.043,47.610001,5574825,31.644943
2008-02-22,71.614,71.63,69.929,46.919998,535390,31.186316
2008-02-25,73.42,73.42,68.455,47.650002,872695,31.671528
2008-02-26,75.316,75.316,71.344,47.860001,1464990,31.811113
2008-02-27,72.818,73.721,72.607,48.580002,811200,32.289673
2008-02-28,74.473,74.473,71.765,48.82,1294860,32.449192
2008-02-29,73.721,75.195,72.201,49.349998,1053525,32.801468
2008-03-03,72.216,73.029,66.8,45.720001,1913725,30.388718
2008-03-04,68.906,68.906,60.24,41.48,4004920,27.570513
2008-03-05,63.656,64.212,60.511,40.66,4153175,27.025486
2008-03-07,60.692,60.692,53.109,36.07,7231515,23.974649
2008-03-10,53.26,55.817,49.694,36.810001,3857730,24.466505
2008-03-11,54.583,61.504,54.162,38.759998,6927055,25.762613
2008-03-12,59.97,62.256,53.861,37.07,5735670,24.63932
2008-03-13,54.162,55.501,51.454,34.93,4798960,23.216927
2008-03-14,51.484,53.56,50.266,34.73,4266565,23.083994
2008-03-17,51.454,51.514,43.962,29.59,4459415,19.667585
2008-03-18,42.728,43.932,36.409,25.48,23160420,16.935793
2008-03-19,39.132,43.841,39.087,27.42,23861670,18.225256
2008-03-24,41.675,43.751,39.117,28.450001,8582790,18.909864
2008-03-25,43.932,53.861,43.631,34.25,15197420,22.76495
2008-03-26,52.658,58.947,50.551,38.740002,28459775,25.749323
2008-03-27,56.63,58.375,54.824,37.07,20789925,24.63932
2008-03-28,56.569,57.728,53.26,36.209999,13966485,24.067703
2008-03-31,54.162,54.478,50.401,33.75,7607145,22.432615
2008-04-01,51.499,52.327,48.656,32.790001,5773660,21.794533
2008-04-02,51.875,53.53,47.919,32.130001,8977400,21.355852
2008-04-03,48.942,49.95,44.579,30.040001,13420645,19.966692
2008-04-04,45.135,47.061,43.811,29.5,10167625,19.607769
2008-04-07,45.105,45.316,42.878,29.08,19968570,19.328606
2008-04-08,43.751,49.829,43.751,32.490002,35644005,21.595131
2008-04-09,49.558,51.574,47.287,33.900002,50476970,22.532318
2008-04-10,51.153,52.206,49.122,33.029999,23725565,21.95405
2008-04-11,49.799,50.822,47.241,32.18,13187480,21.389084
2008-04-15,48.445,50.311,47.016,33.23,11789485,22.086985
2008-04-16,50.401,51.394,49.227,33.049999,5671520,21.967344
2008-04-17,50.551,51.981,50.175,33.720001,11413060,22.412678
2008-04-21,48.972,52.567,48.972,34.610001,7276990,23.004234
2008-04-22,52.267,53.831,51.304,34.740002,8965460,23.090641
2008-04-23,52.658,53.049,51.304,34.32,3965050,22.811476
2008-04-24,52.056,52.357,49.649,33.16,4451870,22.040461
2008-04-25,50.19,51.529,49.95,34,4782690,22.598782
2008-04-28,51.469,51.665,50.25,33.599998,1891630,22.332914
2008-04-29,49.649,52.342,49.649,34.25,4973655,22.76495
2008-04-30,51.529,52.056,50.672,34.09,2209705,22.658602
2008-05-02,52.056,53.38,51.605,34.939999,5417180,23.223572
2008-05-05,52.913,55.396,52.357,35.779999,9775150,23.781897
2008-05-06,54.162,54.373,51.364,34.950001,4220440,23.230219
2008-05-07,52.582,53.5,51.454,35.049999,2509830,23.296688
2008-05-08,52.387,52.658,50.672,33.950001,2336810,22.56555
2008-05-09,50.642,51.725,48.761,32.639999,3264865,21.694828
2008-05-12,48.189,49.348,47.106,32.279999,4413000,21.455549
2008-05-13,49.047,49.709,47.663,32.009998,4851610,21.276089
2008-05-14,47.783,49.649,47.542,32.799999,3235720,21.801178
2008-05-15,49.498,52.056,49.333,34.419998,4816035,22.877945
2008-05-16,51.755,52.357,50.928,34.290001,3118345,22.79154
2008-05-20,51.138,51.755,49.498,33.389999,3608440,22.193335
2008-05-21,49.95,51.755,49.498,33.869999,2576800,22.512375
2008-05-22,50.01,50.551,48.52,32.41,3243585,21.541958
2008-05-23,49.032,49.649,47.843,32.02,3893005,21.282738
2008-05-26,47.843,48.565,46.67,31.440001,3085685,20.897228
2008-05-27,48.054,50.551,46.068,30.9,1926735,20.538305
2008-05-28,45.436,48.52,45.436,31.889999,3321955,21.196327
